ダウンロードした時刻：2019/10/10 15:45:02

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,6.2,13.6,2.8
1981/12/2,1.5,4.4,-0.3
1981/12/3,1.9,5.6,-0.6
1981/12/4,5.0,11.9,-0.3
1981/12/5,6.8,11.3,2.7
1981/12/6,5.3,9.6,2.2
1981/12/7,4.5,6.1,1.2
1981/12/8,4.9,7.7,2.8
1981/12/9,4.6,6.7,3.4
1981/12/10,4.1,9.1,0.7
1981/12/11,6.2,12.4,-1.8
1981/12/12,7.7,13.0,3.7
1981/12/13,1.4,4.2,-0.3
1981/12/14,-0.7,-0.1,-1.2
1981/12/15,0.0,1.5,-1.4
1981/12/16,1.8,6.5,-1.8
1981/12/17,2.6,6.9,-0.3
1981/12/18,2.0,7.6,-1.7
1981/12/19,2.8,5.0,-0.1
1981/12/20,3.5,6.3,1.2
1981/12/21,5.6,10.9,1.8
1981/12/22,8.3,12.6,4.1
1981/12/23,9.0,12.7,6.3
1981/12/24,2.1,7.0,-0.3
1981/12/25,3.2,8.7,-1.4
1981/12/26,8.7,15.5,3.2
1981/12/27,10.1,16.1,6.0
1981/12/28,9.0,15.0,4.9
1981/12/29,11.0,16.9,4.3
1981/12/30,4.9,7.1,2.5
1981/12/31,3.7,6.3,1.7
1982/1/1,4.1,7.0,1.5
1982/1/2,3.2,5.0,1.6
1982/1/3,3.2,7.8,-0.7
1982/1/4,14.4,18.3,0.5
1982/1/5,5.8,11.5,0.8
1982/1/6,3.2,6.6,0.3
1982/1/7,0.0,3.5,-2.3
1982/1/8,0.0,4.2,-5.0
1982/1/9,5.3,8.2,3.3
1982/1/10,3.4,7.4,0.6
1982/1/11,5.9,10.3,-0.4
1982/1/12,8.1,11.7,4.0
1982/1/13,2.2,4.2,0.2
1982/1/14,0.7,1.8,-0.1
1982/1/15,0.7,2.4,0.1
1982/1/16,0.4,1.7,-0.5
1982/1/17,-1.3,2.1,-5.0
1982/1/18,0.2,4.5,-8.1
1982/1/19,-0.4,1.4,-1.7
1982/1/20,-0.2,3.0,-2.5
1982/1/21,3.4,6.0,-1.1
1982/1/22,3.6,6.4,1.8
1982/1/23,2.0,4.9,-1.4
1982/1/24,1.6,5.4,-2.6
1982/1/25,2.0,5.7,0.3
1982/1/26,2.5,6.1,-0.2
1982/1/27,2.5,6.3,0.2
1982/1/28,-1.2,1.3,-3.5
1982/1/29,-3.2,-1.6,-5.4
1982/1/30,-2.5,0.3,-5.5
1982/1/31,1.5,4.9,-4.1
1982/2/1,0.4,3.1,-1.9
1982/2/2,-0.7,2.0,-2.7
1982/2/3,1.5,5.2,-2.6
1982/2/4,1.4,3.0,-0.2
1982/2/5,-0.4,2.9,-3.7
1982/2/6,-0.2,5.8,-4.5
1982/2/7,-2.6,-1.6,-4.1
1982/2/8,-1.1,1.5,-3.5
1982/2/9,1.0,5.6,-3.5
1982/2/10,-0.4,1.0,-1.6
1982/2/11,1.2,5.1,-2.5
1982/2/12,3.6,7.0,0.1
1982/2/13,3.1,7.1,0.1
1982/2/14,1.4,4.8,-0.2
1982/2/15,0.9,4.4,-1.5
1982/2/16,4.5,10.0,-0.3
1982/2/17,2.6,6.2,-0.4
1982/2/18,3.1,7.9,-2.0
1982/2/19,6.6,10.8,-0.3
1982/2/20,7.4,10.9,5.2
1982/2/21,5.8,7.7,3.2
1982/2/22,4.0,7.0,1.4
1982/2/23,3.7,8.1,-0.3
1982/2/24,3.4,5.5,1.7
1982/2/25,1.5,5.4,-2.0
1982/2/26,-0.2,3.8,-2.4
1982/2/27,3.9,9.3,-2.3
1982/2/28,7.6,13.8,2.8
1982/3/1,5.1,6.0,4.0
1982/3/2,1.4,4.4,-0.9
1982/3/3,1.9,6.8,-2.2
1982/3/4,8.0,15.1,-0.5
1982/3/5,10.2,14.0,7.6
1982/3/6,4.6,7.6,1.8
1982/3/7,2.1,5.2,-0.5
1982/3/8,3.8,9.1,-2.4
1982/3/9,3.8,8.2,1.0
1982/3/10,7.5,15.6,0.4
1982/3/11,9.5,17.1,3.9
1982/3/12,8.1,12.4,1.5
1982/3/13,9.2,13.3,6.4
1982/3/14,7.9,11.3,4.6
1982/3/15,13.6,15.7,5.2
1982/3/16,11.2,17.0,6.0
1982/3/17,6.0,8.2,3.7
1982/3/18,5.0,8.9,1.7
1982/3/19,6.4,11.1,0.2
1982/3/20,8.3,11.2,5.8
1982/3/21,8.1,9.8,5.4
1982/3/22,9.5,17.1,2.2
1982/3/23,13.4,24.6,4.0
1982/3/24,4.8,9.2,0.9
1982/3/25,1.5,4.5,-0.2
1982/3/26,1.6,4.5,-0.9
1982/3/27,3.6,8.8,-1.0
1982/3/28,3.4,9.0,-1.2
1982/3/29,5.7,12.1,-1.9
1982/3/30,14.2,23.3,1.8
1982/3/31,11.6,17.0,7.1
