ダウンロードした時刻：2019/10/10 16:19:55

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,11.8,15.9,7.4
1991/12/2,12.6,16.1,9.2
1991/12/3,12.5,15.2,6.7
1991/12/4,9.0,15.3,4.6
1991/12/5,9.3,16.3,4.0
1991/12/6,11.3,16.4,7.1
1991/12/7,13.3,18.3,9.8
1991/12/8,11.8,14.6,8.0
1991/12/9,6.6,8.9,3.1
1991/12/10,9.1,15.2,2.3
1991/12/11,9.4,15.5,3.9
1991/12/12,2.5,4.1,0.3
1991/12/13,3.9,7.9,1.2
1991/12/14,5.8,11.7,1.7
1991/12/15,8.5,14.1,4.1
1991/12/16,10.7,16.4,5.2
1991/12/17,13.8,18.5,9.3
1991/12/18,11.2,13.8,8.3
1991/12/19,9.8,11.9,8.3
1991/12/20,10.5,13.5,7.2
1991/12/21,10.8,12.8,8.2
1991/12/22,11.7,14.3,8.5
1991/12/23,12.9,16.6,10.5
1991/12/24,12.4,16.6,8.6
1991/12/25,12.4,13.9,11.4
1991/12/26,10.6,12.2,9.5
1991/12/27,9.8,12.8,6.7
1991/12/28,3.5,6.7,1.7
1991/12/29,2.9,5.0,1.3
1991/12/30,4.2,8.4,0.4
1991/12/31,6.3,10.0,2.0
1992/1/1,9.6,11.9,6.3
1992/1/2,10.1,11.9,8.3
1992/1/3,5.8,8.3,2.6
1992/1/4,5.4,9.0,1.6
1992/1/5,6.7,9.8,2.3
1992/1/6,10.2,12.1,8.0
1992/1/7,9.6,12.7,5.8
1992/1/8,8.7,12.1,2.5
1992/1/9,8.4,10.3,7.0
1992/1/10,6.6,10.4,2.9
1992/1/11,6.2,11.6,2.0
1992/1/12,8.2,11.0,3.7
1992/1/13,7.4,8.6,3.5
1992/1/14,4.7,6.5,3.7
1992/1/15,6.4,9.5,3.8
1992/1/16,6.2,8.3,4.2
1992/1/17,4.2,5.8,2.1
1992/1/18,3.1,4.7,1.5
1992/1/19,2.7,6.3,-0.4
1992/1/20,4.5,9.8,-0.5
1992/1/21,7.2,11.3,3.0
1992/1/22,7.2,8.9,4.9
1992/1/23,3.5,6.2,-0.2
1992/1/24,5.5,8.0,1.4
1992/1/25,7.3,12.5,3.7
1992/1/26,8.0,12.6,2.9
1992/1/27,7.7,12.4,2.7
1992/1/28,12.0,14.7,7.8
1992/1/29,13.3,15.6,9.2
1992/1/30,9.8,12.6,6.7
1992/1/31,5.9,8.8,2.9
1992/2/1,3.1,6.2,-0.4
1992/2/2,6.3,11.1,-0.7
1992/2/3,11.0,14.9,8.4
1992/2/4,6.2,8.5,3.2
1992/2/5,5.9,9.6,2.3
1992/2/6,6.7,10.5,3.0
1992/2/7,3.6,6.9,0.6
1992/2/8,2.8,5.2,-0.9
1992/2/9,2.6,6.0,-0.9
1992/2/10,3.8,7.6,-0.4
1992/2/11,5.7,10.5,1.2
1992/2/12,7.4,10.7,2.9
1992/2/13,7.6,10.0,4.5
1992/2/14,5.4,8.2,2.4
1992/2/15,7.9,11.1,4.8
1992/2/16,3.9,8.4,-0.4
1992/2/17,4.2,8.6,-1.1
1992/2/18,7.2,10.7,1.8
1992/2/19,5.7,8.3,3.3
1992/2/20,3.7,6.0,0.8
1992/2/21,4.2,6.0,2.1
1992/2/22,4.3,8.0,0.9
1992/2/23,6.2,10.9,1.4
1992/2/24,5.4,7.5,2.7
1992/2/25,6.3,10.4,2.0
1992/2/26,8.7,14.1,1.9
1992/2/27,14.4,17.0,11.6
1992/2/28,17.2,18.3,15.2
1992/2/29,17.4,18.6,15.7
1992/3/1,12.6,15.8,10.5
1992/3/2,9.6,11.0,8.1
1992/3/3,7.8,8.3,7.3
1992/3/4,8.7,10.4,7.7
1992/3/5,8.2,9.9,5.7
1992/3/6,5.6,7.3,4.5
1992/3/7,5.9,9.7,2.1
1992/3/8,6.5,11.7,1.7
1992/3/9,8.0,13.0,3.9
1992/3/10,10.4,14.7,5.2
1992/3/11,10.6,14.4,6.2
1992/3/12,11.7,17.4,5.0
1992/3/13,11.9,15.5,7.8
1992/3/14,12.0,15.8,6.6
1992/3/15,12.8,13.3,12.1
1992/3/16,9.5,12.2,7.3
1992/3/17,8.7,10.2,6.8
1992/3/18,8.9,10.5,6.8
1992/3/19,9.9,12.8,6.6
1992/3/20,9.9,12.8,7.9
1992/3/21,9.0,12.2,6.4
1992/3/22,10.3,12.8,6.5
1992/3/23,10.5,11.7,9.7
1992/3/24,10.0,11.4,8.1
1992/3/25,10.7,14.8,7.0
1992/3/26,11.8,13.8,8.8
1992/3/27,12.1,13.9,11.5
1992/3/28,12.0,12.5,11.2
1992/3/29,12.4,14.3,9.0
1992/3/30,11.4,15.3,7.0
1992/3/31,12.2,15.7,7.8
