ダウンロードした時刻：2019/10/10 15:46:28

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/12/1,3.9,10.4,-1.3
2008/12/2,4.6,12.2,-1.5
2008/12/3,5.6,12.5,-0.7
2008/12/4,7.8,15.3,0.6
2008/12/5,8.6,15.8,2.4
2008/12/6,2.9,7.5,-1.1
2008/12/7,1.3,6.8,-3.5
2008/12/8,3.7,9.3,-3.3
2008/12/9,7.6,13.8,2.5
2008/12/10,8.7,13.9,3.9
2008/12/11,7.7,15.5,1.2
2008/12/12,6.8,12.4,3.2
2008/12/13,6.6,11.2,3.0
2008/12/14,3.0,6.1,-0.2
2008/12/15,1.8,7.4,-2.7
2008/12/16,2.9,9.3,-3.2
2008/12/17,5.2,10.3,1.4
2008/12/18,4.2,10.9,-0.5
2008/12/19,3.6,8.2,-0.6
2008/12/20,3.9,12.2,-2.5
2008/12/21,8.2,17.7,-2.0
2008/12/22,3.6,10.7,-0.9
2008/12/23,1.9,6.4,-0.8
2008/12/24,1.8,6.1,-2.7
2008/12/25,3.2,9.0,-1.8
2008/12/26,-3.1,0.3,-5.5
2008/12/27,-1.6,4.1,-6.1
2008/12/28,0.1,5.1,-2.3
2008/12/29,0.8,6.0,-3.6
2008/12/30,1.5,7.8,-3.6
2008/12/31,-0.5,3.2,-2.7
2009/1/1,-1.2,2.9,-3.6
2009/1/2,-0.8,2.7,-3.1
2009/1/3,0.8,4.2,-1.7
2009/1/4,0.5,6.1,-4.5
2009/1/5,1.2,5.4,-2.3
2009/1/6,1.3,5.1,-0.2
2009/1/7,0.7,5.8,-3.3
2009/1/8,0.0,6.4,-5.3
2009/1/9,2.1,4.4,-1.5
2009/1/10,-0.7,2.3,-4.0
2009/1/11,-1.6,2.1,-4.7
2009/1/12,-0.1,4.9,-4.3
2009/1/13,-1.6,-0.3,-2.6
2009/1/14,-0.2,4.4,-4.9
2009/1/15,-3.3,0.5,-7.2
2009/1/16,-3.4,2.6,-8.9
2009/1/17,-0.7,4.1,-3.7
2009/1/18,0.5,7.2,-6.5
2009/1/19,3.1,7.8,-0.9
2009/1/20,-0.4,2.2,-3.5
2009/1/21,1.1,6.5,-2.9
2009/1/22,4.0,7.2,0.6
2009/1/23,6.0,11.3,1.4
2009/1/24,-0.7,2.0,-4.1
2009/1/25,-0.1,6.9,-4.9
2009/1/26,0.4,7.4,-6.0
2009/1/27,0.6,6.4,-2.7
2009/1/28,2.5,9.6,-4.4
2009/1/29,4.0,11.0,-2.8
2009/1/30,7.4,12.1,3.4
2009/1/31,5.1,8.4,1.4
2009/2/1,1.0,3.6,-1.1
2009/2/2,0.8,5.5,-2.2
2009/2/3,0.7,4.6,-3.1
2009/2/4,2.0,7.6,-1.4
2009/2/5,1.6,9.1,-3.4
2009/2/6,1.2,3.3,0.0
2009/2/7,2.4,9.5,-2.9
2009/2/8,1.9,6.9,-1.7
2009/2/9,0.8,5.6,-4.8
2009/2/10,2.2,8.0,-2.7
2009/2/11,2.3,9.9,-2.6
2009/2/12,3.0,8.4,-0.4
2009/2/13,7.6,15.4,-0.9
2009/2/14,9.0,14.4,3.4
2009/2/15,6.8,14.9,1.1
2009/2/16,1.1,5.6,-4.1
2009/2/17,-2.4,2.8,-6.2
2009/2/18,-1.3,4.2,-6.7
2009/2/19,-0.8,2.8,-4.2
2009/2/20,3.2,7.8,-0.9
2009/2/21,-1.1,2.6,-3.5
2009/2/22,1.7,9.6,-6.1
2009/2/23,1.6,4.9,0.1
2009/2/24,3.0,6.6,-1.1
2009/2/25,3.3,6.4,-0.1
2009/2/26,2.8,6.8,0.6
2009/2/27,2.5,5.5,0.7
2009/2/28,3.9,9.6,-1.3
2009/3/1,4.6,12.0,1.4
2009/3/2,-0.7,2.6,-3.6
2009/3/3,-0.3,5.5,-4.1
2009/3/4,2.1,5.2,0.2
2009/3/5,4.6,10.4,-1.5
2009/3/6,6.4,8.3,5.3
2009/3/7,3.6,7.4,1.0
2009/3/8,3.8,9.9,-1.3
2009/3/9,5.7,11.9,-0.8
2009/3/10,4.7,11.7,-0.8
2009/3/11,1.1,8.1,-3.0
2009/3/12,1.9,5.7,-1.7
2009/3/13,6.3,11.8,0.2
2009/3/14,5.4,11.5,0.0
2009/3/15,3.6,10.3,-1.8
2009/3/16,5.5,13.6,-1.5
2009/3/17,6.4,13.0,1.2
2009/3/18,11.0,23.8,0.2
2009/3/19,13.2,23.3,3.8
2009/3/20,6.3,12.6,0.0
2009/3/21,6.8,14.9,-1.4
2009/3/22,12.5,19.5,5.8
2009/3/23,5.0,10.8,0.1
2009/3/24,4.5,14.8,-1.4
2009/3/25,3.3,8.9,0.0
2009/3/26,1.1,7.4,-2.5
2009/3/27,0.6,4.3,-1.5
2009/3/28,1.4,6.0,-1.5
2009/3/29,1.6,6.1,-1.4
2009/3/30,3.5,9.6,-0.2
2009/3/31,5.3,11.5,0.5
