É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 16:16:52

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1988/12/1,8.2,14.7,4.7
1988/12/2,8.5,15.6,3.8
1988/12/3,9.7,17.2,3.7
1988/12/4,9.6,14.6,5.9
1988/12/5,6.4,9.7,3.2
1988/12/6,6.3,12.8,2.5
1988/12/7,7.5,16.3,1.9
1988/12/8,11.1,19.6,4.1
1988/12/9,8.7,12.1,4.8
1988/12/10,7.1,10.0,4.7
1988/12/11,7.2,11.8,1.9
1988/12/12,6.3,14.4,0.9
1988/12/13,8.1,17.4,1.9
1988/12/14,8.0,15.0,2.7
1988/12/15,4.8,8.0,0.1
1988/12/16,2.4,4.6,0.1
1988/12/17,5.8,9.3,1.7
1988/12/18,6.2,12.2,2.8
1988/12/19,9.7,18.3,3.3
1988/12/20,9.4,16.5,4.0
1988/12/21,10.0,14.8,5.7
1988/12/22,6.8,13.2,2.0
1988/12/23,6.6,15.1,0.9
1988/12/24,8.7,15.5,3.0
1988/12/25,8.2,12.9,3.6
1988/12/26,6.1,11.8,1.7
1988/12/27,6.9,12.9,0.8
1988/12/28,8.3,12.5,5.1
1988/12/29,4.5,11.0,-1.2
1988/12/30,6.4,14.4,-0.4
1988/12/31,8.7,13.0,3.3
1989/1/1,7.2,10.2,2.5
1989/1/2,4.3,12.4,-1.3
1989/1/3,8.2,12.8,1.6
1989/1/4,6.8,12.1,2.1
1989/1/5,5.5,12.1,1.0
1989/1/6,8.1,15.4,1.0
1989/1/7,13.9,16.4,9.5
1989/1/8,15.5,18.8,10.7
1989/1/9,11.2,13.3,8.6
1989/1/10,9.7,15.5,5.4
1989/1/11,11.2,14.8,6.4
1989/1/12,10.1,13.7,4.7
1989/1/13,7.5,11.0,2.7
1989/1/14,7.6,9.5,5.0
1989/1/15,5.2,12.5,0.7
1989/1/16,5.4,13.8,-0.2
1989/1/17,7.4,13.5,3.2
1989/1/18,11.6,16.2,6.0
1989/1/19,17.2,19.7,13.9
1989/1/20,13.0,17.3,10.0
1989/1/21,9.3,15.2,5.1
1989/1/22,7.4,11.2,3.0
1989/1/23,10.1,12.9,9.2
1989/1/24,6.9,10.0,3.6
1989/1/25,6.4,12.7,2.4
1989/1/26,7.7,10.2,4.8
1989/1/27,4.9,9.2,1.5
1989/1/28,3.4,6.6,1.3
1989/1/29,3.0,10.0,-1.9
1989/1/30,4.6,12.1,-1.9
1989/1/31,8.5,16.5,0.4
1989/2/1,6.7,10.4,4.3
1989/2/2,3.0,4.5,0.8
1989/2/3,3.6,8.1,1.1
1989/2/4,4.8,12.4,0.1
1989/2/5,4.9,12.6,-1.9
1989/2/6,5.7,13.1,1.4
1989/2/7,6.7,14.2,0.1
1989/2/8,11.4,14.4,6.3
1989/2/9,10.1,11.9,8.8
1989/2/10,5.3,8.9,1.3
1989/2/11,5.4,10.8,0.6
1989/2/12,6.6,11.4,1.0
1989/2/13,5.2,11.6,-0.4
1989/2/14,7.0,13.7,1.5
1989/2/15,10.1,16.2,0.8
1989/2/16,14.8,17.6,11.2
1989/2/17,14.7,18.2,12.0
1989/2/18,10.4,13.5,7.4
1989/2/19,8.3,13.6,4.3
1989/2/20,10.0,16.9,3.2
1989/2/21,9.7,10.4,8.7
1989/2/22,10.3,15.5,7.0
1989/2/23,8.6,10.0,8.0
1989/2/24,10.4,11.8,8.1
1989/2/25,14.3,22.8,10.2
1989/2/26,7.8,13.0,2.3
1989/2/27,7.9,14.9,-0.7
1989/2/28,13.4,20.9,8.0
1989/3/1,12.3,18.8,6.1
1989/3/2,10.8,15.5,3.5
1989/3/3,17.0,20.4,14.8
1989/3/4,13.7,18.4,8.8
1989/3/5,9.8,15.8,6.2
1989/3/6,6.2,11.5,2.6
1989/3/7,4.8,8.7,2.3
1989/3/8,5.5,11.1,1.6
1989/3/9,5.1,11.3,-0.3
1989/3/10,5.8,13.1,-1.1
1989/3/11,7.0,14.8,0.5
1989/3/12,10.8,17.9,2.3
1989/3/13,12.8,14.2,11.0
1989/3/14,13.2,18.3,9.1
1989/3/15,10.4,16.6,4.7
1989/3/16,9.4,15.3,2.5
1989/3/17,8.5,12.9,5.3
1989/3/18,8.4,14.9,3.1
1989/3/19,9.0,16.7,2.3
1989/3/20,9.4,17.7,3.2
1989/3/21,10.1,16.5,3.2
1989/3/22,9.5,15.5,3.3
1989/3/23,9.6,15.3,3.1
1989/3/24,13.4,18.1,8.5
1989/3/25,10.6,14.2,5.2
1989/3/26,8.6,13.2,3.3
1989/3/27,9.6,15.8,5.9
1989/3/28,9.3,13.9,5.9
1989/3/29,9.8,17.0,2.6
1989/3/30,12.3,19.2,3.9
1989/3/31,13.5,20.0,9.3
