ダウンロードした時刻：2019/10/10 16:21:48

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/12/1,13.7,16.4,11.5
2011/12/2,12.0,14.0,10.7
2011/12/3,13.1,16.6,10.2
2011/12/4,11.2,15.7,6.5
2011/12/5,10.8,15.9,7.0
2011/12/6,11.8,16.9,7.5
2011/12/7,11.0,13.9,7.3
2011/12/8,10.5,13.8,8.6
2011/12/9,7.3,10.7,4.1
2011/12/10,6.9,8.4,4.3
2011/12/11,7.6,9.7,5.9
2011/12/12,8.0,10.5,5.4
2011/12/13,10.2,16.5,5.0
2011/12/14,10.3,16.6,5.6
2011/12/15,9.3,13.9,6.2
2011/12/16,4.9,7.2,2.3
2011/12/17,3.7,7.3,1.6
2011/12/18,5.6,9.4,0.7
2011/12/19,6.0,10.5,1.7
2011/12/20,4.7,10.0,-0.8
2011/12/21,6.7,10.7,3.1
2011/12/22,7.5,10.8,5.0
2011/12/23,4.3,8.6,0.2
2011/12/24,3.2,7.1,-1.1
2011/12/25,4.2,6.7,2.9
2011/12/26,4.0,7.2,0.2
2011/12/27,3.4,9.5,-1.8
2011/12/28,4.8,10.5,-0.8
2011/12/29,5.6,12.5,0.7
2011/12/30,6.7,12.0,2.5
2011/12/31,5.9,11.1,0.8
2012/1/1,6.7,8.8,5.2
2012/1/2,4.8,9.0,1.6
2012/1/3,5.4,9.0,1.5
2012/1/4,2.9,5.4,0.0
2012/1/5,2.7,8.4,-1.7
2012/1/6,3.2,9.4,-1.1
2012/1/7,4.6,10.3,-0.5
2012/1/8,6.3,12.7,-0.5
2012/1/9,7.0,10.6,3.2
2012/1/10,4.4,8.7,0.7
2012/1/11,4.7,7.9,1.3
2012/1/12,4.1,9.4,-0.4
2012/1/13,4.8,7.7,1.2
2012/1/14,5.0,10.8,0.2
2012/1/15,6.3,9.3,3.9
2012/1/16,5.9,7.6,2.5
2012/1/17,5.9,12.6,0.1
2012/1/18,6.4,11.5,1.5
2012/1/19,9.3,11.0,7.6
2012/1/20,10.3,13.8,8.0
2012/1/21,9.7,15.3,5.1
2012/1/22,7.7,11.2,4.5
2012/1/23,4.0,6.6,1.2
2012/1/24,2.8,5.9,1.0
2012/1/25,2.2,5.1,-0.9
2012/1/26,2.1,6.9,-1.0
2012/1/27,3.9,8.5,-0.1
2012/1/28,6.2,10.1,2.4
2012/1/29,6.8,12.2,2.5
2012/1/30,4.9,10.2,1.1
2012/1/31,3.3,9.2,-2.1
2012/2/1,4.7,9.2,1.1
2012/2/2,-0.6,2.5,-3.2
2012/2/3,-0.8,2.1,-4.4
2012/2/4,3.4,9.2,-1.2
2012/2/5,4.1,6.7,0.2
2012/2/6,9.0,12.7,4.9
2012/2/7,7.2,10.3,2.6
2012/2/8,0.5,2.7,-0.9
2012/2/9,2.1,5.6,-0.7
2012/2/10,3.8,7.0,0.4
2012/2/11,4.1,10.2,-0.4
2012/2/12,5.1,12.1,-1.6
2012/2/13,6.1,8.3,3.7
2012/2/14,8.8,11.1,6.7
2012/2/15,9.0,10.4,5.6
2012/2/16,6.4,10.5,2.8
2012/2/17,3.7,6.0,1.9
2012/2/18,1.6,4.9,-1.0
2012/2/19,1.8,6.1,-1.4
2012/2/20,3.1,9.1,-2.7
2012/2/21,6.1,9.3,3.6
2012/2/22,8.2,9.9,5.6
2012/2/23,12.8,17.8,9.4
2012/2/24,10.9,16.6,6.5
2012/2/25,9.2,10.7,7.9
2012/2/26,7.3,9.7,4.0
2012/2/27,6.5,11.7,1.9
2012/2/28,6.1,9.4,4.2
2012/2/29,8.7,15.1,3.0
2012/3/1,10.0,13.5,7.6
2012/3/2,11.0,12.4,9.4
2012/3/3,11.5,15.6,8.1
2012/3/4,9.3,11.1,7.7
2012/3/5,10.6,12.0,9.2
2012/3/6,11.4,13.4,8.1
2012/3/7,9.2,11.4,7.1
2012/3/8,9.3,13.4,6.0
2012/3/9,9.8,12.9,7.9
2012/3/10,9.7,14.0,5.4
2012/3/11,5.9,10.9,2.6
2012/3/12,4.4,7.8,0.5
2012/3/13,4.9,12.0,-0.8
2012/3/14,7.0,14.5,0.1
2012/3/15,9.2,16.6,2.9
2012/3/16,10.1,12.4,7.3
2012/3/17,14.1,17.0,11.9
2012/3/18,12.7,15.1,10.9
2012/3/19,10.7,13.8,8.1
2012/3/20,9.4,14.3,6.0
2012/3/21,9.2,16.7,2.4
2012/3/22,10.1,16.4,3.5
2012/3/23,13.7,17.0,10.8
2012/3/24,9.9,12.9,8.0
2012/3/25,8.5,11.6,5.9
2012/3/26,8.4,12.9,4.5
2012/3/27,9.2,16.1,1.8
2012/3/28,13.2,21.2,6.9
2012/3/29,13.7,21.2,5.3
2012/3/30,17.0,22.0,11.7
2012/3/31,12.2,15.9,9.5
