ダウンロードした時刻：2019/10/10 16:18:21

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,12.3,18.0,7.0
1994/12/2,15.5,19.4,10.8
1994/12/3,11.4,15.2,8.7
1994/12/4,9.3,12.3,7.3
1994/12/5,11.0,15.2,7.4
1994/12/6,9.5,14.7,4.5
1994/12/7,11.6,20.5,2.3
1994/12/8,12.3,15.4,9.3
1994/12/9,13.8,17.5,10.2
1994/12/10,10.7,13.2,7.8
1994/12/11,8.6,10.2,6.9
1994/12/12,13.0,18.0,9.2
1994/12/13,12.0,13.5,9.6
1994/12/14,7.9,10.4,4.4
1994/12/15,7.9,13.6,4.0
1994/12/16,4.8,8.0,2.5
1994/12/17,5.0,9.6,0.0
1994/12/18,7.2,11.3,2.8
1994/12/19,6.9,10.1,5.5
1994/12/20,5.8,7.8,3.2
1994/12/21,7.5,10.3,3.4
1994/12/22,7.7,12.8,3.8
1994/12/23,7.3,14.1,1.8
1994/12/24,9.0,13.7,2.6
1994/12/25,10.4,15.8,7.7
1994/12/26,9.0,12.4,5.4
1994/12/27,11.5,16.2,8.3
1994/12/28,10.3,13.7,8.1
1994/12/29,8.2,11.7,4.7
1994/12/30,6.7,10.3,3.0
1994/12/31,7.4,11.3,4.8
1995/1/1,7.0,9.7,3.8
1995/1/2,6.3,9.4,2.1
1995/1/3,5.2,8.8,0.6
1995/1/4,8.8,10.7,6.0
1995/1/5,6.4,9.5,3.0
1995/1/6,4.2,6.6,1.8
1995/1/7,6.5,11.7,-0.1
1995/1/8,8.4,12.5,4.2
1995/1/9,10.1,18.3,2.9
1995/1/10,6.9,11.6,4.5
1995/1/11,5.4,8.7,1.4
1995/1/12,5.6,9.6,2.2
1995/1/13,4.2,8.4,0.7
1995/1/14,3.5,6.0,2.0
1995/1/15,4.9,8.1,2.2
1995/1/16,5.1,8.1,3.3
1995/1/17,3.6,6.4,1.3
1995/1/18,5.5,9.9,0.0
1995/1/19,6.3,8.1,3.6
1995/1/20,6.3,10.5,2.1
1995/1/21,7.3,11.1,1.9
1995/1/22,10.9,18.2,6.8
1995/1/23,10.6,12.7,8.9
1995/1/24,7.2,9.9,5.4
1995/1/25,5.1,7.0,2.8
1995/1/26,6.5,11.1,3.6
1995/1/27,5.6,10.1,2.4
1995/1/28,5.3,9.8,1.3
1995/1/29,4.1,7.6,0.7
1995/1/30,3.0,6.0,1.1
1995/1/31,3.1,7.5,0.2
1995/2/1,3.8,7.0,1.7
1995/2/2,4.8,8.5,2.2
1995/2/3,5.0,9.2,1.1
1995/2/4,4.5,7.4,2.2
1995/2/5,4.1,8.2,1.9
1995/2/6,4.1,7.9,0.8
1995/2/7,6.8,11.7,2.5
1995/2/8,7.4,12.7,1.6
1995/2/9,8.6,12.6,6.0
1995/2/10,5.3,8.1,3.1
1995/2/11,5.1,10.1,0.4
1995/2/12,7.0,9.1,4.4
1995/2/13,10.4,12.9,6.8
1995/2/14,9.3,12.8,5.5
1995/2/15,7.6,11.8,4.7
1995/2/16,5.3,9.9,2.2
1995/2/17,5.3,9.6,1.9
1995/2/18,6.1,11.2,1.2
1995/2/19,7.5,11.7,5.1
1995/2/20,6.4,10.9,2.8
1995/2/21,5.4,9.3,3.0
1995/2/22,5.5,9.8,1.7
1995/2/23,5.7,11.1,0.7
1995/2/24,7.3,11.4,4.0
1995/2/25,6.8,9.9,3.8
1995/2/26,8.2,13.7,3.8
1995/2/27,7.6,11.9,4.8
1995/2/28,6.1,11.0,1.7
1995/3/1,8.2,11.6,5.5
1995/3/2,6.4,10.3,3.6
1995/3/3,5.0,8.8,1.3
1995/3/4,4.7,6.4,2.7
1995/3/5,5.8,10.0,1.2
1995/3/6,8.0,13.1,4.4
1995/3/7,8.8,15.2,2.6
1995/3/8,9.6,16.8,5.1
1995/3/9,9.6,13.0,4.8
1995/3/10,13.2,17.8,9.0
1995/3/11,10.3,13.0,8.0
1995/3/12,9.4,14.4,6.1
1995/3/13,9.3,13.2,6.2
1995/3/14,9.0,13.3,5.1
1995/3/15,9.5,13.7,4.0
1995/3/16,14.7,16.4,11.7
1995/3/17,14.6,17.5,9.3
1995/3/18,9.3,13.3,6.2
1995/3/19,8.2,13.2,4.0
1995/3/20,8.4,13.9,2.7
1995/3/21,11.7,17.6,5.3
1995/3/22,13.9,20.2,8.5
1995/3/23,13.2,17.8,7.9
1995/3/24,14.2,16.5,12.1
1995/3/25,10.4,13.9,6.3
1995/3/26,8.4,12.9,6.0
1995/3/27,10.2,14.7,4.4
1995/3/28,9.8,12.9,7.4
1995/3/29,10.0,13.3,5.9
1995/3/30,12.3,14.0,10.5
1995/3/31,14.9,19.0,11.4
