ダウンロードした時刻：2019/10/10 16:10:13

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,10.5,14.7,6.1
1997/12/2,6.1,9.9,1.0
1997/12/3,3.8,7.8,0.5
1997/12/4,5.2,10.5,0.0
1997/12/5,6.7,12.7,1.3
1997/12/6,9.1,14.0,2.4
1997/12/7,13.4,15.7,10.7
1997/12/8,14.0,16.7,11.7
1997/12/9,8.9,11.8,5.7
1997/12/10,4.0,7.9,-0.2
1997/12/11,3.3,8.5,-1.7
1997/12/12,4.8,7.9,0.2
1997/12/13,7.4,10.1,4.0
1997/12/14,7.9,12.2,3.7
1997/12/15,9.2,15.2,4.1
1997/12/16,8.4,13.1,4.0
1997/12/17,8.2,9.8,7.0
1997/12/18,11.0,15.8,7.9
1997/12/19,10.0,15.4,4.3
1997/12/20,11.9,14.5,9.5
1997/12/21,9.9,14.2,6.8
1997/12/22,7.1,9.2,5.4
1997/12/23,6.8,9.9,3.4
1997/12/24,6.7,12.0,1.6
1997/12/25,7.0,12.5,1.9
1997/12/26,7.9,11.3,4.6
1997/12/27,9.5,14.5,4.1
1997/12/28,7.7,13.7,3.4
1997/12/29,6.8,10.8,1.5
1997/12/30,7.6,10.5,4.8
1997/12/31,7.2,10.7,3.9
1998/1/1,4.3,5.5,3.1
1998/1/2,6.7,12.3,2.0
1998/1/3,6.4,12.0,0.8
1998/1/4,7.7,13.1,5.1
1998/1/5,5.1,8.6,1.9
1998/1/6,4.3,9.1,1.3
1998/1/7,6.0,11.0,0.5
1998/1/8,5.5,6.7,4.0
1998/1/9,7.2,10.3,3.1
1998/1/10,4.3,8.5,0.7
1998/1/11,5.2,7.7,3.8
1998/1/12,6.4,10.7,4.3
1998/1/13,6.2,10.1,2.3
1998/1/14,6.2,7.6,5.4
1998/1/15,6.1,7.0,5.2
1998/1/16,6.9,11.1,4.0
1998/1/17,6.5,9.7,1.3
1998/1/18,9.1,12.9,5.5
1998/1/19,2.0,5.5,-1.3
1998/1/20,2.5,6.1,-2.0
1998/1/21,4.6,8.6,1.3
1998/1/22,3.9,8.4,-0.5
1998/1/23,2.8,4.6,0.8
1998/1/24,-0.3,2.9,-3.3
1998/1/25,0.8,5.6,-4.3
1998/1/26,3.9,8.9,-0.5
1998/1/27,5.2,9.2,1.6
1998/1/28,5.0,8.4,2.2
1998/1/29,3.8,7.0,0.7
1998/1/30,4.0,9.7,-1.8
1998/1/31,7.6,12.5,3.8
1998/2/1,3.7,6.5,0.3
1998/2/2,4.5,10.3,-0.9
1998/2/3,5.3,8.7,0.6
1998/2/4,5.0,7.9,0.3
1998/2/5,3.1,8.0,-2.4
1998/2/6,5.8,10.6,0.2
1998/2/7,4.8,9.2,0.6
1998/2/8,3.9,8.4,1.2
1998/2/9,4.1,8.3,0.2
1998/2/10,5.2,9.7,1.7
1998/2/11,4.1,9.2,-1.4
1998/2/12,9.7,16.6,3.2
1998/2/13,12.3,19.4,6.9
1998/2/14,10.3,14.0,7.2
1998/2/15,6.5,9.3,3.2
1998/2/16,6.0,11.8,0.0
1998/2/17,5.7,8.7,3.4
1998/2/18,4.9,9.2,-0.3
1998/2/19,8.7,14.3,1.3
1998/2/20,12.3,13.5,11.3
1998/2/21,9.8,13.0,5.9
1998/2/22,6.8,10.9,2.2
1998/2/23,7.3,12.8,2.1
1998/2/24,9.7,11.7,8.6
1998/2/25,9.2,10.9,8.3
1998/2/26,9.8,13.1,6.9
1998/2/27,9.2,14.3,3.5
1998/2/28,8.4,14.5,5.7
1998/3/1,7.3,10.7,4.9
1998/3/2,7.1,12.2,1.6
1998/3/3,8.6,14.8,2.3
1998/3/4,10.3,16.4,4.4
1998/3/5,7.8,10.3,5.3
1998/3/6,8.3,13.8,2.4
1998/3/7,7.7,11.1,4.4
1998/3/8,6.2,11.7,0.0
1998/3/9,10.4,16.9,4.9
1998/3/10,8.5,11.1,6.8
1998/3/11,9.6,12.7,5.6
1998/3/12,11.4,15.2,7.7
1998/3/13,10.0,15.8,4.4
1998/3/14,9.7,16.0,4.2
1998/3/15,6.2,9.2,2.8
1998/3/16,6.8,12.2,1.3
1998/3/17,8.8,15.3,2.8
1998/3/18,8.3,13.8,2.3
1998/3/19,10.4,15.8,3.1
1998/3/20,11.3,14.9,7.2
1998/3/21,9.0,12.9,5.6
1998/3/22,8.9,13.8,5.3
1998/3/23,7.8,12.8,2.8
1998/3/24,10.3,15.4,6.2
1998/3/25,11.2,15.4,7.9
1998/3/26,11.0,16.6,4.9
1998/3/27,11.7,13.4,9.3
1998/3/28,14.6,19.6,9.0
1998/3/29,15.3,22.8,8.9
1998/3/30,15.9,23.8,8.4
1998/3/31,15.3,22.7,9.3
