ダウンロードした時刻：2019/10/10 16:14:36

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,9.4,14.0,6.6
1998/12/2,9.9,14.9,7.3
1998/12/3,7.5,9.5,4.9
1998/12/4,9.2,14.3,5.0
1998/12/5,9.0,10.4,7.0
1998/12/6,8.2,13.4,4.6
1998/12/7,11.0,16.3,5.2
1998/12/8,9.3,11.7,4.8
1998/12/9,5.9,11.5,2.1
1998/12/10,4.9,10.9,1.2
1998/12/11,5.2,9.7,1.3
1998/12/12,5.6,10.2,1.2
1998/12/13,5.2,13.7,-1.1
1998/12/14,8.0,13.7,1.2
1998/12/15,10.3,13.3,6.9
1998/12/16,9.2,14.0,6.3
1998/12/17,9.5,14.8,5.0
1998/12/18,6.3,13.9,1.2
1998/12/19,8.0,15.9,0.6
1998/12/20,9.3,13.8,3.4
1998/12/21,5.1,10.6,1.3
1998/12/22,6.0,14.5,-0.7
1998/12/23,7.1,13.6,2.2
1998/12/24,6.4,8.9,3.6
1998/12/25,6.3,11.3,1.8
1998/12/26,5.3,11.4,1.3
1998/12/27,5.2,12.8,-0.2
1998/12/28,6.1,14.0,0.4
1998/12/29,6.7,13.5,0.9
1998/12/30,7.5,12.0,3.5
1998/12/31,5.0,8.9,3.1
1999/1/1,3.3,8.7,-0.2
1999/1/2,5.5,10.3,0.0
1999/1/3,4.1,9.3,0.4
1999/1/4,3.7,9.2,-1.0
1999/1/5,5.0,11.4,0.1
1999/1/6,6.0,13.1,-1.5
1999/1/7,7.5,12.2,0.6
1999/1/8,1.0,4.3,-1.1
1999/1/9,0.9,6.2,-3.3
1999/1/10,2.4,6.5,-1.7
1999/1/11,4.3,9.2,1.0
1999/1/12,3.9,8.7,0.0
1999/1/13,4.6,9.7,0.4
1999/1/14,5.1,9.5,2.0
1999/1/15,3.5,5.0,1.4
1999/1/16,5.7,10.0,1.6
1999/1/17,2.8,7.6,-1.8
1999/1/18,3.3,11.8,-3.3
1999/1/19,4.7,9.7,-0.1
1999/1/20,8.3,13.2,4.6
1999/1/21,3.2,7.8,-0.8
1999/1/22,3.3,11.7,-2.5
1999/1/23,5.1,13.0,-1.7
1999/1/24,5.7,7.5,4.1
1999/1/25,7.5,12.3,4.9
1999/1/26,6.5,10.2,0.7
1999/1/27,5.0,11.5,-1.6
1999/1/28,6.2,12.4,0.4
1999/1/29,3.6,9.4,-1.0
1999/1/30,2.7,8.3,-1.3
1999/1/31,3.6,11.0,-2.4
1999/2/1,4.6,9.3,1.6
1999/2/2,4.3,11.8,-0.6
1999/2/3,0.6,4.9,-4.2
1999/2/4,-0.8,3.9,-4.5
1999/2/5,1.6,8.3,-4.9
1999/2/6,2.7,7.6,-1.5
1999/2/7,3.6,11.8,-3.5
1999/2/8,5.0,13.1,-1.5
1999/2/9,5.4,13.4,-1.2
1999/2/10,6.0,11.2,2.5
1999/2/11,2.2,3.7,0.2
1999/2/12,2.7,7.4,-0.2
1999/2/13,0.7,5.5,-2.5
1999/2/14,1.2,7.2,-4.2
1999/2/15,3.9,9.4,-1.1
1999/2/16,5.1,13.3,-1.5
1999/2/17,6.8,16.5,-1.1
1999/2/18,5.2,7.1,2.6
1999/2/19,3.3,8.3,-1.4
1999/2/20,1.9,8.5,-3.0
1999/2/21,2.9,8.3,-0.2
1999/2/22,4.1,9.6,-0.4
1999/2/23,5.4,11.8,0.2
1999/2/24,5.2,8.4,1.7
1999/2/25,7.4,12.2,1.7
1999/2/26,7.0,13.9,-1.1
1999/2/27,6.8,12.8,1.4
1999/2/28,3.3,8.9,-0.5
1999/3/1,6.9,15.6,-1.4
1999/3/2,10.2,16.6,3.5
1999/3/3,9.6,17.7,4.0
1999/3/4,8.9,16.6,0.5
1999/3/5,14.4,21.6,9.2
1999/3/6,8.8,14.1,3.9
1999/3/7,5.7,8.1,3.2
1999/3/8,7.4,12.0,3.7
1999/3/9,5.1,7.6,3.7
1999/3/10,6.6,11.9,3.7
1999/3/11,5.8,10.4,3.1
1999/3/12,4.8,9.4,-0.1
1999/3/13,7.3,12.9,-1.0
1999/3/14,14.1,19.6,8.9
1999/3/15,14.4,16.7,10.1
1999/3/16,10.6,15.0,5.4
1999/3/17,12.4,22.1,3.2
1999/3/18,16.0,21.8,9.9
1999/3/19,13.9,18.0,8.7
1999/3/20,5.0,8.7,2.2
1999/3/21,6.2,9.3,2.9
1999/3/22,4.0,7.3,1.0
1999/3/23,5.0,11.3,-0.3
1999/3/24,8.8,17.5,-1.0
1999/3/25,13.2,18.3,8.0
1999/3/26,14.8,18.0,12.4
1999/3/27,10.6,14.8,5.1
1999/3/28,7.0,13.9,2.4
1999/3/29,4.6,8.5,1.6
1999/3/30,5.7,9.6,1.5
1999/3/31,10.9,19.0,6.3
