ダウンロードした時刻：2019/10/10 16:03:27

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,11.5,16.7,6.7
1990/12/2,8.8,10.9,5.9
1990/12/3,7.8,9.7,6.7
1990/12/4,9.8,13.3,7.2
1990/12/5,9.2,15.3,4.4
1990/12/6,9.6,17.1,4.0
1990/12/7,11.0,18.4,5.1
1990/12/8,11.0,18.6,6.1
1990/12/9,9.7,14.0,5.3
1990/12/10,10.8,18.1,6.4
1990/12/11,7.6,13.6,5.1
1990/12/12,6.2,9.2,3.8
1990/12/13,7.2,13.2,3.3
1990/12/14,9.3,13.6,5.6
1990/12/15,8.0,10.5,4.7
1990/12/16,6.8,10.4,2.6
1990/12/17,5.7,10.7,0.7
1990/12/18,5.9,10.1,3.4
1990/12/19,6.9,9.1,4.8
1990/12/20,6.4,10.5,1.4
1990/12/21,8.4,14.5,5.0
1990/12/22,9.3,12.3,5.3
1990/12/23,5.4,6.9,2.6
1990/12/24,6.5,9.0,5.1
1990/12/25,8.0,12.2,3.6
1990/12/26,3.8,11.2,-0.7
1990/12/27,3.9,6.4,-0.1
1990/12/28,4.3,7.4,0.6
1990/12/29,4.9,9.8,1.9
1990/12/30,4.7,10.1,1.4
1990/12/31,5.6,9.1,0.6
1991/1/1,9.4,13.3,6.9
1991/1/2,7.7,10.0,4.6
1991/1/3,4.6,7.1,3.4
1991/1/4,3.7,6.4,1.8
1991/1/5,2.0,4.1,-0.9
1991/1/6,2.7,5.7,-0.1
1991/1/7,6.0,9.6,3.9
1991/1/8,3.9,6.8,1.2
1991/1/9,3.7,7.7,0.0
1991/1/10,5.0,7.5,-0.4
1991/1/11,5.7,9.6,3.1
1991/1/12,3.6,6.6,1.3
1991/1/13,3.0,6.3,0.1
1991/1/14,2.4,4.8,0.6
1991/1/15,3.4,7.9,0.6
1991/1/16,6.0,10.1,2.2
1991/1/17,6.0,9.9,3.3
1991/1/18,3.9,6.4,2.2
1991/1/19,4.7,11.4,1.6
1991/1/20,6.1,13.2,-1.2
1991/1/21,8.2,9.8,6.6
1991/1/22,6.8,9.4,4.3
1991/1/23,3.5,7.5,-1.1
1991/1/24,3.5,8.8,-1.8
1991/1/25,6.4,8.7,4.2
1991/1/26,2.8,4.8,1.4
1991/1/27,2.7,6.3,0.5
1991/1/28,3.0,5.9,0.4
1991/1/29,3.0,6.5,1.5
1991/1/30,4.1,8.4,2.0
1991/1/31,4.3,9.7,1.1
1991/2/1,4.3,11.0,1.1
1991/2/2,3.5,6.9,0.4
1991/2/3,4.7,9.5,0.3
1991/2/4,4.2,8.6,1.3
1991/2/5,2.8,5.5,0.7
1991/2/6,4.6,10.4,-0.7
1991/2/7,4.4,11.7,0.7
1991/2/8,4.4,7.6,0.4
1991/2/9,3.4,8.9,-2.0
1991/2/10,8.5,12.8,3.9
1991/2/11,7.4,10.7,6.3
1991/2/12,7.1,11.0,3.5
1991/2/13,4.3,7.8,0.0
1991/2/14,6.6,10.8,0.8
1991/2/15,9.7,15.8,6.7
1991/2/16,4.6,6.9,1.2
1991/2/17,3.8,6.2,1.4
1991/2/18,3.2,6.3,0.1
1991/2/19,1.2,5.9,-1.4
1991/2/20,0.8,3.9,-1.5
1991/2/21,0.9,3.8,-1.7
1991/2/22,-0.9,1.8,-2.5
1991/2/23,-3.1,-1.3,-5.3
1991/2/24,-0.7,2.4,-2.4
1991/2/25,1.8,7.3,-2.2
1991/2/26,2.4,8.9,-3.6
1991/2/27,5.4,13.1,-1.8
1991/2/28,7.1,10.4,4.8
1991/3/1,4.7,9.1,-0.7
1991/3/2,3.7,11.0,-1.7
1991/3/3,4.4,11.8,-0.9
1991/3/4,6.5,14.0,-2.1
1991/3/5,10.3,15.3,6.8
1991/3/6,10.8,18.3,6.6
1991/3/7,7.4,9.2,5.9
1991/3/8,5.2,6.9,3.9
1991/3/9,8.7,11.4,6.7
1991/3/10,7.7,11.7,3.7
1991/3/11,6.7,7.7,5.8
1991/3/12,7.2,14.3,3.1
1991/3/13,7.6,14.4,1.7
1991/3/14,3.8,6.0,1.8
1991/3/15,4.4,8.5,1.0
1991/3/16,5.9,11.6,3.3
1991/3/17,6.3,10.0,1.4
1991/3/18,5.7,14.5,-1.0
1991/3/19,8.8,18.5,0.8
1991/3/20,11.5,14.9,6.4
1991/3/21,7.0,10.4,6.2
1991/3/22,8.3,10.8,4.8
1991/3/23,11.0,14.9,8.3
1991/3/24,9.2,15.4,5.7
1991/3/25,9.6,15.5,5.1
1991/3/26,10.4,15.2,6.2
1991/3/27,10.6,12.2,9.0
1991/3/28,8.3,9.1,7.6
1991/3/29,8.5,12.5,5.3
1991/3/30,7.4,9.4,4.1
1991/3/31,8.2,11.6,5.8
