ダウンロードした時刻：2019/10/10 16:00:25

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,4.3,6.8,2.8
1987/12/2,5.9,11.0,2.7
1987/12/3,6.0,10.3,0.2
1987/12/4,6.7,11.8,2.7
1987/12/5,5.8,9.3,2.8
1987/12/6,2.5,4.7,0.8
1987/12/7,4.3,7.6,0.9
1987/12/8,4.8,8.6,-0.1
1987/12/9,7.3,9.6,4.7
1987/12/10,10.7,14.6,7.6
1987/12/11,10.3,12.2,8.5
1987/12/12,8.6,11.1,7.2
1987/12/13,2.7,7.8,0.8
1987/12/14,5.1,9.0,0.8
1987/12/15,9.0,15.0,2.7
1987/12/16,10.1,15.0,4.9
1987/12/17,7.6,13.3,3.4
1987/12/18,5.4,8.4,2.7
1987/12/19,6.9,11.1,2.8
1987/12/20,7.6,11.7,2.8
1987/12/21,7.9,11.9,3.9
1987/12/22,7.0,10.7,4.2
1987/12/23,9.2,15.2,3.2
1987/12/24,9.8,13.8,6.1
1987/12/25,12.4,17.6,5.3
1987/12/26,14.2,18.8,8.9
1987/12/27,11.3,15.5,6.7
1987/12/28,10.6,16.0,6.4
1987/12/29,11.9,16.9,5.8
1987/12/30,11.1,20.9,4.7
1987/12/31,7.3,11.1,3.8
1988/1/1,8.3,14.9,4.3
1988/1/2,8.3,12.5,3.4
1988/1/3,8.7,10.1,7.7
1988/1/4,9.5,14.8,6.6
1988/1/5,5.5,8.9,1.2
1988/1/6,4.5,8.6,0.8
1988/1/7,3.0,5.5,0.3
1988/1/8,7.6,12.1,2.2
1988/1/9,8.7,13.1,4.8
1988/1/10,4.3,7.5,2.4
1988/1/11,4.7,9.4,0.4
1988/1/12,6.9,11.9,1.2
1988/1/13,8.1,12.5,3.9
1988/1/14,9.3,15.3,3.6
1988/1/15,10.2,13.5,3.9
1988/1/16,9.8,12.2,8.0
1988/1/17,7.0,9.6,5.2
1988/1/18,5.8,12.9,2.2
1988/1/19,5.7,8.4,2.4
1988/1/20,6.9,10.9,2.9
1988/1/21,6.2,8.6,3.2
1988/1/22,11.3,16.0,7.4
1988/1/23,11.5,16.2,4.1
1988/1/24,4.8,8.6,1.6
1988/1/25,6.5,11.5,0.2
1988/1/26,7.4,12.3,2.8
1988/1/27,7.1,10.4,4.5
1988/1/28,8.0,12.4,3.1
1988/1/29,9.6,14.5,3.5
1988/1/30,7.7,10.3,5.1
1988/1/31,7.4,12.2,3.3
1988/2/1,6.1,8.2,3.8
1988/2/2,7.8,13.5,1.9
1988/2/3,2.5,7.0,-0.9
1988/2/4,4.0,8.3,-2.5
1988/2/5,11.9,18.5,1.5
1988/2/6,8.9,15.3,5.2
1988/2/7,3.9,8.4,1.1
1988/2/8,4.0,8.4,-0.7
1988/2/9,4.8,9.5,0.1
1988/2/10,4.2,8.6,1.4
1988/2/11,4.8,9.4,1.0
1988/2/12,2.9,4.8,-0.1
1988/2/13,5.7,10.4,1.8
1988/2/14,4.8,7.8,2.0
1988/2/15,3.3,8.8,1.3
1988/2/16,2.2,6.6,-1.1
1988/2/17,2.7,5.5,0.1
1988/2/18,2.4,6.6,-0.7
1988/2/19,3.5,8.4,-0.6
1988/2/20,6.3,11.9,0.3
1988/2/21,4.2,8.4,0.0
1988/2/22,3.4,7.6,-1.5
1988/2/23,7.1,13.3,1.0
1988/2/24,5.7,9.1,4.1
1988/2/25,2.8,4.6,0.8
1988/2/26,4.6,6.0,3.0
1988/2/27,2.0,3.7,0.8
1988/2/28,4.6,9.0,2.5
1988/2/29,6.3,9.4,1.2
1988/3/1,5.8,7.8,4.7
1988/3/2,4.8,5.7,4.0
1988/3/3,7.0,11.6,4.6
1988/3/4,5.1,9.5,1.3
1988/3/5,6.3,9.9,1.3
1988/3/6,8.1,11.8,3.0
1988/3/7,6.9,12.1,3.8
1988/3/8,6.2,10.7,2.7
1988/3/9,6.2,10.5,2.0
1988/3/10,8.0,13.4,2.1
1988/3/11,11.8,16.5,3.9
1988/3/12,14.2,22.2,8.8
1988/3/13,11.5,15.7,6.7
1988/3/14,13.4,18.2,7.5
1988/3/15,10.3,13.6,5.1
1988/3/16,7.3,11.5,2.7
1988/3/17,4.7,8.9,2.6
1988/3/18,7.8,10.1,4.4
1988/3/19,10.6,14.0,7.1
1988/3/20,8.9,10.7,7.9
1988/3/21,6.6,8.7,4.2
1988/3/22,7.5,12.0,3.9
1988/3/23,11.7,16.6,7.2
1988/3/24,8.8,13.3,5.1
1988/3/25,7.4,9.1,4.6
1988/3/26,4.4,8.0,1.4
1988/3/27,7.3,11.3,2.9
1988/3/28,9.6,14.6,3.9
1988/3/29,7.9,9.9,6.4
1988/3/30,6.1,8.0,4.4
1988/3/31,4.7,7.1,1.7
