ダウンロードした時刻：2019/10/10 16:06:31

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,13.2,14.6,12.1
2003/12/2,12.9,13.9,11.0
2003/12/3,10.8,14.9,6.6
2003/12/4,8.3,12.5,5.0
2003/12/5,9.2,13.6,6.4
2003/12/6,11.9,17.2,8.6
2003/12/7,7.5,11.2,5.0
2003/12/8,5.9,11.5,2.4
2003/12/9,6.4,9.0,4.4
2003/12/10,6.8,10.3,2.6
2003/12/11,4.4,6.1,2.3
2003/12/12,6.9,11.5,4.9
2003/12/13,5.4,9.3,4.3
2003/12/14,5.6,11.2,2.5
2003/12/15,5.3,12.4,2.1
2003/12/16,5.6,8.7,2.8
2003/12/17,7.2,12.5,2.6
2003/12/18,6.8,10.2,4.7
2003/12/19,3.1,8.2,-0.1
2003/12/20,1.4,4.2,-0.1
2003/12/21,1.3,3.8,-0.4
2003/12/22,3.6,9.4,0.1
2003/12/23,5.2,12.0,2.3
2003/12/24,5.3,8.9,1.1
2003/12/25,7.3,15.4,0.9
2003/12/26,6.0,8.8,1.0
2003/12/27,2.3,3.9,0.4
2003/12/28,3.7,8.8,1.3
2003/12/29,5.5,10.9,0.0
2003/12/30,5.6,7.7,2.8
2003/12/31,6.5,9.8,3.1
2004/1/1,7.3,12.9,4.1
2004/1/2,6.1,13.2,1.5
2004/1/3,5.2,11.6,0.7
2004/1/4,6.1,9.7,4.5
2004/1/5,5.8,9.3,3.8
2004/1/6,4.1,8.3,1.6
2004/1/7,5.3,12.2,1.3
2004/1/8,4.0,5.9,2.5
2004/1/9,3.9,7.9,-1.0
2004/1/10,5.1,12.3,-1.4
2004/1/11,4.5,5.6,3.8
2004/1/12,5.2,9.8,1.0
2004/1/13,3.7,8.1,0.1
2004/1/14,0.5,1.1,0.1
2004/1/15,2.1,4.4,0.3
2004/1/16,3.1,4.2,1.2
2004/1/17,2.0,3.9,0.7
2004/1/18,2.8,6.4,0.2
2004/1/19,4.2,9.4,1.8
2004/1/20,3.1,9.4,-0.7
2004/1/21,1.8,8.8,-2.2
2004/1/22,-2.1,1.6,-4.1
2004/1/23,0.6,6.5,-3.9
2004/1/24,0.5,7.4,-3.5
2004/1/25,0.8,4.9,-2.4
2004/1/26,0.3,3.1,-2.6
2004/1/27,1.2,5.3,-0.9
2004/1/28,1.9,5.5,-0.1
2004/1/29,4.0,9.9,0.8
2004/1/30,4.5,10.3,1.4
2004/1/31,4.1,8.0,-0.3
2004/2/1,3.5,10.5,-1.8
2004/2/2,7.5,11.2,4.0
2004/2/3,5.3,10.1,0.4
2004/2/4,2.4,7.9,-0.2
2004/2/5,0.7,5.5,-2.3
2004/2/6,1.8,8.5,-3.0
2004/2/7,0.8,5.4,-2.9
2004/2/8,2.8,8.3,-2.0
2004/2/9,1.7,3.7,-0.6
2004/2/10,1.9,7.1,-1.6
2004/2/11,4.2,12.6,-2.3
2004/2/12,4.7,10.8,-0.1
2004/2/13,4.0,10.3,-0.2
2004/2/14,7.2,16.6,1.5
2004/2/15,4.9,8.1,2.2
2004/2/16,4.5,7.6,-1.3
2004/2/17,5.3,10.8,-1.6
2004/2/18,5.9,11.5,0.9
2004/2/19,6.6,17.1,-1.0
2004/2/20,7.2,15.6,1.0
2004/2/21,12.2,21.2,4.2
2004/2/22,15.8,22.8,10.1
2004/2/23,5.7,10.9,2.4
2004/2/24,5.7,12.3,-0.8
2004/2/25,10.1,17.6,3.7
2004/2/26,7.0,13.1,0.7
2004/2/27,2.8,7.5,0.2
2004/2/28,6.6,13.4,-0.5
2004/2/29,9.9,13.3,7.8
2004/3/1,6.2,7.9,3.0
2004/3/2,3.6,10.3,0.1
2004/3/3,2.4,5.9,0.3
2004/3/4,2.2,6.1,0.2
2004/3/5,4.6,11.3,-2.3
2004/3/6,3.3,9.0,-1.5
2004/3/7,0.4,2.1,-1.4
2004/3/8,2.1,7.8,-0.5
2004/3/9,6.5,14.0,0.1
2004/3/10,12.1,20.3,2.3
2004/3/11,11.8,19.0,4.7
2004/3/12,6.9,11.8,1.9
2004/3/13,6.5,15.4,-0.4
2004/3/14,7.7,18.6,-0.3
2004/3/15,7.6,14.1,2.0
2004/3/16,12.3,21.8,2.1
2004/3/17,17.9,22.4,11.6
2004/3/18,7.2,15.8,5.4
2004/3/19,6.6,10.9,2.4
2004/3/20,6.0,11.6,1.8
2004/3/21,6.5,12.3,0.7
2004/3/22,5.4,6.7,4.3
2004/3/23,8.0,12.6,4.3
2004/3/24,9.8,17.2,3.0
2004/3/25,9.7,12.1,8.1
2004/3/26,9.6,11.7,7.5
2004/3/27,8.3,13.5,3.4
2004/3/28,10.4,21.7,1.2
2004/3/29,16.6,23.8,8.0
2004/3/30,14.4,18.1,11.4
2004/3/31,10.2,14.4,3.8
