ダウンロードした時刻：2017/07/24 15:44:33

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/1/1,3.7,6.8,2.0
2005/1/2,5.4,8.9,0.7
2005/1/3,9.0,13.1,3.2
2005/1/4,9.0,12.6,3.5
2005/1/5,4.7,7.2,2.9
2005/1/6,5.9,7.7,3.6
2005/1/7,7.6,12.3,4.7
2005/1/8,5.2,8.6,3.8
2005/1/9,4.3,8.6,1.8
2005/1/10,3.8,6.8,1.0
2005/1/11,4.6,7.4,2.3
2005/1/12,4.3,6.8,1.9
2005/1/13,5.4,9.0,1.4
2005/1/14,7.0,8.9,3.8
2005/1/15,7.3,9.3,5.3
2005/1/16,6.9,9.7,4.2
2005/1/17,6.4,9.8,4.2
2005/1/18,6.9,10.1,4.1
2005/1/19,7.3,11.2,4.3
2005/1/20,4.3,7.6,1.9
2005/1/21,3.4,7.1,1.0
2005/1/22,4.9,8.1,1.0
2005/1/23,5.9,7.6,4.0
2005/1/24,6.7,11.1,2.0
2005/1/25,8.2,11.0,5.9
2005/1/26,5.8,9.0,2.6
2005/1/27,5.2,7.1,2.1
2005/1/28,7.6,11.1,3.9
2005/1/29,9.8,14.1,4.8
2005/1/30,6.3,9.2,3.5
2005/1/31,3.8,6.8,1.4
2005/2/1,0.6,3.5,-1.5
2005/2/2,2.2,5.8,-1.7
2005/2/3,3.6,7.7,0.5
2005/2/4,5.8,9.2,2.6
2005/2/5,7.0,11.0,5.0
2005/2/6,4.5,7.3,2.7
2005/2/7,5.1,7.3,2.9
2005/2/8,6.7,8.9,4.6
2005/2/9,9.0,13.4,4.4
2005/2/10,8.4,10.5,4.9
2005/2/11,5.3,7.8,3.4
2005/2/12,4.5,7.6,1.9
2005/2/13,5.0,8.5,2.2
2005/2/14,6.0,8.2,1.8
2005/2/15,7.7,10.5,5.2
2005/2/16,10.5,12.8,6.5
2005/2/17,8.7,11.6,6.4
2005/2/18,7.8,11.0,5.4
2005/2/19,8.9,12.2,6.7
2005/2/20,5.2,7.9,1.1
2005/2/21,2.7,6.6,-0.2
2005/2/22,3.8,7.1,-0.3
2005/2/23,10.6,14.3,5.9
2005/2/24,6.9,10.4,4.8
2005/2/25,7.7,11.1,4.6
2005/2/26,3.4,7.0,1.4
2005/2/27,3.7,6.4,0.8
2005/2/28,6.2,10.8,2.2
2005/3/1,5.7,9.5,3.9
2005/3/2,6.8,10.1,3.1
2005/3/3,7.5,10.0,5.4
2005/3/4,6.0,9.0,3.8
2005/3/5,5.2,8.0,3.2
2005/3/6,5.9,9.9,3.4
2005/3/7,7.2,12.3,1.8
2005/3/8,11.1,14.6,6.4
2005/3/9,13.4,17.5,9.2
2005/3/10,14.5,18.9,10.5
2005/3/11,14.0,16.1,11.8
2005/3/12,6.3,12.1,1.4
2005/3/13,2.6,6.5,-0.4
2005/3/14,4.2,8.1,0.1
2005/3/15,6.9,10.7,3.2
2005/3/16,11.0,16.1,5.8
2005/3/17,13.1,16.2,10.5
2005/3/18,9.2,13.1,5.0
2005/3/19,7.8,11.8,3.2
2005/3/20,9.2,13.4,5.9
2005/3/21,10.9,14.1,6.9
2005/3/22,12.0,14.6,9.6
2005/3/23,9.9,13.0,6.7
2005/3/24,7.5,12.9,4.0
2005/3/25,5.2,8.0,2.2
2005/3/26,10.7,14.3,5.6
2005/3/27,12.1,16.8,7.2
2005/3/28,12.5,14.4,10.9
2005/3/29,10.8,13.9,7.0
2005/3/30,9.3,12.9,4.7
2005/3/31,11.8,16.4,7.1
2005/4/1,11.2,14.9,7.6
2005/4/2,13.9,17.1,10.5
2005/4/3,12.6,16.1,8.6
2005/4/4,9.4,13.8,6.4
2005/4/5,11.7,16.5,5.8
2005/4/6,15.8,22.5,10.3
2005/4/7,17.5,18.9,15.4
2005/4/8,17.3,21.8,11.6
2005/4/9,15.0,19.9,9.3
2005/4/10,19.0,22.9,15.0
2005/4/11,14.2,18.3,11.4
2005/4/12,10.9,12.2,9.7
2005/4/13,12.0,14.5,9.7
2005/4/14,13.5,19.0,8.2
2005/4/15,16.3,21.1,12.1
2005/4/16,15.9,19.2,12.6
2005/4/17,16.5,20.5,11.0
2005/4/18,18.1,23.2,14.1
2005/4/19,18.2,22.6,14.1
2005/4/20,16.7,18.8,15.0
2005/4/21,16.3,19.7,13.1
2005/4/22,15.6,18.6,13.2
2005/4/23,15.3,19.2,11.2
2005/4/24,15.4,19.8,10.3
2005/4/25,17.7,20.8,14.2
2005/4/26,18.3,22.6,15.4
2005/4/27,17.8,21.9,12.2
2005/4/28,20.2,23.4,17.2
2005/4/29,22.1,27.0,18.8
2005/4/30,22.1,28.5,18.9
2005/5/1,20.2,22.7,18.5
