ダウンロードした時刻：2019/10/10 16:12:42

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,12.0,15.8,8.5
1998/12/2,11.3,14.1,9.4
1998/12/3,9.8,11.5,6.8
1998/12/4,10.5,13.7,6.5
1998/12/5,11.4,12.7,9.9
1998/12/6,10.5,12.9,7.4
1998/12/7,11.7,15.0,9.8
1998/12/8,9.4,11.1,6.8
1998/12/9,7.2,10.9,3.9
1998/12/10,7.0,10.4,4.3
1998/12/11,7.3,10.5,5.2
1998/12/12,7.4,10.8,5.5
1998/12/13,8.9,12.4,5.4
1998/12/14,11.3,14.1,8.3
1998/12/15,10.9,13.3,8.5
1998/12/16,10.5,14.2,8.3
1998/12/17,10.8,14.6,7.2
1998/12/18,9.2,11.6,6.1
1998/12/19,11.2,14.9,7.8
1998/12/20,11.3,13.4,7.7
1998/12/21,7.9,11.2,5.9
1998/12/22,9.6,13.4,6.2
1998/12/23,10.0,13.1,7.8
1998/12/24,8.0,9.8,6.2
1998/12/25,7.5,10.5,5.6
1998/12/26,8.8,12.4,6.2
1998/12/27,8.6,11.3,6.9
1998/12/28,9.2,12.8,5.5
1998/12/29,10.1,13.5,7.4
1998/12/30,8.9,11.1,6.2
1998/12/31,6.7,9.6,5.2
1999/1/1,5.6,8.3,3.9
1999/1/2,6.9,10.2,3.7
1999/1/3,6.9,10.1,4.4
1999/1/4,6.4,10.3,2.5
1999/1/5,6.9,9.9,4.5
1999/1/6,8.5,11.6,5.5
1999/1/7,7.2,10.7,2.1
1999/1/8,1.4,3.9,0.2
1999/1/9,1.7,4.4,0.2
1999/1/10,3.2,5.6,0.6
1999/1/11,4.7,7.1,2.7
1999/1/12,5.1,7.6,3.1
1999/1/13,5.4,8.0,3.4
1999/1/14,6.4,9.4,4.3
1999/1/15,4.6,7.0,3.2
1999/1/16,6.1,8.9,3.4
1999/1/17,4.8,7.6,2.9
1999/1/18,5.8,9.1,2.5
1999/1/19,7.1,8.5,5.7
1999/1/20,7.9,11.6,5.8
1999/1/21,4.6,7.8,2.2
1999/1/22,5.4,8.9,1.7
1999/1/23,7.8,10.9,4.1
1999/1/24,7.5,8.8,6.1
1999/1/25,7.3,8.9,5.5
1999/1/26,7.4,10.7,3.0
1999/1/27,6.6,10.3,2.2
1999/1/28,8.5,12.7,3.8
1999/1/29,4.3,8.5,1.2
1999/1/30,3.9,7.4,1.0
1999/1/31,5.3,9.4,1.7
1999/2/1,6.5,8.6,4.3
1999/2/2,6.0,10.7,0.8
1999/2/3,0.7,3.4,-2.1
1999/2/4,0.7,5.3,-2.7
1999/2/5,3.5,8.1,0.4
1999/2/6,3.6,7.3,1.5
1999/2/7,6.3,11.1,2.6
1999/2/8,7.0,11.6,2.1
1999/2/9,7.7,12.2,3.6
1999/2/10,7.8,10.8,5.6
1999/2/11,4.7,6.0,3.2
1999/2/12,3.9,7.3,0.2
1999/2/13,1.7,4.6,-1.7
1999/2/14,3.4,7.0,-0.8
1999/2/15,5.2,8.6,2.1
1999/2/16,6.9,10.6,3.8
1999/2/17,8.7,12.6,4.8
1999/2/18,8.3,11.1,6.0
1999/2/19,4.9,9.0,1.9
1999/2/20,3.4,8.2,1.1
1999/2/21,3.4,7.6,0.3
1999/2/22,4.3,8.4,0.2
1999/2/23,6.9,11.3,3.1
1999/2/24,6.6,8.3,4.7
1999/2/25,8.2,12.6,5.9
1999/2/26,8.1,14.9,4.5
1999/2/27,8.0,15.1,2.7
1999/2/28,4.9,9.5,1.2
1999/3/1,7.9,12.3,3.8
1999/3/2,10.7,15.2,7.0
1999/3/3,10.1,13.2,7.5
1999/3/4,9.9,12.9,6.5
1999/3/5,14.4,19.3,10.7
1999/3/6,9.3,13.7,7.2
1999/3/7,7.0,7.9,6.2
1999/3/8,7.8,11.7,5.4
1999/3/9,6.0,7.3,4.7
1999/3/10,7.2,10.8,4.2
1999/3/11,7.3,10.0,5.8
1999/3/12,5.9,9.0,3.6
1999/3/13,7.4,10.3,3.2
1999/3/14,12.0,18.1,7.9
1999/3/15,13.3,18.0,10.7
1999/3/16,10.8,13.9,7.7
1999/3/17,12.3,17.4,6.8
1999/3/18,15.3,20.9,11.1
1999/3/19,12.5,15.9,8.4
1999/3/20,5.5,8.4,3.1
1999/3/21,6.2,7.8,3.9
1999/3/22,4.6,7.3,1.8
1999/3/23,5.0,8.7,0.7
1999/3/24,9.4,14.3,4.8
1999/3/25,11.3,14.6,9.1
1999/3/26,13.2,17.6,10.6
1999/3/27,10.4,13.8,6.3
1999/3/28,7.9,12.3,5.1
1999/3/29,5.7,8.6,3.7
1999/3/30,5.1,7.1,3.6
1999/3/31,10.7,16.1,5.4
