ダウンロードした時刻：2019/10/10 16:00:07

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,10.2,14.7,5.9
2000/12/2,9.4,15.5,4.0
2000/12/3,10.3,12.8,7.9
2000/12/4,9.6,15.8,4.5
2000/12/5,10.5,16.9,3.5
2000/12/6,9.5,15.3,3.9
2000/12/7,7.7,14.5,2.9
2000/12/8,8.8,15.0,4.0
2000/12/9,10.1,17.7,4.3
2000/12/10,12.7,16.7,8.4
2000/12/11,11.4,15.6,6.2
2000/12/12,5.9,10.8,1.4
2000/12/13,6.1,11.9,0.9
2000/12/14,6.9,10.5,3.5
2000/12/15,7.4,14.7,1.9
2000/12/16,10.9,19.8,3.4
2000/12/17,10.0,13.0,7.3
2000/12/18,10.8,13.2,7.3
2000/12/19,13.0,19.4,8.2
2000/12/20,9.4,14.0,4.6
2000/12/21,9.2,13.5,3.7
2000/12/22,7.0,13.5,2.1
2000/12/23,10.3,17.2,3.1
2000/12/24,9.1,13.2,3.1
2000/12/25,6.5,15.1,2.1
2000/12/26,5.5,8.6,1.8
2000/12/27,4.0,10.1,-0.4
2000/12/28,6.3,12.4,1.1
2000/12/29,5.1,11.6,0.6
2000/12/30,6.4,12.2,-0.3
2000/12/31,10.9,14.4,8.1
2001/1/1,6.8,11.1,1.7
2001/1/2,8.7,14.8,1.1
2001/1/3,7.2,9.3,4.1
2001/1/4,5.4,8.2,2.9
2001/1/5,5.1,9.3,0.5
2001/1/6,5.2,10.1,0.5
2001/1/7,3.5,6.4,-0.7
2001/1/8,10.1,14.1,5.2
2001/1/9,9.1,16.0,3.7
2001/1/10,10.4,15.2,3.2
2001/1/11,7.7,14.0,1.9
2001/1/12,6.4,9.4,4.2
2001/1/13,4.3,7.6,1.4
2001/1/14,3.2,5.4,0.4
2001/1/15,1.4,4.6,-0.4
2001/1/16,2.5,6.2,-0.5
2001/1/17,2.4,8.2,-2.6
2001/1/18,3.6,10.5,-2.0
2001/1/19,5.0,10.0,0.6
2001/1/20,3.8,5.6,0.4
2001/1/21,6.8,12.3,1.3
2001/1/22,6.4,12.1,0.3
2001/1/23,7.1,13.2,2.3
2001/1/24,4.8,10.9,-0.7
2001/1/25,6.8,10.3,4.1
2001/1/26,9.5,12.6,8.3
2001/1/27,8.6,11.3,6.3
2001/1/28,7.3,13.0,2.8
2001/1/29,5.4,9.4,0.8
2001/1/30,4.4,10.7,-0.5
2001/1/31,6.4,13.3,-0.4
2001/2/1,7.8,12.3,5.8
2001/2/2,4.8,9.9,-0.3
2001/2/3,4.0,11.0,-1.3
2001/2/4,5.4,9.8,0.7
2001/2/5,9.1,13.8,4.7
2001/2/6,8.6,11.1,5.7
2001/2/7,7.8,10.2,4.6
2001/2/8,7.5,12.6,1.6
2001/2/9,5.3,12.1,-0.1
2001/2/10,6.0,11.6,1.3
2001/2/11,5.1,12.5,-1.3
2001/2/12,5.2,8.6,1.5
2001/2/13,6.3,9.2,3.7
2001/2/14,5.5,10.9,0.9
2001/2/15,4.0,10.1,-1.1
2001/2/16,5.2,11.1,1.0
2001/2/17,3.8,10.2,-2.3
2001/2/18,7.7,13.6,1.3
2001/2/19,10.1,16.5,3.5
2001/2/20,8.2,14.7,2.2
2001/2/21,10.2,15.3,4.0
2001/2/22,12.2,18.6,6.8
2001/2/23,13.1,18.5,6.6
2001/2/24,13.6,15.3,10.0
2001/2/25,7.2,11.0,3.1
2001/2/26,5.1,10.8,0.0
2001/2/27,7.4,15.0,0.0
2001/2/28,10.5,18.1,4.1
2001/3/1,11.7,14.0,8.0
2001/3/2,8.3,11.7,2.3
2001/3/3,7.6,14.5,0.6
2001/3/4,9.6,14.1,1.6
2001/3/5,6.0,10.6,1.1
2001/3/6,8.0,14.4,1.8
2001/3/7,10.4,17.8,6.1
2001/3/8,6.2,11.9,1.2
2001/3/9,3.7,8.8,0.9
2001/3/10,7.1,12.8,0.6
2001/3/11,5.3,10.3,1.4
2001/3/12,6.7,12.9,0.0
2001/3/13,7.3,12.8,3.9
2001/3/14,10.0,16.7,3.4
2001/3/15,14.4,23.7,6.9
2001/3/16,9.0,14.9,2.5
2001/3/17,8.8,10.6,5.7
2001/3/18,12.6,18.8,7.7
2001/3/19,12.5,19.5,5.2
2001/3/20,13.9,21.3,6.7
2001/3/21,14.7,21.5,9.3
2001/3/22,13.0,18.4,7.9
2001/3/23,14.0,17.9,10.0
2001/3/24,13.7,17.1,9.6
2001/3/25,14.0,16.1,12.9
2001/3/26,14.3,20.1,7.6
2001/3/27,11.2,17.6,5.7
2001/3/28,12.2,15.2,9.5
2001/3/29,11.6,14.7,8.6
2001/3/30,9.8,14.3,7.1
2001/3/31,7.3,13.1,2.4
