ダウンロードした時刻：2019/10/10 16:15:24

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,11.7,15.0,8.5
1997/12/2,6.6,9.7,3.8
1997/12/3,4.7,7.2,1.7
1997/12/4,6.7,12.1,2.8
1997/12/5,8.9,16.4,2.7
1997/12/6,12.5,19.1,5.8
1997/12/7,16.2,19.9,12.9
1997/12/8,14.3,17.3,10.6
1997/12/9,9.3,11.6,7.8
1997/12/10,5.8,8.3,3.2
1997/12/11,6.0,10.0,2.7
1997/12/12,5.5,7.9,1.8
1997/12/13,7.1,11.4,4.1
1997/12/14,7.2,12.6,3.1
1997/12/15,9.7,15.0,4.8
1997/12/16,9.8,14.4,5.8
1997/12/17,10.2,12.2,8.8
1997/12/18,11.3,15.5,7.8
1997/12/19,11.5,16.8,6.6
1997/12/20,13.0,15.1,11.5
1997/12/21,12.1,16.3,8.7
1997/12/22,8.0,9.8,4.9
1997/12/23,8.7,11.2,5.9
1997/12/24,7.3,12.9,2.7
1997/12/25,8.5,15.0,2.3
1997/12/26,9.9,14.4,7.1
1997/12/27,9.7,15.7,5.2
1997/12/28,9.1,14.4,4.8
1997/12/29,8.0,12.8,3.2
1997/12/30,8.2,11.7,6.3
1997/12/31,8.4,11.9,4.2
1998/1/1,7.0,8.6,5.1
1998/1/2,7.4,13.1,3.8
1998/1/3,8.6,14.5,2.9
1998/1/4,9.2,13.2,6.2
1998/1/5,6.0,7.9,3.6
1998/1/6,7.2,9.6,2.0
1998/1/7,6.4,11.3,1.3
1998/1/8,7.9,9.2,5.8
1998/1/9,8.1,11.5,3.6
1998/1/10,6.7,11.0,2.4
1998/1/11,7.0,8.4,5.5
1998/1/12,6.9,12.0,3.6
1998/1/13,6.8,11.8,1.4
1998/1/14,7.0,8.7,6.2
1998/1/15,6.8,7.8,6.1
1998/1/16,7.7,12.8,2.7
1998/1/17,6.6,9.7,2.4
1998/1/18,8.9,13.4,4.0
1998/1/19,2.2,6.3,0.6
1998/1/20,3.6,6.4,-0.5
1998/1/21,6.8,9.5,4.8
1998/1/22,4.4,7.8,1.0
1998/1/23,2.7,3.9,0.9
1998/1/24,1.0,3.4,-1.6
1998/1/25,1.2,5.4,-2.2
1998/1/26,5.1,8.2,1.5
1998/1/27,5.7,8.8,2.5
1998/1/28,5.5,9.3,2.2
1998/1/29,4.3,8.6,0.5
1998/1/30,5.3,9.6,0.2
1998/1/31,8.2,11.8,3.5
1998/2/1,4.6,8.0,1.4
1998/2/2,5.4,11.3,-0.4
1998/2/3,6.4,10.1,1.9
1998/2/4,6.2,10.1,2.2
1998/2/5,4.2,10.0,-0.8
1998/2/6,5.1,10.2,0.0
1998/2/7,6.1,11.7,1.9
1998/2/8,5.1,8.3,1.9
1998/2/9,5.1,8.2,2.6
1998/2/10,8.2,12.7,2.2
1998/2/11,6.7,12.5,0.1
1998/2/12,11.9,17.5,7.5
1998/2/13,13.9,20.2,8.7
1998/2/14,13.2,17.7,9.8
1998/2/15,8.4,12.1,5.2
1998/2/16,7.8,12.7,2.4
1998/2/17,7.7,12.2,3.8
1998/2/18,5.8,10.9,0.4
1998/2/19,10.7,18.1,2.6
1998/2/20,12.7,14.5,11.2
1998/2/21,11.2,14.2,6.0
1998/2/22,8.0,11.8,3.7
1998/2/23,8.9,11.6,7.5
1998/2/24,10.2,12.5,8.6
1998/2/25,9.8,11.2,8.6
1998/2/26,9.7,14.9,6.8
1998/2/27,9.9,14.7,5.9
1998/2/28,9.0,12.2,7.0
1998/3/1,8.7,11.6,4.6
1998/3/2,6.8,13.4,0.6
1998/3/3,8.8,14.0,3.7
1998/3/4,10.3,15.5,4.8
1998/3/5,7.8,11.8,4.1
1998/3/6,8.5,14.5,2.1
1998/3/7,9.1,13.3,4.8
1998/3/8,7.1,12.1,0.6
1998/3/9,12.3,17.8,8.5
1998/3/10,9.5,11.3,8.2
1998/3/11,12.1,18.1,7.3
1998/3/12,11.0,13.1,8.5
1998/3/13,9.8,14.0,5.4
1998/3/14,12.5,17.6,8.0
1998/3/15,6.9,10.7,3.0
1998/3/16,7.2,12.8,1.8
1998/3/17,9.0,15.5,3.2
1998/3/18,9.6,16.3,3.4
1998/3/19,13.9,19.4,5.8
1998/3/20,11.6,19.8,6.1
1998/3/21,8.0,11.1,4.9
1998/3/22,8.3,12.2,4.6
1998/3/23,8.0,12.5,2.9
1998/3/24,10.0,13.7,7.6
1998/3/25,10.9,14.7,7.2
1998/3/26,10.9,17.7,5.7
1998/3/27,12.0,14.1,9.2
1998/3/28,13.3,17.9,9.6
1998/3/29,13.6,18.8,7.2
1998/3/30,15.3,21.2,9.5
1998/3/31,15.8,20.7,10.0
