ダウンロードした時刻：2019/10/10 15:36:46

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,4.2,8.2,1.1
2018/12/2,4.8,10.4,0.7
2018/12/3,8.3,15.5,1.7
2018/12/4,11.9,14.5,9.9
2018/12/5,7.1,11.9,2.1
2018/12/6,2.3,3.6,0.9
2018/12/7,3.8,12.4,0.1
2018/12/8,-0.6,1.0,-2.0
2018/12/9,-0.6,1.5,-2.2
2018/12/10,0.3,1.8,-1.6
2018/12/11,0.2,2.8,-1.7
2018/12/12,3.4,9.2,0.1
2018/12/13,2.5,4.8,0.3
2018/12/14,0.6,2.7,-1.5
2018/12/15,0.3,3.4,-2.3
2018/12/16,2.2,4.1,0.0
2018/12/17,4.6,8.0,2.8
2018/12/18,4.0,6.2,1.7
2018/12/19,3.0,6.0,0.6
2018/12/20,5.4,7.3,3.5
2018/12/21,5.1,8.1,2.5
2018/12/22,3.8,8.2,0.6
2018/12/23,3.3,6.8,0.1
2018/12/24,2.9,5.1,1.4
2018/12/25,2.2,4.2,1.0
2018/12/26,3.6,7.2,0.8
2018/12/27,-1.9,0.8,-4.0
2018/12/28,-1.7,0.0,-3.9
2018/12/29,-0.9,0.9,-2.7
2018/12/30,-0.5,1.7,-2.0
2018/12/31,0.5,4.1,-2.5
2019/1/1,1.6,3.4,-2.0
2019/1/2,-0.1,4.4,-3.2
2019/1/3,-0.2,1.4,-2.4
2019/1/4,2.9,5.9,-0.7
2019/1/5,1.7,5.4,-1.9
2019/1/6,0.5,2.2,-1.8
2019/1/7,0.6,2.4,-1.1
2019/1/8,2.1,3.3,0.3
2019/1/9,1.2,4.4,-1.5
2019/1/10,6.0,8.9,4.0
2019/1/11,1.9,4.3,-0.6
2019/1/12,2.2,5.2,-0.2
2019/1/13,0.8,5.1,-2.0
2019/1/14,0.2,5.2,-3.4
2019/1/15,2.0,7.3,-3.4
2019/1/16,0.9,4.5,-1.8
2019/1/17,-0.5,3.5,-4.3
2019/1/18,-0.9,1.3,-3.7
2019/1/19,2.8,5.0,-0.9
2019/1/20,1.0,4.3,-1.0
2019/1/21,-0.6,1.1,-4.0
2019/1/22,0.7,3.0,-1.3
2019/1/23,0.4,3.2,-2.1
2019/1/24,-1.1,0.4,-2.6
2019/1/25,-0.8,2.1,-3.1
2019/1/26,-0.8,3.2,-3.3
2019/1/27,-1.2,2.5,-5.8
2019/1/28,1.0,5.3,-1.3
2019/1/29,1.7,3.9,0.4
2019/1/30,2.1,6.2,0.2
2019/1/31,1.3,6.9,-2.3
2019/2/1,-1.9,-0.1,-3.5
2019/2/2,1.7,3.8,-2.5
2019/2/3,1.1,5.6,-3.9
2019/2/4,3.3,10.7,-0.6
2019/2/5,1.5,5.6,-1.4
2019/2/6,2.6,5.5,0.4
2019/2/7,2.0,6.1,-2.1
2019/2/8,-4.6,-1.5,-5.9
2019/2/9,-3.6,-1.4,-5.3
2019/2/10,-3.0,-0.3,-5.5
2019/2/11,-0.8,1.2,-2.5
2019/2/12,-1.4,0.8,-2.7
2019/2/13,-2.0,-0.2,-3.5
2019/2/14,-1.4,-0.3,-3.2
2019/2/15,0.0,2.1,-2.5
2019/2/16,1.3,5.0,-2.3
2019/2/17,2.8,3.8,0.3
2019/2/18,4.1,6.7,-0.8
2019/2/19,3.7,7.3,-1.0
2019/2/20,5.0,7.3,3.0
2019/2/21,4.7,7.5,1.7
2019/2/22,5.9,9.0,4.0
2019/2/23,3.3,7.6,-1.8
2019/2/24,4.1,9.1,-1.1
2019/2/25,5.2,11.6,1.4
2019/2/26,2.6,7.4,-2.0
2019/2/27,2.0,6.6,-1.7
2019/2/28,2.7,8.9,-1.7
2019/3/1,3.5,8.2,-1.0
2019/3/2,6.1,9.8,0.6
2019/3/3,4.5,11.2,-1.3
2019/3/4,5.7,12.2,0.1
2019/3/5,4.7,9.9,-0.4
2019/3/6,6.3,11.9,0.0
2019/3/7,4.1,7.1,0.5
2019/3/8,3.7,6.7,0.1
2019/3/9,7.6,11.3,-0.1
2019/3/10,10.6,13.8,8.3
2019/3/11,8.4,11.9,4.7
2019/3/12,7.0,9.4,5.0
2019/3/13,4.4,7.7,0.6
2019/3/14,3.8,6.4,1.4
2019/3/15,4.7,7.2,2.7
2019/3/16,5.0,7.9,3.1
2019/3/17,4.2,6.8,1.3
2019/3/18,4.8,10.4,0.0
2019/3/19,7.6,14.1,0.1
2019/3/20,10.0,15.5,4.7
2019/3/21,9.8,12.5,6.7
2019/3/22,5.1,10.2,2.0
2019/3/23,1.9,5.2,-0.7
2019/3/24,1.5,5.2,-2.0
2019/3/25,6.4,11.2,0.4
2019/3/26,8.8,12.8,4.3
2019/3/27,3.5,7.1,0.5
2019/3/28,3.0,6.6,0.6
2019/3/29,4.2,8.3,-0.8
2019/3/30,2.8,9.3,-1.9
2019/3/31,2.8,5.8,1.3
