ダウンロードした時刻：2019/10/10 15:53:54

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,6.6,12.5,3.7
1987/12/2,3.9,7.1,0.9
1987/12/3,5.2,9.4,0.6
1987/12/4,5.5,8.6,3.5
1987/12/5,5.8,9.4,2.8
1987/12/6,6.2,10.9,3.7
1987/12/7,4.9,10.1,0.8
1987/12/8,4.6,7.5,1.4
1987/12/9,6.2,8.7,2.6
1987/12/10,9.2,14.9,4.3
1987/12/11,9.4,12.2,6.9
1987/12/12,9.6,13.7,6.2
1987/12/13,8.9,14.4,4.9
1987/12/14,6.6,12.5,1.5
1987/12/15,7.4,11.3,2.2
1987/12/16,8.6,13.3,6.8
1987/12/17,6.9,11.8,3.3
1987/12/18,5.2,9.2,-0.1
1987/12/19,6.6,12.4,1.4
1987/12/20,7.7,13.1,1.5
1987/12/21,7.4,12.1,4.1
1987/12/22,5.9,11.4,0.8
1987/12/23,7.7,13.8,2.6
1987/12/24,7.8,14.6,2.1
1987/12/25,8.5,16.7,1.7
1987/12/26,10.9,17.2,4.9
1987/12/27,10.5,17.8,4.6
1987/12/28,10.3,17.5,4.5
1987/12/29,11.1,18.4,4.6
1987/12/30,9.1,15.5,4.9
1987/12/31,5.6,10.9,1.6
1988/1/1,5.4,12.0,-0.9
1988/1/2,9.2,15.0,2.6
1988/1/3,8.6,13.7,3.5
1988/1/4,5.1,6.7,1.9
1988/1/5,5.4,7.9,3.4
1988/1/6,4.1,8.9,0.6
1988/1/7,3.9,8.3,-1.2
1988/1/8,7.9,12.5,5.5
1988/1/9,5.7,9.7,1.9
1988/1/10,2.7,6.5,1.1
1988/1/11,3.0,6.6,0.2
1988/1/12,5.0,9.4,-0.3
1988/1/13,6.2,12.7,0.6
1988/1/14,6.5,13.2,0.3
1988/1/15,6.6,10.2,2.2
1988/1/16,8.6,14.0,3.9
1988/1/17,6.1,11.0,3.4
1988/1/18,4.3,8.8,1.0
1988/1/19,4.8,9.1,0.1
1988/1/20,6.5,13.3,1.1
1988/1/21,5.2,9.1,0.6
1988/1/22,10.4,13.7,6.3
1988/1/23,6.4,12.3,1.5
1988/1/24,2.1,5.8,-0.3
1988/1/25,3.2,8.3,-0.8
1988/1/26,4.6,9.1,1.1
1988/1/27,5.2,9.6,2.4
1988/1/28,4.3,8.5,1.1
1988/1/29,5.3,11.1,-0.5
1988/1/30,6.3,9.6,3.1
1988/1/31,5.2,9.3,1.7
1988/2/1,3.9,8.4,-0.1
1988/2/2,3.8,11.5,-0.3
1988/2/3,-2.0,1.0,-2.7
1988/2/4,0.4,4.2,-3.7
1988/2/5,2.6,6.2,-1.3
1988/2/6,5.8,11.9,2.3
1988/2/7,0.6,3.3,-1.1
1988/2/8,1.4,5.7,-1.5
1988/2/9,2.7,7.2,-1.3
1988/2/10,2.7,6.8,0.0
1988/2/11,2.7,7.5,-1.5
1988/2/12,3.8,9.3,0.3
1988/2/13,4.2,8.6,0.4
1988/2/14,4.4,9.1,-0.6
1988/2/15,3.1,7.3,0.1
1988/2/16,2.1,6.6,-0.9
1988/2/17,1.7,6.6,-1.9
1988/2/18,1.7,7.4,-2.2
1988/2/19,2.4,8.1,-2.7
1988/2/20,3.6,9.9,-1.5
1988/2/21,3.1,8.3,-0.3
1988/2/22,3.6,8.2,-2.3
1988/2/23,6.2,8.5,4.4
1988/2/24,6.1,11.4,2.6
1988/2/25,5.6,12.1,-0.5
1988/2/26,6.8,11.0,4.0
1988/2/27,3.5,4.5,2.4
1988/2/28,4.9,10.8,0.4
1988/2/29,6.6,10.2,1.6
1988/3/1,7.1,8.8,5.1
1988/3/2,9.0,13.3,6.4
1988/3/3,4.8,9.6,0.2
1988/3/4,3.4,8.7,-0.8
1988/3/5,4.6,9.0,-0.4
1988/3/6,5.6,10.6,0.9
1988/3/7,4.3,8.8,0.9
1988/3/8,3.4,9.3,-0.4
1988/3/9,4.4,8.7,0.0
1988/3/10,6.6,12.5,1.3
1988/3/11,9.3,15.8,1.0
1988/3/12,10.7,13.8,6.3
1988/3/13,10.8,17.6,3.8
1988/3/14,11.3,16.3,5.6
1988/3/15,8.5,14.1,2.0
1988/3/16,4.8,9.4,0.0
1988/3/17,6.4,8.6,3.6
1988/3/18,8.8,13.7,6.2
1988/3/19,10.0,16.5,3.1
1988/3/20,10.6,16.1,5.4
1988/3/21,8.9,11.2,6.9
1988/3/22,9.6,12.1,6.8
1988/3/23,9.8,14.4,7.0
1988/3/24,8.1,14.0,3.9
1988/3/25,6.7,9.2,4.3
1988/3/26,7.3,8.9,5.2
1988/3/27,7.6,13.1,3.3
1988/3/28,9.8,17.0,1.6
1988/3/29,10.7,14.5,8.7
1988/3/30,10.2,13.7,7.3
1988/3/31,10.0,15.8,6.2
