ダウンロードした時刻：2019/10/10 16:01:20

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,12.2,15.1,8.7
1992/12/2,13.6,18.1,9.2
1992/12/3,9.8,11.9,8.1
1992/12/4,8.5,15.6,3.1
1992/12/5,6.9,12.4,1.6
1992/12/6,10.0,15.7,5.3
1992/12/7,14.3,18.8,8.0
1992/12/8,17.7,20.4,12.4
1992/12/9,12.6,17.6,6.9
1992/12/10,13.8,17.4,8.3
1992/12/11,12.6,15.1,9.2
1992/12/12,8.2,11.8,1.8
1992/12/13,11.9,16.8,3.5
1992/12/14,11.4,14.6,8.9
1992/12/15,6.3,10.9,1.2
1992/12/16,5.5,12.1,1.4
1992/12/17,5.0,12.7,-0.6
1992/12/18,4.4,11.4,-0.2
1992/12/19,3.9,11.4,-1.7
1992/12/20,10.0,14.8,1.8
1992/12/21,10.6,13.9,7.7
1992/12/22,8.3,14.5,3.6
1992/12/23,10.1,14.9,3.1
1992/12/24,6.6,10.8,2.6
1992/12/25,4.2,10.1,-1.3
1992/12/26,4.9,12.4,-1.6
1992/12/27,8.2,14.2,0.5
1992/12/28,15.1,17.3,11.0
1992/12/29,10.9,13.9,9.1
1992/12/30,9.8,15.1,4.2
1992/12/31,6.6,13.6,1.2
1993/1/1,5.6,11.2,0.5
1993/1/2,8.5,14.4,1.7
1993/1/3,10.8,17.0,1.5
1993/1/4,10.5,14.3,6.7
1993/1/5,5.1,10.6,-0.6
1993/1/6,5.3,11.1,-2.2
1993/1/7,13.6,18.5,9.1
1993/1/8,10.3,14.7,6.7
1993/1/9,6.0,7.5,3.2
1993/1/10,7.4,10.5,3.0
1993/1/11,6.7,8.3,3.9
1993/1/12,5.9,10.5,1.1
1993/1/13,6.5,11.5,0.0
1993/1/14,7.6,9.9,5.7
1993/1/15,5.5,6.1,4.5
1993/1/16,5.4,6.8,4.0
1993/1/17,6.8,12.3,1.9
1993/1/18,3.8,7.1,0.7
1993/1/19,5.6,11.1,-0.2
1993/1/20,4.2,11.6,-1.6
1993/1/21,3.9,9.6,-0.9
1993/1/22,4.2,10.3,-1.9
1993/1/23,3.2,5.8,-2.4
1993/1/24,5.2,6.6,3.8
1993/1/25,6.8,8.0,5.6
1993/1/26,6.6,9.4,2.1
1993/1/27,8.1,14.2,1.4
1993/1/28,7.2,9.6,5.3
1993/1/29,5.8,11.1,0.2
1993/1/30,5.8,11.8,-0.8
1993/1/31,7.1,12.9,-0.7
1993/2/1,7.5,10.1,2.1
1993/2/2,3.4,9.0,-3.0
1993/2/3,5.0,11.2,-3.1
1993/2/4,7.4,15.0,0.1
1993/2/5,6.4,11.6,0.6
1993/2/6,15.4,17.9,3.4
1993/2/7,17.1,19.6,13.6
1993/2/8,6.9,13.6,-1.0
1993/2/9,4.0,8.9,-1.2
1993/2/10,3.3,11.4,-2.4
1993/2/11,6.6,12.7,-2.2
1993/2/12,9.5,12.6,3.7
1993/2/13,9.3,11.6,4.9
1993/2/14,7.8,12.2,-0.3
1993/2/15,4.2,11.6,-2.2
1993/2/16,8.4,14.9,-0.7
1993/2/17,12.0,17.5,8.8
1993/2/18,10.9,15.0,5.2
1993/2/19,7.8,12.6,4.3
1993/2/20,6.1,11.2,2.6
1993/2/21,9.8,16.0,3.0
1993/2/22,12.6,16.4,7.0
1993/2/23,10.1,13.0,7.4
1993/2/24,7.7,12.1,1.1
1993/2/25,4.5,11.5,-1.8
1993/2/26,5.9,11.9,-0.4
1993/2/27,9.5,14.1,1.8
1993/2/28,12.4,17.5,9.3
1993/3/1,9.9,12.4,4.9
1993/3/2,4.5,10.0,-0.3
1993/3/3,4.9,12.1,-2.0
1993/3/4,7.2,13.3,1.3
1993/3/5,9.2,15.0,0.2
1993/3/6,14.7,18.7,12.0
1993/3/7,14.8,17.6,8.8
1993/3/8,6.4,11.7,1.9
1993/3/9,5.7,11.2,-0.9
1993/3/10,7.6,11.2,4.0
1993/3/11,7.0,13.2,0.6
1993/3/12,4.8,8.3,2.1
1993/3/13,7.0,12.0,1.4
1993/3/14,7.6,15.2,-1.2
1993/3/15,7.6,11.4,4.2
1993/3/16,6.0,8.4,4.1
1993/3/17,6.5,11.6,3.7
1993/3/18,7.4,12.1,3.0
1993/3/19,7.4,12.8,3.9
1993/3/20,5.2,9.0,0.2
1993/3/21,5.7,12.3,-0.8
1993/3/22,8.8,14.3,4.1
1993/3/23,10.1,16.4,3.3
1993/3/24,13.7,19.9,7.1
1993/3/25,13.7,19.3,8.4
1993/3/26,11.9,16.1,7.4
1993/3/27,12.8,18.0,8.2
1993/3/28,11.0,13.6,8.1
1993/3/29,8.8,14.3,3.6
1993/3/30,7.8,12.1,-1.1
1993/3/31,12.3,14.6,9.5
