ダウンロードした時刻：2019/10/10 16:16:33

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,8.5,11.8,5.1
2012/12/2,5.9,9.2,3.2
2012/12/3,8.2,12.5,3.8
2012/12/4,8.3,11.4,4.5
2012/12/5,6.1,10.0,2.0
2012/12/6,5.9,12.6,2.5
2012/12/7,5.1,9.4,0.6
2012/12/8,6.5,10.5,2.6
2012/12/9,4.8,7.5,2.9
2012/12/10,4.8,7.9,3.2
2012/12/11,5.0,9.3,1.1
2012/12/12,4.7,9.0,0.8
2012/12/13,4.9,10.5,0.5
2012/12/14,6.7,11.9,-0.1
2012/12/15,11.2,14.3,8.0
2012/12/16,11.4,14.1,9.0
2012/12/17,7.7,10.7,4.1
2012/12/18,8.1,9.5,5.8
2012/12/19,5.2,8.1,2.2
2012/12/20,6.0,10.7,0.9
2012/12/21,6.2,10.1,0.7
2012/12/22,9.2,12.5,6.7
2012/12/23,5.4,10.5,1.2
2012/12/24,2.5,5.4,0.0
2012/12/25,5.4,8.4,0.7
2012/12/26,4.9,7.6,1.0
2012/12/27,2.5,7.7,-2.3
2012/12/28,5.3,9.0,1.2
2012/12/29,9.0,12.8,6.1
2012/12/30,7.6,8.9,6.0
2012/12/31,3.5,6.0,1.3
2013/1/1,3.8,7.9,-0.2
2013/1/2,6.7,12.3,3.0
2013/1/3,2.4,4.7,0.1
2013/1/4,2.3,6.2,-1.1
2013/1/5,2.9,7.1,-1.1
2013/1/6,4.2,8.9,0.5
2013/1/7,4.6,10.0,-0.3
2013/1/8,5.7,10.5,2.0
2013/1/9,6.1,9.8,2.3
2013/1/10,4.5,7.7,2.2
2013/1/11,3.3,8.0,0.0
2013/1/12,4.3,10.5,-0.8
2013/1/13,4.6,7.9,-0.5
2013/1/14,6.0,8.7,2.2
2013/1/15,4.8,7.0,0.5
2013/1/16,4.2,8.4,-1.1
2013/1/17,4.5,7.3,1.8
2013/1/18,2.6,6.3,0.0
2013/1/19,5.2,9.4,-0.8
2013/1/20,5.5,9.5,1.4
2013/1/21,4.1,7.6,-0.7
2013/1/22,7.8,11.6,4.9
2013/1/23,6.2,9.6,2.6
2013/1/24,6.9,13.1,0.6
2013/1/25,5.2,9.0,2.2
2013/1/26,3.4,6.7,0.4
2013/1/27,2.0,6.4,-2.0
2013/1/28,3.4,6.4,0.6
2013/1/29,5.0,10.3,-0.7
2013/1/30,6.9,12.0,2.1
2013/1/31,5.4,11.0,0.4
2013/2/1,6.0,10.2,0.6
2013/2/2,12.1,18.5,8.0
2013/2/3,8.4,12.8,4.3
2013/2/4,8.8,12.6,6.6
2013/2/5,6.9,9.5,4.0
2013/2/6,6.7,10.3,3.6
2013/2/7,7.9,11.9,2.8
2013/2/8,1.6,4.1,0.3
2013/2/9,2.3,6.5,-1.4
2013/2/10,5.2,10.1,-0.4
2013/2/11,6.2,10.1,3.0
2013/2/12,4.4,7.5,1.4
2013/2/13,5.5,8.6,1.4
2013/2/14,5.6,10.2,1.0
2013/2/15,5.3,7.7,1.6
2013/2/16,3.6,6.5,0.4
2013/2/17,3.1,7.0,-1.7
2013/2/18,5.9,7.6,4.4
2013/2/19,3.1,6.2,1.2
2013/2/20,4.4,9.4,0.3
2013/2/21,4.0,8.5,-0.8
2013/2/22,5.7,10.0,0.9
2013/2/23,7.1,10.6,4.5
2013/2/24,6.4,9.8,3.5
2013/2/25,4.2,9.0,0.0
2013/2/26,4.2,7.3,0.1
2013/2/27,9.2,15.4,5.2
2013/2/28,9.3,14.9,3.9
2013/3/1,9.7,20.7,4.5
2013/3/2,6.3,9.6,3.5
2013/3/3,4.5,9.0,0.4
2013/3/4,6.2,12.8,0.1
2013/3/5,8.3,14.1,2.5
2013/3/6,10.0,17.9,2.4
2013/3/7,10.2,15.8,3.6
2013/3/8,15.1,20.9,7.2
2013/3/9,16.4,21.7,11.5
2013/3/10,11.0,22.4,3.7
2013/3/11,6.0,12.4,0.5
2013/3/12,8.5,16.4,0.9
2013/3/13,11.0,16.1,6.8
2013/3/14,6.3,9.5,2.6
2013/3/15,6.1,12.5,-0.2
2013/3/16,10.9,18.5,2.3
2013/3/17,10.3,16.0,4.3
2013/3/18,15.7,22.8,10.2
2013/3/19,17.2,23.1,13.5
2013/3/20,12.8,14.1,9.2
2013/3/21,8.2,13.0,5.6
2013/3/22,9.5,15.2,2.9
2013/3/23,11.1,15.6,8.1
2013/3/24,11.1,16.9,7.2
2013/3/25,11.0,14.4,6.9
2013/3/26,8.6,12.5,4.3
2013/3/27,8.8,11.6,7.8
2013/3/28,13.7,19.0,10.5
2013/3/29,14.5,19.2,10.4
2013/3/30,12.1,16.9,9.2
2013/3/31,12.4,18.2,9.0
