ダウンロードした時刻：2019/10/10 15:37:11

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,1.6,6.4,-2.4
1999/12/2,3.1,8.8,-0.6
1999/12/3,0.6,2.1,-0.7
1999/12/4,2.5,4.5,0.7
1999/12/5,4.1,7.9,1.2
1999/12/6,2.6,5.4,0.9
1999/12/7,1.0,4.4,-1.3
1999/12/8,0.9,5.7,-2.2
1999/12/9,1.9,5.8,-2.6
1999/12/10,6.3,8.4,3.6
1999/12/11,1.7,7.5,-2.3
1999/12/12,-1.0,1.4,-3.0
1999/12/13,-0.7,2.6,-2.7
1999/12/14,-0.1,2.9,-3.4
1999/12/15,-3.0,1.9,-6.4
1999/12/16,-1.5,3.4,-6.0
1999/12/17,-1.7,1.5,-4.1
1999/12/18,-1.2,2.1,-3.2
1999/12/19,-1.6,0.2,-4.4
1999/12/20,-1.7,3.2,-6.3
1999/12/21,-1.3,0.7,-4.8
1999/12/22,-1.0,2.5,-2.9
1999/12/23,-0.3,3.5,-2.9
1999/12/24,-0.9,1.9,-3.5
1999/12/25,-0.3,4.0,-4.4
1999/12/26,1.9,5.1,-1.0
1999/12/27,0.4,5.3,-5.2
1999/12/28,2.0,4.4,0.8
1999/12/29,3.7,7.9,-1.0
1999/12/30,-0.2,5.1,-4.1
1999/12/31,0.3,4.7,-4.1
2000/1/1,0.4,4.7,-1.4
2000/1/2,0.0,3.0,-1.9
2000/1/3,0.2,1.5,-1.1
2000/1/4,1.6,3.2,0.1
2000/1/5,1.4,6.0,-1.2
2000/1/6,1.6,3.2,0.2
2000/1/7,3.7,8.5,1.4
2000/1/8,1.7,3.4,0.6
2000/1/9,1.3,4.0,-1.0
2000/1/10,2.1,6.1,-0.5
2000/1/11,-1.2,0.6,-2.7
2000/1/12,0.0,3.5,-1.7
2000/1/13,0.7,3.3,-1.8
2000/1/14,4.5,8.6,1.9
2000/1/15,1.9,6.0,-2.5
2000/1/16,-0.3,2.6,-4.5
2000/1/17,1.0,4.6,-2.1
2000/1/18,-1.4,4.3,-5.9
2000/1/19,-0.7,5.7,-7.2
2000/1/20,1.4,4.2,-0.1
2000/1/21,-2.0,1.2,-7.5
2000/1/22,-3.0,1.1,-8.6
2000/1/23,0.2,4.0,-2.6
2000/1/24,0.7,3.4,-3.6
2000/1/25,-4.8,-2.1,-8.3
2000/1/26,-6.4,-0.8,-11.3
2000/1/27,-6.5,0.1,-12.8
2000/1/28,-3.4,2.8,-10.0
2000/1/29,-0.5,6.4,-6.1
2000/1/30,-0.6,2.8,-5.4
2000/1/31,-1.7,1.0,-4.7
2000/2/1,0.1,2.8,-5.4
2000/2/2,2.7,5.9,-1.2
2000/2/3,1.4,5.9,-1.5
2000/2/4,0.8,5.2,-4.0
2000/2/5,1.4,5.4,-2.2
2000/2/6,0.0,4.4,-4.2
2000/2/7,0.2,2.1,-1.8
2000/2/8,1.4,3.7,0.0
2000/2/9,0.0,3.5,-2.3
2000/2/10,-0.4,2.5,-3.7
2000/2/11,0.8,3.5,-2.0
2000/2/12,-0.3,1.9,-1.7
2000/2/13,-1.6,1.8,-4.0
2000/2/14,-0.8,3.8,-5.0
2000/2/15,-2.8,0.6,-8.4
2000/2/16,-5.0,-1.1,-8.9
2000/2/17,-3.6,2.2,-8.9
2000/2/18,-2.7,2.3,-7.5
2000/2/19,-1.2,3.7,-7.7
2000/2/20,0.9,5.1,-2.8
2000/2/21,-1.2,1.9,-4.0
2000/2/22,-3.5,-2.5,-5.1
2000/2/23,-3.8,0.7,-7.6
2000/2/24,-3.9,-0.8,-6.8
2000/2/25,-5.0,-0.4,-9.4
2000/2/26,-4.6,0.4,-10.4
2000/2/27,-0.9,4.3,-6.1
2000/2/28,-1.4,1.0,-4.8
2000/2/29,-2.4,2.3,-6.1
2000/3/1,-1.8,2.2,-8.9
2000/3/2,1.7,3.9,-0.9
2000/3/3,1.7,8.3,-4.1
2000/3/4,1.8,7.8,-4.5
2000/3/5,3.8,7.6,-2.9
2000/3/6,0.8,6.6,-5.1
2000/3/7,-0.3,2.5,-2.9
2000/3/8,-2.3,1.0,-4.4
2000/3/9,-4.0,-0.5,-7.5
2000/3/10,-3.5,0.4,-8.8
2000/3/11,1.1,7.3,-3.0
2000/3/12,0.8,6.5,-3.3
2000/3/13,-1.7,3.6,-5.0
2000/3/14,-1.3,2.7,-7.3
2000/3/15,0.7,4.5,-2.3
2000/3/16,0.0,1.8,-1.0
2000/3/17,0.6,6.0,-2.2
2000/3/18,0.9,6.7,-5.3
2000/3/19,6.2,11.3,0.5
2000/3/20,1.7,5.8,-0.4
2000/3/21,1.3,6.6,-3.4
2000/3/22,0.3,3.8,-2.7
2000/3/23,1.5,6.9,-4.3
2000/3/24,4.2,7.3,0.2
2000/3/25,0.1,2.2,-1.9
2000/3/26,-0.8,2.7,-2.8
2000/3/27,1.1,5.0,-2.2
2000/3/28,4.2,11.1,-3.0
2000/3/29,9.0,11.5,4.8
2000/3/30,5.3,8.0,3.8
2000/3/31,7.4,12.3,2.5
