ダウンロードした時刻：2019/10/10 15:40:06

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,7.2,10.6,2.9
2004/12/2,8.0,10.8,3.5
2004/12/3,6.4,12.1,0.1
2004/12/4,10.6,15.6,4.6
2004/12/5,13.3,21.6,8.4
2004/12/6,7.2,9.8,4.6
2004/12/7,8.9,13.1,3.4
2004/12/8,9.2,12.8,4.7
2004/12/9,6.1,9.3,3.0
2004/12/10,8.2,13.6,4.3
2004/12/11,8.4,13.6,4.5
2004/12/12,6.1,8.9,1.2
2004/12/13,7.1,11.5,4.2
2004/12/14,5.4,8.9,1.5
2004/12/15,8.1,12.5,4.6
2004/12/16,8.5,15.6,5.7
2004/12/17,4.3,7.0,1.1
2004/12/18,2.9,5.2,0.4
2004/12/19,5.8,8.7,1.4
2004/12/20,7.6,11.4,4.1
2004/12/21,4.8,7.7,2.9
2004/12/22,1.7,4.0,-0.1
2004/12/23,1.9,5.7,-1.0
2004/12/24,2.7,6.5,-1.7
2004/12/25,3.6,8.5,-0.4
2004/12/26,3.2,7.6,-0.2
2004/12/27,2.0,4.2,-0.4
2004/12/28,1.6,5.4,-1.0
2004/12/29,-0.8,0.4,-1.6
2004/12/30,-0.7,1.7,-3.7
2004/12/31,-1.2,1.3,-4.4
2005/1/1,0.6,3.5,-4.8
2005/1/2,0.3,6.0,-5.6
2005/1/3,4.7,10.4,-1.4
2005/1/4,5.0,11.1,-0.3
2005/1/5,-0.5,2.0,-2.7
2005/1/6,0.8,4.1,-3.4
2005/1/7,2.5,6.3,-1.1
2005/1/8,0.5,3.2,-1.7
2005/1/9,-0.9,1.8,-2.6
2005/1/10,-0.2,3.1,-3.2
2005/1/11,-0.5,2.0,-2.1
2005/1/12,-2.0,0.6,-4.7
2005/1/13,1.5,5.8,-5.5
2005/1/14,2.4,4.7,-0.1
2005/1/15,1.3,3.1,0.5
2005/1/16,0.9,2.3,0.5
2005/1/17,2.7,4.9,0.7
2005/1/18,3.8,6.6,0.4
2005/1/19,3.1,7.3,-1.1
2005/1/20,3.5,7.7,0.7
2005/1/21,2.1,4.5,-0.5
2005/1/22,-0.2,1.8,-2.3
2005/1/23,0.3,4.1,-3.0
2005/1/24,1.7,6.1,-4.5
2005/1/25,3.3,5.8,0.9
2005/1/26,0.7,3.5,-0.5
2005/1/27,3.2,7.6,-1.4
2005/1/28,2.4,6.8,-1.2
2005/1/29,5.4,10.8,-1.8
2005/1/30,1.2,7.1,-2.0
2005/1/31,-0.3,2.8,-2.3
2005/2/1,-0.9,3.0,-3.6
2005/2/2,-1.3,0.3,-3.3
2005/2/3,-0.6,3.0,-4.7
2005/2/4,1.7,4.8,-1.0
2005/2/5,0.2,3.0,-1.8
2005/2/6,1.3,5.1,-2.4
2005/2/7,1.9,5.1,-0.8
2005/2/8,0.1,3.4,-2.1
2005/2/9,3.0,8.1,-2.8
2005/2/10,2.6,7.6,-1.8
2005/2/11,-0.6,2.4,-2.6
2005/2/12,-0.2,3.0,-2.4
2005/2/13,0.6,4.4,-3.1
2005/2/14,1.1,4.1,-2.1
2005/2/15,2.6,8.6,-2.3
2005/2/16,-0.2,1.5,-2.2
2005/2/17,3.0,7.2,-0.2
2005/2/18,2.0,4.7,-1.5
2005/2/19,1.7,3.7,0.2
2005/2/20,2.7,6.9,-1.3
2005/2/21,-0.6,2.4,-3.2
2005/2/22,-0.5,2.5,-3.6
2005/2/23,1.2,5.9,-1.8
2005/2/24,0.8,4.6,-2.0
2005/2/25,0.5,4.0,-2.2
2005/2/26,0.0,3.2,-2.3
2005/2/27,0.0,3.6,-3.0
2005/2/28,1.1,5.3,-2.3
2005/3/1,-0.1,3.0,-2.2
2005/3/2,-0.8,2.9,-3.8
2005/3/3,0.6,4.3,-3.6
2005/3/4,-1.2,0.1,-2.5
2005/3/5,0.8,4.3,-2.7
2005/3/6,0.8,5.4,-4.6
2005/3/7,5.2,11.4,-2.7
2005/3/8,6.8,11.1,4.6
2005/3/9,4.2,7.9,0.2
2005/3/10,3.1,6.8,-0.5
2005/3/11,6.7,13.5,1.1
2005/3/12,4.7,9.3,-0.3
2005/3/13,0.3,4.0,-2.0
2005/3/14,1.6,6.4,-2.2
2005/3/15,4.7,10.8,-1.1
2005/3/16,7.3,12.9,1.5
2005/3/17,5.3,11.9,2.2
2005/3/18,8.2,12.5,3.6
2005/3/19,3.2,7.2,-0.3
2005/3/20,4.7,8.2,-1.8
2005/3/21,6.8,10.9,2.6
2005/3/22,6.1,11.0,0.8
2005/3/23,8.0,11.9,5.4
2005/3/24,6.7,11.3,3.7
2005/3/25,2.0,5.1,-0.1
2005/3/26,2.3,6.7,-1.9
2005/3/27,5.5,9.8,1.9
2005/3/28,4.2,6.6,1.7
2005/3/29,6.5,10.6,3.6
2005/3/30,5.4,8.4,3.8
2005/3/31,6.3,12.1,2.6
