É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:50:49

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1981/12/1,5.1,5.8,3.9
1981/12/2,4.5,8.6,0.3
1981/12/3,3.9,9.3,0.0
1981/12/4,3.3,10.5,-2.4
1981/12/5,5.8,13.1,-1.9
1981/12/6,6.0,10.7,0.1
1981/12/7,5.7,9.9,3.0
1981/12/8,6.1,11.2,1.0
1981/12/9,5.4,13.2,-1.8
1981/12/10,5.7,10.6,0.3
1981/12/11,3.6,8.6,-2.7
1981/12/12,7.0,15.5,-0.4
1981/12/13,5.0,10.5,0.6
1981/12/14,1.7,7.6,-2.8
1981/12/15,2.4,7.5,-3.6
1981/12/16,5.8,12.0,1.5
1981/12/17,5.4,12.9,-0.4
1981/12/18,6.1,12.3,-0.4
1981/12/19,4.4,9.8,-1.4
1981/12/20,6.7,11.9,0.9
1981/12/21,7.2,13.2,1.8
1981/12/22,5.0,12.0,0.3
1981/12/23,5.2,14.5,-1.4
1981/12/24,6.1,11.3,0.9
1981/12/25,3.4,8.2,-1.6
1981/12/26,2.9,11.1,-2.7
1981/12/27,4.8,14.1,-2.0
1981/12/28,8.0,16.8,1.2
1981/12/29,9.3,15.4,4.1
1981/12/30,8.6,12.5,5.6
1981/12/31,5.0,6.9,1.4
1982/1/1,5.4,13.9,-1.3
1982/1/2,4.9,12.2,-0.8
1982/1/3,2.5,8.5,-2.8
1982/1/4,5.8,10.1,0.9
1982/1/5,9.5,16.3,6.0
1982/1/6,5.1,8.8,1.1
1982/1/7,1.5,8.1,-2.1
1982/1/8,0.9,5.6,-5.3
1982/1/9,3.4,10.8,-3.2
1982/1/10,6.6,11.9,3.6
1982/1/11,4.6,6.1,2.7
1982/1/12,6.8,11.6,1.9
1982/1/13,5.7,11.2,1.4
1982/1/14,4.3,9.8,1.5
1982/1/15,3.5,9.9,-1.1
1982/1/16,1.0,3.4,-1.4
1982/1/17,1.7,7.4,-2.4
1982/1/18,0.4,4.9,-4.8
1982/1/19,2.4,8.4,-1.1
1982/1/20,1.9,7.4,-2.0
1982/1/21,4.6,11.2,-4.1
1982/1/22,8.0,13.9,0.8
1982/1/23,5.4,12.0,-0.1
1982/1/24,4.4,10.8,-0.4
1982/1/25,5.0,9.3,-1.1
1982/1/26,4.9,10.7,0.3
1982/1/27,4.6,8.9,0.7
1982/1/28,3.9,9.3,0.3
1982/1/29,0.3,4.5,-2.1
1982/1/30,0.6,5.1,-3.4
1982/1/31,2.3,8.6,-4.0
1982/2/1,2.9,9.9,-1.6
1982/2/2,1.8,6.6,-2.7
1982/2/3,2.0,9.1,-4.8
1982/2/4,4.3,9.8,0.1
1982/2/5,1.8,7.2,-1.3
1982/2/6,1.5,7.0,-3.8
1982/2/7,0.3,4.2,-2.7
1982/2/8,0.5,7.0,-4.3
1982/2/9,2.0,7.6,-3.2
1982/2/10,2.3,7.9,-1.6
1982/2/11,3.2,10.8,-4.2
1982/2/12,4.3,10.0,-0.9
1982/2/13,4.3,7.8,0.3
1982/2/14,3.1,9.8,-2.6
1982/2/15,3.7,10.0,-1.5
1982/2/16,5.1,12.7,-2.7
1982/2/17,3.0,5.2,1.7
1982/2/18,6.4,12.5,1.3
1982/2/19,5.9,10.3,1.1
1982/2/20,10.2,16.4,5.2
1982/2/21,7.7,11.8,4.0
1982/2/22,5.9,11.2,2.5
1982/2/23,5.7,11.8,1.6
1982/2/24,2.9,4.5,1.3
1982/2/25,3.1,8.2,-1.3
1982/2/26,2.6,7.6,-1.6
1982/2/27,5.2,11.9,-0.4
1982/2/28,7.0,13.4,-1.8
1982/3/1,5.3,8.0,3.5
1982/3/2,4.4,10.4,0.5
1982/3/3,4.4,10.2,0.0
1982/3/4,5.6,12.0,-2.5
1982/3/5,10.6,16.6,5.8
1982/3/6,9.2,13.5,5.1
1982/3/7,5.2,10.7,0.7
1982/3/8,4.4,9.5,-0.7
1982/3/9,6.8,14.2,-0.3
1982/3/10,7.5,14.4,-0.3
1982/3/11,9.9,18.9,1.3
1982/3/12,9.6,14.2,2.5
1982/3/13,11.5,18.6,7.3
1982/3/14,8.5,14.3,2.6
1982/3/15,7.8,9.6,6.4
1982/3/16,15.3,23.4,8.6
1982/3/17,10.0,16.7,6.4
1982/3/18,8.1,15.0,3.7
1982/3/19,8.1,13.8,1.5
1982/3/20,6.5,7.3,5.5
1982/3/21,9.7,14.9,5.9
1982/3/22,13.6,22.1,7.9
1982/3/23,12.0,20.2,3.8
1982/3/24,10.2,18.1,4.0
1982/3/25,6.2,11.6,2.3
1982/3/26,5.7,11.6,-0.1
1982/3/27,7.0,13.4,1.6
1982/3/28,7.2,14.1,2.5
1982/3/29,7.3,15.6,-1.0
1982/3/30,10.3,18.6,0.8
1982/3/31,11.8,18.3,6.7
