ダウンロードした時刻：2019/10/10 16:24:25

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,13.6,19.2,8.4
2018/12/2,14.6,19.0,11.1
2018/12/3,16.0,17.4,14.7
2018/12/4,18.6,24.0,14.5
2018/12/5,16.3,20.0,12.8
2018/12/6,13.4,14.8,12.3
2018/12/7,9.2,13.0,4.8
2018/12/8,4.8,7.5,2.6
2018/12/9,4.3,7.8,2.1
2018/12/10,6.6,10.7,2.5
2018/12/11,9.4,11.5,6.0
2018/12/12,9.2,12.3,3.6
2018/12/13,5.4,9.8,0.6
2018/12/14,6.2,10.8,2.5
2018/12/15,5.7,13.1,-1.0
2018/12/16,6.5,10.1,2.8
2018/12/17,9.8,12.5,7.3
2018/12/18,8.9,12.8,4.3
2018/12/19,8.6,14.4,1.9
2018/12/20,11.1,14.9,8.4
2018/12/21,12.8,16.0,10.2
2018/12/22,14.9,19.0,12.5
2018/12/23,12.3,14.5,8.3
2018/12/24,7.8,12.8,3.7
2018/12/25,6.9,14.7,0.2
2018/12/26,8.3,10.8,6.2
2018/12/27,7.5,12.1,2.7
2018/12/28,1.8,4.7,-1.6
2018/12/29,1.4,7.1,-3.4
2018/12/30,2.5,7.0,-2.2
2018/12/31,6.1,12.4,2.3
2019/1/1,5.0,8.8,0.8
2019/1/2,5.2,8.8,0.5
2019/1/3,4.1,11.5,-2.2
2019/1/4,6.1,13.3,-1.7
2019/1/5,8.5,11.9,6.2
2019/1/6,7.2,13.3,3.6
2019/1/7,6.3,13.3,0.3
2019/1/8,6.3,10.0,3.4
2019/1/9,6.7,10.2,3.0
2019/1/10,7.9,11.5,5.7
2019/1/11,7.9,11.0,5.0
2019/1/12,8.6,12.1,6.3
2019/1/13,9.3,12.4,7.2
2019/1/14,8.5,15.1,2.7
2019/1/15,7.8,10.7,5.3
2019/1/16,6.1,9.8,2.2
2019/1/17,4.5,9.6,-0.2
2019/1/18,5.8,11.8,0.3
2019/1/19,6.7,12.7,-0.8
2019/1/20,10.0,13.3,5.5
2019/1/21,5.6,10.7,0.8
2019/1/22,5.7,11.7,0.8
2019/1/23,7.0,13.6,0.5
2019/1/24,7.3,14.0,1.7
2019/1/25,7.1,13.3,0.5
2019/1/26,4.4,7.7,1.1
2019/1/27,3.6,10.3,-2.6
2019/1/28,6.4,11.4,-0.5
2019/1/29,6.9,13.5,0.9
2019/1/30,8.0,13.0,2.3
2019/1/31,8.6,10.4,6.5
2019/2/1,5.7,8.5,3.3
2019/2/2,5.8,12.3,-0.2
2019/2/3,11.9,17.3,3.9
2019/2/4,11.1,15.7,5.4
2019/2/5,8.1,11.8,3.7
2019/2/6,11.8,17.0,8.4
2019/2/7,10.3,16.1,6.4
2019/2/8,8.1,11.8,5.3
2019/2/9,5.9,8.3,2.7
2019/2/10,6.5,12.8,-0.1
2019/2/11,6.5,9.9,2.2
2019/2/12,5.9,12.7,-1.1
2019/2/13,8.0,14.2,4.7
2019/2/14,6.3,10.6,3.0
2019/2/15,5.9,8.3,2.2
2019/2/16,7.3,10.3,3.7
2019/2/17,6.4,11.8,2.5
2019/2/18,7.4,13.2,0.3
2019/2/19,12.2,17.2,8.0
2019/2/20,11.3,14.0,7.9
2019/2/21,10.8,16.0,7.1
2019/2/22,9.5,11.5,8.0
2019/2/23,10.6,15.6,6.2
2019/2/24,10.2,15.2,6.8
2019/2/25,10.5,17.2,5.0
2019/2/26,11.0,17.6,4.3
2019/2/27,10.9,13.9,7.3
2019/2/28,11.2,15.7,8.0
2019/3/1,10.7,16.8,4.6
2019/3/2,10.2,14.1,7.3
2019/3/3,11.0,13.1,9.0
2019/3/4,11.2,16.0,6.8
2019/3/5,10.8,17.8,3.7
2019/3/6,11.4,13.6,10.3
2019/3/7,9.5,13.4,4.8
2019/3/8,8.8,15.3,1.7
2019/3/9,11.2,17.9,2.6
2019/3/10,13.4,15.2,11.8
2019/3/11,12.7,17.4,10.1
2019/3/12,11.7,15.8,7.8
2019/3/13,8.8,12.2,5.6
2019/3/14,8.5,12.5,3.3
2019/3/15,8.3,15.6,1.2
2019/3/16,9.8,15.0,6.4
2019/3/17,10.4,17.3,4.2
2019/3/18,10.3,16.3,2.4
2019/3/19,11.9,16.9,8.1
2019/3/20,13.8,20.9,4.7
2019/3/21,16.6,19.9,13.6
2019/3/22,13.2,16.8,9.0
2019/3/23,10.1,15.0,6.9
2019/3/24,9.2,14.9,3.1
2019/3/25,8.2,12.2,3.9
2019/3/26,12.5,18.3,7.6
2019/3/27,13.9,20.8,6.6
2019/3/28,16.0,20.6,12.8
2019/3/29,16.7,21.7,12.7
2019/3/30,15.8,21.3,12.3
2019/3/31,10.3,13.2,7.9
