ダウンロードした時刻：2017/07/24 15:43:43

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,7.2,10.3,4.4
1995/1/2,7.1,12.0,4.0
1995/1/3,8.8,11.6,5.1
1995/1/4,8.0,9.6,6.9
1995/1/5,5.4,9.1,1.5
1995/1/6,4.6,6.5,2.7
1995/1/7,9.3,11.6,5.1
1995/1/8,10.5,15.4,4.1
1995/1/9,12.1,15.3,6.9
1995/1/10,4.9,7.0,4.0
1995/1/11,4.5,6.2,3.2
1995/1/12,5.1,7.3,3.5
1995/1/13,4.8,7.3,3.0
1995/1/14,3.1,4.2,0.9
1995/1/15,5.1,6.1,4.0
1995/1/16,6.4,8.1,3.8
1995/1/17,4.6,9.4,0.0
1995/1/18,6.8,10.2,0.7
1995/1/19,6.8,9.6,3.9
1995/1/20,7.9,10.9,5.0
1995/1/21,7.3,12.6,2.6
1995/1/22,9.7,11.3,7.2
1995/1/23,9.3,10.7,7.6
1995/1/24,4.9,7.7,1.9
1995/1/25,5.4,7.1,3.1
1995/1/26,6.3,8.2,4.0
1995/1/27,5.2,6.8,4.0
1995/1/28,4.3,6.3,1.0
1995/1/29,3.8,5.4,1.6
1995/1/30,1.9,3.1,0.7
1995/1/31,3.8,5.5,1.5
1995/2/1,3.5,6.6,0.2
1995/2/2,3.1,5.6,1.7
1995/2/3,3.5,7.5,0.2
1995/2/4,4.2,8.1,1.1
1995/2/5,3.8,5.5,0.2
1995/2/6,4.9,6.7,1.5
1995/2/7,7.3,9.1,4.8
1995/2/8,9.8,12.4,6.8
1995/2/9,7.9,10.2,5.1
1995/2/10,5.2,7.9,3.4
1995/2/11,4.8,10.6,0.4
1995/2/12,7.1,9.8,3.7
1995/2/13,10.2,12.9,8.9
1995/2/14,7.4,10.2,3.5
1995/2/15,5.2,7.4,1.4
1995/2/16,5.1,7.0,2.7
1995/2/17,5.7,8.8,2.5
1995/2/18,5.0,10.7,-0.2
1995/2/19,5.7,11.7,1.0
1995/2/20,4.9,9.2,2.2
1995/2/21,4.8,6.9,1.2
1995/2/22,5.0,9.1,0.3
1995/2/23,6.2,12.5,-0.3
1995/2/24,6.7,12.4,1.4
1995/2/25,6.4,12.0,0.8
1995/2/26,7.4,9.0,4.3
1995/2/27,6.6,10.8,2.0
1995/2/28,6.1,12.7,0.6
1995/3/1,7.0,8.7,5.4
1995/3/2,6.5,11.1,3.4
1995/3/3,5.8,8.0,3.1
1995/3/4,4.4,7.4,1.7
1995/3/5,5.4,8.5,0.9
1995/3/6,9.8,13.0,6.3
1995/3/7,9.8,13.7,6.1
1995/3/8,10.9,14.9,5.5
1995/3/9,9.7,17.7,2.8
1995/3/10,10.0,13.3,7.1
1995/3/11,7.9,9.5,4.9
1995/3/12,6.9,9.1,3.8
1995/3/13,7.9,10.2,5.5
1995/3/14,6.8,11.3,2.1
1995/3/15,7.5,12.8,0.5
1995/3/16,14.9,20.3,9.8
1995/3/17,10.2,13.8,6.7
1995/3/18,6.4,8.9,3.2
1995/3/19,6.8,9.1,3.6
1995/3/20,11.0,14.2,5.6
1995/3/21,14.7,18.1,11.6
1995/3/22,12.3,15.1,8.2
1995/3/23,11.2,16.2,5.9
1995/3/24,11.2,12.6,9.6
1995/3/25,8.8,11.7,5.4
1995/3/26,7.8,11.5,4.3
1995/3/27,10.8,13.6,7.6
1995/3/28,8.1,11.1,4.9
1995/3/29,9.7,14.1,4.7
1995/3/30,11.0,12.2,9.3
1995/3/31,12.5,14.4,10.6
1995/4/1,8.5,11.7,4.0
1995/4/2,8.0,11.4,5.1
1995/4/3,7.8,10.8,5.0
1995/4/4,10.5,14.6,6.8
1995/4/5,10.8,15.5,6.1
1995/4/6,12.9,17.7,7.2
1995/4/7,12.5,16.9,6.2
1995/4/8,13.8,22.2,4.5
1995/4/9,15.5,19.6,11.8
1995/4/10,10.1,13.8,6.1
1995/4/11,11.3,15.8,5.6
1995/4/12,10.4,14.3,8.9
1995/4/13,12.7,16.4,9.3
1995/4/14,11.2,12.3,9.5
1995/4/15,13.3,16.4,11.0
1995/4/16,13.0,15.9,10.6
1995/4/17,14.5,19.7,10.2
1995/4/18,14.6,18.7,10.9
1995/4/19,11.2,15.2,4.8
1995/4/20,9.4,15.6,2.4
1995/4/21,14.4,20.2,4.9
1995/4/22,22.8,27.0,16.2
1995/4/23,16.4,25.2,11.5
1995/4/24,13.1,15.6,9.1
1995/4/25,14.3,17.1,10.9
1995/4/26,13.6,15.9,8.5
1995/4/27,13.1,18.4,6.0
1995/4/28,16.1,20.4,12.9
1995/4/29,16.3,20.7,13.0
1995/4/30,16.6,19.6,15.1
1995/5/1,18.0,21.7,15.0
