ダウンロードした時刻：2019/10/10 15:50:21

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,12.3,20.7,6.2
1998/12/2,7.6,10.5,3.3
1998/12/3,3.7,4.7,2.8
1998/12/4,5.6,9.1,2.6
1998/12/5,6.9,9.5,5.1
1998/12/6,8.9,12.9,5.1
1998/12/7,7.6,9.4,6.4
1998/12/8,10.6,13.0,7.9
1998/12/9,8.3,14.3,3.8
1998/12/10,6.1,11.6,2.6
1998/12/11,6.2,13.2,3.1
1998/12/12,5.0,10.4,0.4
1998/12/13,5.1,11.2,0.5
1998/12/14,9.0,17.8,3.1
1998/12/15,9.8,15.7,5.9
1998/12/16,9.0,15.3,5.6
1998/12/17,9.4,15.2,5.0
1998/12/18,5.2,10.7,0.5
1998/12/19,6.9,13.5,1.4
1998/12/20,7.4,12.3,4.0
1998/12/21,5.9,9.6,3.2
1998/12/22,6.7,12.5,0.7
1998/12/23,9.0,14.2,4.5
1998/12/24,5.9,9.1,2.3
1998/12/25,5.0,11.9,0.2
1998/12/26,6.0,11.5,1.5
1998/12/27,3.9,10.0,-0.3
1998/12/28,6.2,14.6,1.2
1998/12/29,6.5,12.3,1.9
1998/12/30,6.6,13.4,1.9
1998/12/31,3.2,8.6,0.1
1999/1/1,2.9,7.7,-0.5
1999/1/2,2.5,8.3,-2.7
1999/1/3,3.8,8.7,-0.2
1999/1/4,2.8,9.2,-1.2
1999/1/5,3.2,11.3,-2.0
1999/1/6,4.3,10.1,-1.1
1999/1/7,6.4,13.5,1.7
1999/1/8,0.6,3.5,-1.8
1999/1/9,0.0,6.4,-4.9
1999/1/10,0.9,8.9,-4.6
1999/1/11,2.3,7.5,-1.8
1999/1/12,1.9,8.5,-3.8
1999/1/13,3.0,10.1,-2.4
1999/1/14,3.8,9.7,-0.7
1999/1/15,2.7,6.3,0.5
1999/1/16,5.0,13.4,-1.1
1999/1/17,2.8,7.1,-0.3
1999/1/18,3.1,9.8,-2.0
1999/1/19,4.3,8.3,0.8
1999/1/20,9.0,16.6,3.9
1999/1/21,3.1,6.7,-0.7
1999/1/22,4.5,12.7,-2.2
1999/1/23,7.3,13.4,1.6
1999/1/24,4.2,6.8,2.5
1999/1/25,4.9,7.4,3.0
1999/1/26,7.3,13.8,3.9
1999/1/27,5.4,11.2,0.2
1999/1/28,6.9,15.6,1.3
1999/1/29,3.5,10.2,-1.2
1999/1/30,1.3,6.3,-1.9
1999/1/31,4.6,12.5,-2.5
1999/2/1,6.9,14.2,1.4
1999/2/2,4.6,11.5,-0.6
1999/2/3,0.3,4.3,-2.3
1999/2/4,-1.3,3.3,-5.2
1999/2/5,1.1,7.8,-5.9
1999/2/6,2.8,7.4,-0.6
1999/2/7,4.6,13.1,-2.4
1999/2/8,5.8,13.0,0.5
1999/2/9,4.5,10.8,-0.9
1999/2/10,4.5,9.4,1.4
1999/2/11,2.3,6.6,-0.1
1999/2/12,3.4,8.9,0.2
1999/2/13,0.5,4.9,-2.8
1999/2/14,0.3,8.0,-5.9
1999/2/15,3.4,11.1,-2.9
1999/2/16,6.4,14.9,-0.6
1999/2/17,7.8,15.6,1.4
1999/2/18,8.4,12.6,4.7
1999/2/19,4.4,9.2,0.1
1999/2/20,2.2,7.6,-3.1
1999/2/21,2.0,7.5,-1.2
1999/2/22,3.6,12.0,-3.8
1999/2/23,5.8,12.8,-0.1
1999/2/24,2.9,6.9,0.8
1999/2/25,6.4,10.4,2.3
1999/2/26,6.7,12.0,0.4
1999/2/27,7.2,16.0,0.9
1999/2/28,4.2,9.8,-0.1
1999/3/1,6.2,13.5,-0.6
1999/3/2,8.9,16.8,2.6
1999/3/3,8.2,13.1,4.8
1999/3/4,11.4,19.8,3.6
1999/3/5,10.9,16.7,4.2
1999/3/6,8.2,11.7,5.3
1999/3/7,6.0,8.3,4.7
1999/3/8,8.5,13.7,4.2
1999/3/9,3.9,7.0,1.6
1999/3/10,4.9,11.2,1.1
1999/3/11,5.2,7.7,2.8
1999/3/12,3.7,7.2,0.8
1999/3/13,5.8,11.8,-0.5
1999/3/14,11.6,17.9,3.7
1999/3/15,13.3,15.5,11.7
1999/3/16,12.8,17.6,7.6
1999/3/17,11.2,16.4,3.8
1999/3/18,14.8,20.6,8.6
1999/3/19,12.9,16.5,10.3
1999/3/20,5.5,10.3,2.8
1999/3/21,2.6,5.8,0.7
1999/3/22,4.4,8.0,0.3
1999/3/23,5.7,12.5,-0.3
1999/3/24,9.7,16.9,3.0
1999/3/25,12.8,18.4,7.2
1999/3/26,13.5,19.0,8.9
1999/3/27,10.6,15.6,5.8
1999/3/28,7.3,12.4,2.0
1999/3/29,3.7,7.9,0.8
1999/3/30,5.2,8.9,0.4
1999/3/31,6.8,13.4,2.3
