ダウンロードした時刻：2019/10/10 15:59:22

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,13.0,16.3,11.2
2003/12/2,14.1,19.0,10.9
2003/12/3,11.8,13.5,9.7
2003/12/4,11.4,15.2,8.7
2003/12/5,8.1,9.2,7.3
2003/12/6,10.6,15.5,7.7
2003/12/7,11.9,17.4,7.7
2003/12/8,10.0,13.4,7.5
2003/12/9,9.4,13.9,6.3
2003/12/10,8.7,11.7,6.2
2003/12/11,6.2,8.7,5.1
2003/12/12,8.2,10.6,5.4
2003/12/13,9.9,14.5,5.0
2003/12/14,9.9,14.5,5.4
2003/12/15,9.4,13.0,5.7
2003/12/16,9.2,12.8,6.8
2003/12/17,6.4,8.6,4.3
2003/12/18,9.0,14.0,3.4
2003/12/19,9.3,13.5,5.9
2003/12/20,6.0,8.9,3.3
2003/12/21,7.3,11.0,4.6
2003/12/22,7.5,13.3,2.4
2003/12/23,10.2,16.4,4.2
2003/12/24,10.9,16.1,5.2
2003/12/25,11.0,14.6,5.9
2003/12/26,10.2,13.4,5.7
2003/12/27,4.3,8.6,0.7
2003/12/28,7.0,12.1,2.7
2003/12/29,8.1,13.8,2.6
2003/12/30,9.0,13.1,5.3
2003/12/31,8.2,11.2,5.2
2004/1/1,10.2,12.6,7.6
2004/1/2,9.9,14.1,4.0
2004/1/3,9.6,14.2,5.7
2004/1/4,8.5,11.7,5.2
2004/1/5,6.8,9.6,4.3
2004/1/6,6.9,10.2,4.2
2004/1/7,5.8,8.8,3.0
2004/1/8,5.7,8.9,3.3
2004/1/9,6.6,10.0,4.2
2004/1/10,5.9,11.0,1.7
2004/1/11,5.9,10.2,4.0
2004/1/12,4.8,7.6,1.9
2004/1/13,6.4,12.3,2.9
2004/1/14,5.0,8.2,3.3
2004/1/15,5.1,9.1,2.4
2004/1/16,4.4,8.1,2.0
2004/1/17,3.1,4.7,1.4
2004/1/18,5.4,9.2,1.5
2004/1/19,5.0,7.9,2.9
2004/1/20,8.2,12.2,3.1
2004/1/21,7.9,11.0,4.9
2004/1/22,4.8,9.2,1.0
2004/1/23,4.7,10.0,0.2
2004/1/24,4.9,7.3,1.1
2004/1/25,5.0,9.4,0.2
2004/1/26,5.6,9.6,1.3
2004/1/27,5.2,8.8,1.9
2004/1/28,6.8,11.5,1.9
2004/1/29,7.6,12.4,3.4
2004/1/30,7.5,10.7,5.4
2004/1/31,7.4,11.5,5.1
2004/2/1,7.0,10.8,3.5
2004/2/2,5.8,7.9,4.0
2004/2/3,8.2,12.0,5.1
2004/2/4,7.0,10.9,4.2
2004/2/5,6.4,10.5,3.5
2004/2/6,5.6,9.3,1.9
2004/2/7,5.5,8.7,1.6
2004/2/8,5.6,10.3,0.2
2004/2/9,6.9,11.6,3.1
2004/2/10,4.4,8.5,1.6
2004/2/11,5.8,9.3,1.9
2004/2/12,8.0,12.8,3.1
2004/2/13,7.9,11.7,4.8
2004/2/14,10.5,16.0,5.6
2004/2/15,9.1,13.9,5.0
2004/2/16,7.7,13.0,3.7
2004/2/17,8.2,13.2,2.5
2004/2/18,8.8,12.9,5.4
2004/2/19,9.7,13.6,4.3
2004/2/20,8.8,13.3,6.3
2004/2/21,12.1,17.4,6.5
2004/2/22,15.8,21.6,8.6
2004/2/23,12.0,16.8,5.9
2004/2/24,8.9,11.9,4.7
2004/2/25,12.0,16.2,7.3
2004/2/26,11.8,19.8,5.6
2004/2/27,6.8,10.2,3.1
2004/2/28,8.6,12.6,4.4
2004/2/29,11.9,16.6,6.7
2004/3/1,5.2,11.9,2.2
2004/3/2,6.3,9.0,3.5
2004/3/3,5.4,8.7,3.1
2004/3/4,5.8,10.8,2.9
2004/3/5,7.2,12.0,1.9
2004/3/6,8.2,14.1,4.5
2004/3/7,5.2,8.8,2.4
2004/3/8,6.5,11.2,1.6
2004/3/9,8.7,13.1,3.9
2004/3/10,12.4,18.1,5.4
2004/3/11,17.5,21.5,11.1
2004/3/12,9.8,11.3,8.3
2004/3/13,10.8,15.7,6.1
2004/3/14,10.8,14.6,5.9
2004/3/15,10.5,15.4,7.0
2004/3/16,12.3,17.0,7.5
2004/3/17,17.2,21.9,10.2
2004/3/18,12.6,19.5,5.2
2004/3/19,7.2,10.5,4.3
2004/3/20,4.8,7.8,2.7
2004/3/21,7.8,12.6,3.1
2004/3/22,6.1,7.9,3.2
2004/3/23,6.2,8.6,2.8
2004/3/24,7.5,10.7,5.3
2004/3/25,10.0,12.2,6.9
2004/3/26,10.0,15.0,7.6
2004/3/27,11.3,16.6,5.6
2004/3/28,12.5,17.3,6.5
2004/3/29,15.9,21.0,9.8
2004/3/30,16.5,18.5,15.0
2004/3/31,16.3,20.8,11.7
