ダウンロードした時刻：2019/10/10 15:39:37

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,0.2,2.2,-1.0
1981/12/2,1.5,5.0,-0.5
1981/12/3,1.6,5.2,-1.0
1981/12/4,5.2,11.2,-2.5
1981/12/5,4.9,11.4,1.7
1981/12/6,4.0,9.1,-0.9
1981/12/7,3.2,7.1,-0.1
1981/12/8,4.5,7.8,1.2
1981/12/9,3.2,6.8,0.8
1981/12/10,2.9,6.1,0.0
1981/12/11,4.0,8.0,-0.7
1981/12/12,6.4,12.3,1.2
1981/12/13,1.3,6.0,-0.8
1981/12/14,-1.1,1.4,-2.1
1981/12/15,1.1,3.7,-3.2
1981/12/16,4.1,8.8,0.5
1981/12/17,5.6,9.1,1.0
1981/12/18,6.4,8.8,2.4
1981/12/19,4.3,7.8,0.3
1981/12/20,4.5,7.0,0.7
1981/12/21,5.8,9.2,2.2
1981/12/22,6.9,13.2,-0.5
1981/12/23,9.1,14.8,4.0
1981/12/24,1.2,9.3,-0.8
1981/12/25,2.1,5.3,-1.2
1981/12/26,5.1,10.4,-1.5
1981/12/27,7.4,12.3,2.3
1981/12/28,7.8,13.4,2.1
1981/12/29,8.5,12.0,3.8
1981/12/30,4.4,9.9,0.4
1981/12/31,1.0,2.2,-0.3
1982/1/1,3.7,9.6,0.6
1982/1/2,0.3,4.0,-1.6
1982/1/3,0.7,5.0,-4.0
1982/1/4,2.6,6.0,-1.5
1982/1/5,5.7,10.0,2.6
1982/1/6,2.0,4.3,-1.3
1982/1/7,-0.4,4.8,-3.0
1982/1/8,-0.3,3.4,-4.0
1982/1/9,1.9,5.7,-1.9
1982/1/10,1.9,5.6,-1.5
1982/1/11,1.4,5.2,-3.0
1982/1/12,3.9,9.3,-0.1
1982/1/13,2.1,6.0,0.1
1982/1/14,-1.3,2.6,-3.5
1982/1/15,-1.1,2.8,-3.9
1982/1/16,-2.1,1.6,-5.7
1982/1/17,-1.8,2.5,-5.7
1982/1/18,0.1,4.0,-5.7
1982/1/19,-0.4,2.7,-3.6
1982/1/20,-1.2,1.6,-4.6
1982/1/21,4.0,9.1,-3.1
1982/1/22,3.9,8.1,0.4
1982/1/23,0.8,6.6,-2.6
1982/1/24,2.0,6.6,-4.5
1982/1/25,2.2,7.1,-1.1
1982/1/26,1.9,6.1,-0.9
1982/1/27,1.7,4.8,-1.6
1982/1/28,1.5,5.9,-1.3
1982/1/29,-0.5,2.1,-1.6
1982/1/30,-1.0,1.4,-2.6
1982/1/31,1.3,5.1,-4.1
1982/2/1,-0.3,3.4,-3.7
1982/2/2,-1.4,2.1,-4.6
1982/2/3,2.5,8.2,-3.4
1982/2/4,0.3,3.5,-2.7
1982/2/5,-2.2,1.5,-4.3
1982/2/6,-2.0,1.9,-4.8
1982/2/7,-4.5,-2.0,-8.2
1982/2/8,-3.7,-0.8,-8.6
1982/2/9,-2.5,0.9,-6.3
1982/2/10,-1.3,2.1,-4.7
1982/2/11,0.9,4.3,-3.3
1982/2/12,1.3,6.2,-2.6
1982/2/13,1.0,6.3,-4.2
1982/2/14,1.1,5.2,-2.3
1982/2/15,0.4,4.7,-4.0
1982/2/16,1.4,7.1,-3.6
1982/2/17,1.3,4.7,-2.3
1982/2/18,2.9,6.4,-0.7
1982/2/19,3.4,5.5,0.1
1982/2/20,6.6,12.3,1.8
1982/2/21,6.6,11.4,4.1
1982/2/22,3.8,7.0,0.9
1982/2/23,1.6,4.9,-1.0
1982/2/24,1.2,5.3,-1.9
1982/2/25,-0.5,3.4,-2.8
1982/2/26,-2.1,1.7,-4.8
1982/2/27,2.5,8.0,-4.9
1982/2/28,5.6,12.1,-2.0
1982/3/1,2.3,5.2,0.9
1982/3/2,3.0,6.7,-0.1
1982/3/3,3.0,6.4,-0.9
1982/3/4,7.0,12.0,-0.2
1982/3/5,9.2,14.6,4.9
1982/3/6,3.9,10.5,0.1
1982/3/7,0.7,3.4,-1.9
1982/3/8,1.9,5.8,-3.4
1982/3/9,4.2,9.4,-1.0
1982/3/10,4.5,8.4,-2.1
1982/3/11,7.3,12.4,2.6
1982/3/12,6.6,10.2,1.1
1982/3/13,8.6,15.7,3.5
1982/3/14,3.9,8.1,-0.5
1982/3/15,7.4,13.3,1.1
1982/3/16,11.7,16.5,4.7
1982/3/17,5.2,9.0,2.6
1982/3/18,2.7,7.1,0.1
1982/3/19,5.2,9.7,0.2
1982/3/20,3.6,6.1,0.1
1982/3/21,6.3,8.7,3.3
1982/3/22,6.5,13.8,2.7
1982/3/23,5.6,8.8,0.6
1982/3/24,5.5,9.8,0.6
1982/3/25,2.2,5.3,0.4
1982/3/26,2.2,5.4,-0.6
1982/3/27,2.3,6.5,-1.6
1982/3/28,3.6,8.5,-1.8
1982/3/29,5.1,11.9,-1.8
1982/3/30,7.7,14.4,-0.1
1982/3/31,7.8,11.0,4.5
