ダウンロードした時刻：2017/07/24 15:40:09

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,6.2,11.3,2.3
2000/1/2,3.4,9.3,-1.2
2000/1/3,7.0,12.3,2.8
2000/1/4,7.8,12.1,5.3
2000/1/5,6.2,11.1,2.2
2000/1/6,7.4,9.5,4.6
2000/1/7,10.6,16.7,7.0
2000/1/8,6.8,11.4,4.0
2000/1/9,7.4,12.0,1.7
2000/1/10,9.0,16.5,5.3
2000/1/11,5.2,9.2,2.6
2000/1/12,2.4,6.5,0.8
2000/1/13,7.5,12.9,1.2
2000/1/14,10.0,14.6,7.0
2000/1/15,7.3,13.1,2.5
2000/1/16,3.9,7.3,0.5
2000/1/17,4.2,5.3,2.9
2000/1/18,6.1,11.6,2.4
2000/1/19,4.5,7.4,2.2
2000/1/20,5.7,11.9,1.1
2000/1/21,1.0,5.4,-1.6
2000/1/22,2.2,7.8,-2.1
2000/1/23,3.1,7.5,-1.2
2000/1/24,6.8,10.7,1.4
2000/1/25,2.5,5.9,-2.0
2000/1/26,1.2,7.0,-3.3
2000/1/27,0.4,6.8,-4.2
2000/1/28,1.6,8.5,-4.8
2000/1/29,3.7,10.2,-2.2
2000/1/30,6.4,15.0,0.0
2000/1/31,3.2,7.6,-0.8
2000/2/1,2.0,7.7,-3.8
2000/2/2,4.0,11.4,-1.8
2000/2/3,5.4,12.6,-0.4
2000/2/4,3.9,10.2,-0.2
2000/2/5,4.3,12.1,-1.7
2000/2/6,4.9,9.6,1.0
2000/2/7,7.1,12.1,3.8
2000/2/8,5.8,12.6,1.3
2000/2/9,2.0,7.3,-1.7
2000/2/10,2.5,8.9,-2.5
2000/2/11,3.9,12.7,-3.6
2000/2/12,6.3,13.0,0.4
2000/2/13,5.3,9.7,2.0
2000/2/14,4.2,8.9,1.3
2000/2/15,2.3,6.5,-1.4
2000/2/16,0.1,5.8,-3.6
2000/2/17,1.4,8.1,-4.2
2000/2/18,1.4,7.9,-3.5
2000/2/19,2.9,8.6,-2.8
2000/2/20,4.5,11.5,1.3
2000/2/21,2.5,7.8,-1.0
2000/2/22,1.5,6.9,-3.0
2000/2/23,2.5,7.6,-1.9
2000/2/24,2.2,8.9,-1.7
2000/2/25,0.5,5.9,-3.8
2000/2/26,0.9,5.6,-3.6
2000/2/27,3.0,11.0,-2.9
2000/2/28,3.2,13.8,-2.9
2000/2/29,1.4,7.7,-1.9
2000/3/1,2.2,8.6,-4.0
2000/3/2,5.7,15.6,-2.7
2000/3/3,8.5,16.7,0.4
2000/3/4,7.8,12.9,4.0
2000/3/5,10.4,14.4,7.2
2000/3/6,5.0,7.4,1.4
2000/3/7,6.7,16.9,0.7
2000/3/8,4.4,11.5,-0.6
2000/3/9,1.5,8.6,-2.1
2000/3/10,2.6,8.5,-2.3
2000/3/11,5.0,10.9,-1.3
2000/3/12,7.0,13.1,2.4
2000/3/13,5.2,14.8,-0.5
2000/3/14,4.6,11.0,-1.1
2000/3/15,6.6,12.7,0.1
2000/3/16,4.3,8.0,1.6
2000/3/17,5.7,10.8,0.5
2000/3/18,7.7,16.6,-1.2
2000/3/19,10.5,18.3,3.9
2000/3/20,7.2,11.3,2.9
2000/3/21,6.5,11.6,1.3
2000/3/22,6.5,12.1,2.3
2000/3/23,6.3,11.3,-0.1
2000/3/24,8.1,13.6,2.5
2000/3/25,6.1,12.7,0.7
2000/3/26,4.9,12.4,0.3
2000/3/27,8.4,17.1,-0.9
2000/3/28,10.3,13.8,4.9
2000/3/29,14.2,22.0,8.5
2000/3/30,10.8,15.8,7.0
2000/3/31,10.6,16.9,3.3
2000/4/1,10.5,15.1,6.3
2000/4/2,10.0,15.1,5.3
2000/4/3,8.8,13.8,4.7
2000/4/4,10.5,16.1,4.2
2000/4/5,10.8,14.4,8.6
2000/4/6,11.3,15.2,7.5
2000/4/7,12.5,17.9,7.0
2000/4/8,11.8,17.2,7.4
2000/4/9,11.8,17.9,2.8
2000/4/10,13.9,17.0,11.2
2000/4/11,10.5,16.3,5.1
2000/4/12,12.4,22.9,2.8
2000/4/13,15.3,22.1,9.1
2000/4/14,15.8,24.6,10.8
2000/4/15,9.9,13.6,7.8
2000/4/16,9.5,15.3,6.0
2000/4/17,10.4,17.3,3.3
2000/4/18,13.2,20.7,5.3
2000/4/19,15.7,22.8,9.2
2000/4/20,11.2,13.7,9.6
2000/4/21,12.8,14.7,11.5
2000/4/22,18.1,24.8,11.9
2000/4/23,14.6,23.5,9.5
2000/4/24,12.3,21.7,6.6
2000/4/25,14.4,24.1,5.3
2000/4/26,12.5,16.1,10.8
2000/4/27,14.5,23.5,10.7
2000/4/28,12.7,18.2,8.5
2000/4/29,14.2,20.1,8.3
2000/4/30,15.0,20.8,8.4
2000/5/1,18.3,24.5,12.0
