ダウンロードした時刻：2019/10/10 16:11:27

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2017/12/1,10.3,13.5,7.1
2017/12/2,8.5,11.4,5.4
2017/12/3,10.3,13.9,7.4
2017/12/4,9.4,12.3,6.5
2017/12/5,6.7,9.4,3.8
2017/12/6,6.0,10.5,2.4
2017/12/7,7.8,11.4,3.6
2017/12/8,7.4,10.2,4.7
2017/12/9,6.8,10.2,4.2
2017/12/10,10.2,14.1,5.9
2017/12/11,8.3,11.9,2.9
2017/12/12,3.3,6.4,1.4
2017/12/13,4.2,7.9,1.3
2017/12/14,5.4,8.9,2.3
2017/12/15,7.2,10.7,4.1
2017/12/16,8.5,11.4,4.8
2017/12/17,4.2,7.4,1.5
2017/12/18,5.4,9.3,1.1
2017/12/19,7.3,11.3,4.0
2017/12/20,6.7,10.3,3.4
2017/12/21,6.9,10.5,3.4
2017/12/22,6.7,11.3,2.8
2017/12/23,8.2,12.5,3.8
2017/12/24,10.0,14.3,5.9
2017/12/25,8.9,12.7,5.6
2017/12/26,6.4,9.1,4.1
2017/12/27,4.9,7.2,3.4
2017/12/28,5.4,7.8,3.4
2017/12/29,7.3,9.7,5.1
2017/12/30,7.2,10.5,5.0
2017/12/31,7.2,9.7,4.8
2018/1/1,6.7,10.0,4.3
2018/1/2,7.0,10.3,3.3
2018/1/3,5.0,6.9,2.7
2018/1/4,4.9,8.5,1.7
2018/1/5,3.9,4.7,2.9
2018/1/6,6.3,10.2,3.7
2018/1/7,6.4,8.6,3.6
2018/1/8,8.5,11.3,5.4
2018/1/9,7.9,11.9,4.2
2018/1/10,4.7,7.6,2.1
2018/1/11,1.9,4.3,-0.2
2018/1/12,1.8,5.3,-1.2
2018/1/13,2.7,6.4,-0.4
2018/1/14,4.1,7.4,1.5
2018/1/15,5.8,11.3,0.9
2018/1/16,9.0,14.1,3.9
2018/1/17,12.1,14.5,10.2
2018/1/18,10.8,13.8,7.5
2018/1/19,9.3,12.6,6.6
2018/1/20,8.2,12.8,4.9
2018/1/21,7.8,11.4,4.4
2018/1/22,4.9,6.9,2.9
2018/1/23,5.2,10.2,1.0
2018/1/24,0.1,3.4,-2.8
2018/1/25,0.3,3.6,-3.2
2018/1/26,1.5,5.5,-0.6
2018/1/27,1.5,5.0,-1.8
2018/1/28,2.4,4.8,-0.1
2018/1/29,4.1,8.0,0.2
2018/1/30,2.5,6.2,-1.0
2018/1/31,4.0,6.9,1.1
2018/2/1,3.5,4.7,2.2
2018/2/2,4.3,7.3,1.0
2018/2/3,4.3,7.2,1.9
2018/2/4,2.7,4.9,0.8
2018/2/5,1.3,4.5,-0.8
2018/2/6,0.7,4.3,-2.4
2018/2/7,1.5,5.2,-2.1
2018/2/8,3.2,7.5,-0.2
2018/2/9,4.4,8.1,-0.3
2018/2/10,6.1,7.3,4.8
2018/2/11,4.7,8.0,0.1
2018/2/12,2.2,5.1,-0.4
2018/2/13,2.9,6.0,0.2
2018/2/14,5.5,9.2,0.3
2018/2/15,8.4,11.7,6.0
2018/2/16,6.6,8.9,3.2
2018/2/17,6.1,9.4,2.2
2018/2/18,3.7,7.0,0.9
2018/2/19,5.2,7.7,1.7
2018/2/20,7.6,11.2,4.2
2018/2/21,6.8,8.7,5.2
2018/2/22,6.4,8.9,3.6
2018/2/23,6.9,10.3,3.3
2018/2/24,7.8,11.4,3.5
2018/2/25,7.2,10.4,4.5
2018/2/26,8.6,11.8,6.0
2018/2/27,8.7,12.9,4.7
2018/2/28,11.4,16.9,5.5
2018/3/1,12.4,15.4,8.8
2018/3/2,8.1,10.9,5.3
2018/3/3,9.7,15.2,4.7
2018/3/4,14.8,20.1,11.2
2018/3/5,13.9,18.5,8.1
2018/3/6,7.6,11.1,5.7
2018/3/7,8.2,12.4,3.5
2018/3/8,11.6,14.2,9.4
2018/3/9,7.2,12.5,3.6
2018/3/10,5.9,9.5,3.0
2018/3/11,7.5,12.9,2.9
2018/3/12,8.9,12.5,5.1
2018/3/13,12.7,17.9,6.3
2018/3/14,15.3,20.8,10.1
2018/3/15,16.1,19.8,12.2
2018/3/16,10.2,15.9,4.8
2018/3/17,8.0,11.6,4.1
2018/3/18,12.0,17.1,7.1
2018/3/19,14.8,17.7,13.0
2018/3/20,9.3,13.3,6.2
2018/3/21,9.2,12.6,5.5
2018/3/22,10.0,13.4,7.0
2018/3/23,8.4,11.7,4.6
2018/3/24,10.1,15.3,5.1
2018/3/25,12.5,17.9,7.5
2018/3/26,14.1,19.6,9.2
2018/3/27,15.3,21.0,10.4
2018/3/28,16.4,22.4,11.7
2018/3/29,17.6,23.3,12.8
2018/3/30,13.4,17.7,9.0
2018/3/31,13.0,18.2,7.7
