ダウンロードした時刻：2019/10/10 16:20:31

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,11.4,15.4,8.5
1990/12/2,8.8,10.9,7.1
1990/12/3,7.6,8.8,6.6
1990/12/4,8.9,12.5,6.0
1990/12/5,9.4,15.1,5.3
1990/12/6,11.0,17.2,6.8
1990/12/7,12.2,18.8,8.0
1990/12/8,12.2,18.8,7.8
1990/12/9,13.1,14.5,10.4
1990/12/10,13.3,18.2,10.0
1990/12/11,10.1,17.3,6.7
1990/12/12,7.5,10.5,3.9
1990/12/13,8.1,11.3,2.9
1990/12/14,12.1,14.4,9.4
1990/12/15,9.8,12.8,6.6
1990/12/16,7.1,9.9,4.0
1990/12/17,6.9,9.7,3.1
1990/12/18,8.6,11.5,6.1
1990/12/19,7.1,11.8,3.0
1990/12/20,9.3,10.7,5.5
1990/12/21,10.6,15.5,7.3
1990/12/22,12.7,14.7,8.7
1990/12/23,7.6,9.6,6.4
1990/12/24,7.1,10.2,3.9
1990/12/25,8.8,14.9,2.6
1990/12/26,6.7,14.8,2.6
1990/12/27,4.4,7.5,1.9
1990/12/28,5.5,7.3,1.8
1990/12/29,6.0,7.7,2.5
1990/12/30,6.4,9.0,1.5
1990/12/31,11.5,14.2,7.0
1991/1/1,13.9,18.1,11.7
1991/1/2,8.8,12.4,5.2
1991/1/3,4.6,6.7,2.4
1991/1/4,6.2,9.2,3.9
1991/1/5,4.6,5.9,3.4
1991/1/6,4.9,8.0,2.2
1991/1/7,7.2,12.2,1.1
1991/1/8,4.7,8.6,2.9
1991/1/9,5.1,8.4,2.1
1991/1/10,7.6,10.3,2.0
1991/1/11,7.9,9.1,6.8
1991/1/12,7.2,8.8,6.0
1991/1/13,5.1,7.0,4.1
1991/1/14,4.5,6.3,2.6
1991/1/15,5.2,9.3,0.9
1991/1/16,8.4,10.8,5.1
1991/1/17,8.8,12.2,3.6
1991/1/18,5.5,9.8,1.3
1991/1/19,6.8,10.4,2.6
1991/1/20,10.0,12.3,7.1
1991/1/21,13.7,17.8,11.2
1991/1/22,11.0,13.9,9.3
1991/1/23,8.8,12.5,5.6
1991/1/24,10.8,14.8,7.0
1991/1/25,8.8,10.4,7.7
1991/1/26,6.3,8.7,4.2
1991/1/27,5.8,10.4,2.4
1991/1/28,5.4,9.7,1.5
1991/1/29,6.8,10.4,3.3
1991/1/30,7.2,11.6,3.9
1991/1/31,6.2,9.6,3.6
1991/2/1,7.0,11.2,3.6
1991/2/2,6.6,9.9,2.7
1991/2/3,5.5,10.8,0.7
1991/2/4,7.2,10.1,4.8
1991/2/5,5.6,9.3,3.0
1991/2/6,6.8,10.0,3.2
1991/2/7,8.7,12.6,6.1
1991/2/8,10.1,12.9,5.3
1991/2/9,8.5,12.7,3.3
1991/2/10,14.5,17.5,10.3
1991/2/11,10.2,14.3,8.5
1991/2/12,8.5,12.3,5.4
1991/2/13,7.8,9.5,6.5
1991/2/14,10.9,13.3,8.4
1991/2/15,10.6,12.9,8.0
1991/2/16,7.4,9.7,5.1
1991/2/17,6.2,8.9,4.7
1991/2/18,6.1,8.3,3.8
1991/2/19,5.1,8.1,1.4
1991/2/20,3.7,7.2,1.4
1991/2/21,3.3,5.9,1.2
1991/2/22,3.4,10.4,-0.8
1991/2/23,-0.2,1.4,-2.3
1991/2/24,0.8,3.3,-0.6
1991/2/25,2.1,7.2,-2.3
1991/2/26,3.8,9.4,-1.4
1991/2/27,6.3,12.9,0.7
1991/2/28,12.8,15.9,8.1
1991/3/1,8.5,12.8,5.1
1991/3/2,8.2,12.8,3.8
1991/3/3,8.2,14.2,2.7
1991/3/4,8.1,10.0,4.9
1991/3/5,12.4,17.8,9.3
1991/3/6,12.9,17.2,9.1
1991/3/7,10.6,13.8,7.6
1991/3/8,13.9,20.9,9.7
1991/3/9,11.7,13.4,9.0
1991/3/10,11.4,17.3,5.6
1991/3/11,13.6,19.9,10.2
1991/3/12,11.0,14.0,9.0
1991/3/13,12.2,17.8,8.5
1991/3/14,9.6,12.3,5.6
1991/3/15,7.6,11.7,4.1
1991/3/16,8.4,11.6,6.5
1991/3/17,9.1,13.1,5.6
1991/3/18,8.4,14.0,2.8
1991/3/19,12.9,19.7,5.1
1991/3/20,17.1,20.7,14.9
1991/3/21,11.9,14.9,10.0
1991/3/22,13.9,18.4,9.9
1991/3/23,12.3,14.9,9.8
1991/3/24,12.8,17.9,8.3
1991/3/25,12.2,13.1,11.4
1991/3/26,13.6,16.1,11.9
1991/3/27,15.4,17.9,12.8
1991/3/28,11.8,13.3,9.3
1991/3/29,12.7,18.1,6.9
1991/3/30,11.6,12.6,10.6
1991/3/31,10.5,12.8,7.2
