É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:40:22

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2005/1/1,1.9,7.4,-4.4
2005/1/2,2.0,8.5,-3.2
2005/1/3,2.3,7.7,-3.5
2005/1/4,5.4,16.4,-1.5
2005/1/5,3.1,7.4,-1.2
2005/1/6,0.9,4.6,-2.4
2005/1/7,5.1,15.7,-3.1
2005/1/8,3.4,8.7,-1.6
2005/1/9,1.5,8.7,-3.0
2005/1/10,2.4,8.8,-2.7
2005/1/11,2.3,9.5,-3.1
2005/1/12,1.2,7.3,-4.1
2005/1/13,4.7,11.0,-1.5
2005/1/14,4.9,12.1,-2.5
2005/1/15,3.0,5.1,1.2
2005/1/16,4.7,7.0,0.7
2005/1/17,6.1,11.7,1.1
2005/1/18,6.4,11.5,1.8
2005/1/19,4.8,10.0,1.9
2005/1/20,5.0,11.7,-1.1
2005/1/21,4.5,8.9,1.7
2005/1/22,3.6,8.2,-0.4
2005/1/23,2.1,4.6,-1.7
2005/1/24,2.9,8.1,-2.0
2005/1/25,7.1,10.9,0.7
2005/1/26,3.6,6.7,0.9
2005/1/27,4.3,9.7,-0.1
2005/1/28,5.1,11.0,-1.4
2005/1/29,5.6,8.8,2.5
2005/1/30,5.3,8.9,2.0
2005/1/31,4.0,9.7,-0.4
2005/2/1,2.4,8.3,-2.1
2005/2/2,2.2,8.3,-3.2
2005/2/3,2.8,9.9,-3.3
2005/2/4,5.1,11.1,0.1
2005/2/5,4.9,10.1,0.3
2005/2/6,4.4,9.8,0.2
2005/2/7,4.7,9.2,0.9
2005/2/8,3.4,4.6,0.5
2005/2/9,4.3,10.8,-1.9
2005/2/10,6.8,14.5,2.7
2005/2/11,3.9,8.8,0.6
2005/2/12,3.6,8.5,-1.2
2005/2/13,3.1,9.0,-3.2
2005/2/14,4.4,9.8,0.5
2005/2/15,6.3,15.8,-1.7
2005/2/16,3.1,6.9,0.5
2005/2/17,7.3,14.4,2.6
2005/2/18,4.8,8.3,0.8
2005/2/19,2.3,5.2,0.4
2005/2/20,7.6,12.5,2.6
2005/2/21,5.0,10.7,-0.1
2005/2/22,4.9,11.0,-0.6
2005/2/23,7.1,17.4,-1.2
2005/2/24,5.6,9.5,0.5
2005/2/25,2.8,6.4,0.4
2005/2/26,2.9,7.6,-1.1
2005/2/27,2.9,8.9,-3.2
2005/2/28,4.8,11.7,-1.7
2005/3/1,4.2,10.0,0.6
2005/3/2,4.1,9.8,-2.0
2005/3/3,4.5,10.8,-1.1
2005/3/4,1.7,3.7,0.4
2005/3/5,3.1,9.1,0.5
2005/3/6,3.3,7.7,-0.3
2005/3/7,5.2,12.1,-2.3
2005/3/8,8.9,18.4,-0.1
2005/3/9,10.5,19.4,2.9
2005/3/10,8.1,12.6,5.7
2005/3/11,6.2,8.0,3.8
2005/3/12,6.7,14.9,2.4
2005/3/13,4.0,9.3,-0.4
2005/3/14,4.1,9.7,-1.1
2005/3/15,4.9,10.6,-0.4
2005/3/16,9.5,18.7,-0.5
2005/3/17,9.3,13.3,6.0
2005/3/18,11.2,19.1,5.5
2005/3/19,7.2,13.3,1.9
2005/3/20,5.4,9.8,1.4
2005/3/21,10.1,17.3,2.4
2005/3/22,9.0,13.4,4.8
2005/3/23,10.4,15.9,7.0
2005/3/24,9.9,15.1,6.1
2005/3/25,5.7,9.5,1.6
2005/3/26,6.4,12.7,-0.8
2005/3/27,10.9,19.3,1.4
2005/3/28,8.9,10.9,7.9
2005/3/29,10.6,14.6,5.6
2005/3/30,8.8,14.4,4.0
2005/3/31,9.0,16.5,2.5
2005/4/1,10.3,16.4,5.0
2005/4/2,9.7,14.6,4.0
2005/4/3,12.6,20.9,6.5
2005/4/4,7.9,12.5,4.5
2005/4/5,9.8,18.5,1.2
2005/4/6,17.0,26.7,7.7
2005/4/7,19.4,26.7,14.1
2005/4/8,17.0,23.1,11.6
2005/4/9,15.2,23.0,8.8
2005/4/10,17.5,24.4,11.7
2005/4/11,12.4,19.1,7.1
2005/4/12,7.9,9.0,7.2
2005/4/13,9.0,12.3,6.6
2005/4/14,12.6,20.5,3.8
2005/4/15,15.5,23.3,7.7
2005/4/16,13.7,18.7,8.6
2005/4/17,15.0,24.2,6.8
2005/4/18,13.1,18.2,9.5
2005/4/19,14.0,24.4,6.8
2005/4/20,9.9,11.1,8.5
2005/4/21,15.3,23.1,9.6
2005/4/22,13.7,19.5,8.8
2005/4/23,13.8,20.4,5.9
2005/4/24,13.2,21.0,6.5
2005/4/25,15.2,21.0,11.0
2005/4/26,14.7,22.5,8.8
2005/4/27,15.5,23.7,6.9
2005/4/28,20.6,31.6,10.0
2005/4/29,22.9,32.7,14.2
2005/4/30,19.9,26.2,14.4
2005/5/1,17.8,24.5,12.3
