ダウンロードした時刻：2019/10/10 16:07:49

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,9.1,16.1,3.8
2004/12/2,10.3,16.1,6.4
2004/12/3,10.9,17.3,4.5
2004/12/4,14.2,17.0,11.2
2004/12/5,14.0,18.0,8.8
2004/12/6,9.0,12.8,5.3
2004/12/7,8.9,14.7,3.8
2004/12/8,10.0,16.4,5.1
2004/12/9,9.9,15.8,6.1
2004/12/10,11.4,17.4,6.0
2004/12/11,10.5,16.6,6.6
2004/12/12,9.7,16.0,4.6
2004/12/13,10.2,15.4,6.7
2004/12/14,8.4,15.3,3.6
2004/12/15,9.3,16.4,3.8
2004/12/16,8.7,15.5,4.2
2004/12/17,7.4,11.3,3.2
2004/12/18,7.6,13.0,2.5
2004/12/19,10.7,14.4,7.2
2004/12/20,12.2,16.9,8.6
2004/12/21,8.5,12.8,6.8
2004/12/22,8.0,11.6,4.6
2004/12/23,5.4,8.6,3.0
2004/12/24,5.0,8.3,2.4
2004/12/25,6.1,10.7,0.7
2004/12/26,7.0,10.5,3.4
2004/12/27,6.7,11.0,3.3
2004/12/28,6.0,9.3,2.9
2004/12/29,4.9,7.9,2.8
2004/12/30,4.2,7.7,1.5
2004/12/31,2.7,3.9,0.4
2005/1/1,2.5,7.3,0.4
2005/1/2,3.0,8.7,-1.3
2005/1/3,5.9,11.3,0.4
2005/1/4,6.5,11.8,2.8
2005/1/5,3.3,6.4,1.3
2005/1/6,4.5,7.7,0.8
2005/1/7,6.5,12.3,3.3
2005/1/8,3.7,7.6,0.6
2005/1/9,2.4,7.0,-0.3
2005/1/10,3.0,7.6,-0.6
2005/1/11,3.4,8.0,0.4
2005/1/12,2.5,5.3,0.9
2005/1/13,3.8,8.7,0.1
2005/1/14,4.9,8.5,0.9
2005/1/15,5.5,7.4,4.4
2005/1/16,6.2,10.5,4.1
2005/1/17,5.0,8.7,3.0
2005/1/18,5.7,10.8,3.0
2005/1/19,5.5,9.9,1.9
2005/1/20,3.8,8.2,0.2
2005/1/21,2.3,6.4,-0.5
2005/1/22,3.1,7.6,0.1
2005/1/23,3.9,6.9,0.8
2005/1/24,5.5,11.0,-1.1
2005/1/25,6.6,8.9,4.6
2005/1/26,5.0,8.4,1.7
2005/1/27,4.2,7.8,0.4
2005/1/28,6.3,13.0,1.0
2005/1/29,8.4,15.8,0.8
2005/1/30,4.9,8.0,2.9
2005/1/31,3.2,7.2,0.6
2005/2/1,0.4,4.6,-2.4
2005/2/2,-0.1,3.2,-3.6
2005/2/3,1.9,6.2,-2.3
2005/2/4,4.7,9.4,0.5
2005/2/5,5.8,9.8,3.4
2005/2/6,3.9,7.0,2.1
2005/2/7,4.3,7.3,2.9
2005/2/8,5.5,8.4,3.5
2005/2/9,8.3,14.6,2.4
2005/2/10,7.2,10.4,4.0
2005/2/11,3.9,7.7,1.5
2005/2/12,3.2,6.0,0.5
2005/2/13,3.1,9.0,-0.8
2005/2/14,5.3,9.4,2.0
2005/2/15,6.4,11.2,2.0
2005/2/16,9.0,11.0,5.5
2005/2/17,7.9,11.0,5.3
2005/2/18,6.3,8.9,3.6
2005/2/19,8.3,11.0,4.7
2005/2/20,4.4,7.6,0.8
2005/2/21,2.3,7.8,-1.4
2005/2/22,3.2,9.1,-1.8
2005/2/23,8.0,15.0,1.6
2005/2/24,5.6,10.0,2.4
2005/2/25,6.7,12.2,3.7
2005/2/26,2.9,6.8,0.6
2005/2/27,3.0,7.0,-0.1
2005/2/28,4.4,10.5,-0.6
2005/3/1,4.1,8.6,1.9
2005/3/2,5.1,10.0,0.8
2005/3/3,6.4,10.1,3.5
2005/3/4,5.1,8.0,1.6
2005/3/5,4.0,8.5,1.5
2005/3/6,4.1,9.8,0.9
2005/3/7,5.5,12.9,-1.0
2005/3/8,8.9,16.0,1.6
2005/3/9,10.8,17.4,5.3
2005/3/10,13.0,19.2,6.4
2005/3/11,12.6,15.2,10.0
2005/3/12,5.2,10.0,0.4
2005/3/13,1.7,6.9,-0.6
2005/3/14,3.0,8.0,-1.2
2005/3/15,5.2,9.9,
2005/3/16,9.9,17.4,2.9
2005/3/17,11.2,15.7,7.9
2005/3/18,7.8,11.4,3.9
2005/3/19,6.9,13.5,1.3
2005/3/20,7.6,14.3,2.4
2005/3/21,10.1,16.6,3.8
2005/3/22,10.6,12.5,8.0
2005/3/23,9.6,13.0,6.0
2005/3/24,6.9,14.8,2.9
2005/3/25,3.9,7.8,0.8
2005/3/26,8.7,15.3,2.5
2005/3/27,11.5,18.5,3.8
2005/3/28,12.1,13.6,10.0
2005/3/29,9.5,13.9,5.7
2005/3/30,8.2,14.0,2.6
2005/3/31,10.1,17.6,3.6
