ダウンロードした時刻：2019/10/10 15:35:32

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,3.2,6.5,0.8
1986/12/2,1.8,5.2,-1.0
1986/12/3,0.9,5.7,-3.0
1986/12/4,4.9,9.4,-0.3
1986/12/5,3.5,5.4,1.7
1986/12/6,2.7,7.7,-1.1
1986/12/7,2.5,7.4,-1.1
1986/12/8,4.0,7.2,1.6
1986/12/9,7.4,12.0,2.0
1986/12/10,6.4,12.3,0.5
1986/12/11,3.8,6.8,1.7
1986/12/12,6.0,10.7,1.9
1986/12/13,3.2,7.2,-0.8
1986/12/14,1.8,5.4,-1.6
1986/12/15,2.4,5.8,0.3
1986/12/16,0.5,2.3,-0.7
1986/12/17,-2.4,0.9,-5.2
1986/12/18,-1.0,3.6,-6.7
1986/12/19,6.5,13.6,0.4
1986/12/20,0.2,4.5,-1.4
1986/12/21,2.2,6.8,-0.6
1986/12/22,-3.8,-0.6,-5.0
1986/12/23,2.7,5.9,-3.1
1986/12/24,3.7,8.0,1.6
1986/12/25,3.8,7.5,0.9
1986/12/26,-1.6,3.8,-5.0
1986/12/27,-2.9,-0.2,-5.4
1986/12/28,-1.7,1.8,-5.8
1986/12/29,-1.2,2.2,-3.6
1986/12/30,-0.1,2.5,-2.3
1986/12/31,2.0,5.5,-1.1
1987/1/1,-3.2,3.2,-6.1
1987/1/2,-3.2,-1.3,-6.2
1987/1/3,0.6,5.3,-3.7
1987/1/4,-4.3,0.2,-6.8
1987/1/5,-4.3,-1.0,-6.5
1987/1/6,-3.2,1.6,-9.5
1987/1/7,-1.5,1.4,-5.4
1987/1/8,1.1,6.5,-2.3
1987/1/9,-3.2,0.8,-7.1
1987/1/10,-6.7,-3.3,-9.6
1987/1/11,-4.0,0.6,-7.9
1987/1/12,-1.5,1.0,-6.0
1987/1/13,-0.6,1.4,-3.6
1987/1/14,-3.3,-0.2,-5.6
1987/1/15,-1.9,1.4,-5.7
1987/1/16,1.4,3.5,-1.7
1987/1/17,3.5,7.0,-0.9
1987/1/18,-1.8,0.5,-4.3
1987/1/19,-5.0,-1.4,-8.5
1987/1/20,-6.8,-3.3,-10.0
1987/1/21,-4.7,-1.5,-8.7
1987/1/22,-1.1,3.5,-5.2
1987/1/23,1.8,6.3,-2.7
1987/1/24,1.2,4.7,-2.6
1987/1/25,-4.5,-1.1,-7.6
1987/1/26,-3.8,-0.8,-7.7
1987/1/27,-0.5,2.2,-3.0
1987/1/28,1.7,4.0,-1.2
1987/1/29,4.1,8.7,-1.8
1987/1/30,1.4,6.1,-3.2
1987/1/31,-3.8,-0.3,-6.3
1987/2/1,-4.8,-1.9,-6.6
1987/2/2,-2.0,1.1,-6.6
1987/2/3,-2.1,-0.4,-3.7
1987/2/4,-1.2,1.5,-3.5
1987/2/5,-0.7,1.9,-1.9
1987/2/6,-0.3,3.7,-3.5
1987/2/7,-0.1,4.6,-7.3
1987/2/8,1.8,4.6,-1.5
1987/2/9,3.4,6.7,-2.1
1987/2/10,5.5,10.8,1.6
1987/2/11,7.6,12.0,2.7
1987/2/12,0.6,6.7,-3.3
1987/2/13,-2.7,0.8,-5.3
1987/2/14,-2.5,2.3,-6.7
1987/2/15,-5.6,-2.4,-9.2
1987/2/16,-4.8,-2.7,-6.9
1987/2/17,-2.7,1.5,-5.3
1987/2/18,-2.3,1.4,-6.5
1987/2/19,-3.7,-0.6,-6.1
1987/2/20,-3.4,0.9,-6.7
1987/2/21,-2.7,2.3,-8.1
1987/2/22,-0.6,5.3,-7.3
1987/2/23,3.2,7.7,-1.6
1987/2/24,3.3,10.3,-0.9
1987/2/25,0.3,4.3,-4.3
1987/2/26,-2.7,0.5,-4.5
1987/2/27,-2.4,0.0,-5.1
1987/2/28,-0.8,1.7,-3.2
1987/3/1,-1.4,4.6,-5.1
1987/3/2,-1.1,4.6,-5.7
1987/3/3,1.5,4.4,-2.0
1987/3/4,4.1,8.6,0.1
1987/3/5,4.7,11.4,-0.2
1987/3/6,-3.4,-0.1,-6.1
1987/3/7,-0.4,3.7,-5.2
1987/3/8,1.2,6.4,-2.4
1987/3/9,0.5,4.6,-1.9
1987/3/10,-0.9,3.0,-3.9
1987/3/11,-0.1,3.2,-4.6
1987/3/12,1.4,5.8,-2.6
1987/3/13,4.3,11.5,-3.5
1987/3/14,7.6,14.6,2.0
1987/3/15,0.3,3.3,-1.7
1987/3/16,-0.3,2.1,-2.3
1987/3/17,3.0,8.6,-0.7
1987/3/18,1.0,3.8,-1.0
1987/3/19,4.0,8.4,-1.3
1987/3/20,1.6,3.5,0.7
1987/3/21,3.3,7.2,-1.3
1987/3/22,5.5,9.3,3.0
1987/3/23,5.0,5.8,3.8
1987/3/24,5.8,10.4,3.8
1987/3/25,4.3,10.7,0.2
1987/3/26,0.1,4.3,-2.0
1987/3/27,2.4,7.6,-1.9
1987/3/28,4.2,10.6,-1.7
1987/3/29,8.4,16.1,0.7
1987/3/30,6.8,14.8,0.4
1987/3/31,0.3,3.9,-2.4
