ダウンロードした時刻：2019/10/10 16:17:49

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/12/1,9.0,15.0,3.8
2008/12/2,10.8,18.3,5.4
2008/12/3,11.2,19.0,5.4
2008/12/4,13.5,19.4,7.4
2008/12/5,12.2,20.0,5.6
2008/12/6,4.3,9.2,0.2
2008/12/7,3.5,9.7,-1.5
2008/12/8,6.2,11.5,0.3
2008/12/9,12.5,19.0,8.0
2008/12/10,12.6,19.8,7.7
2008/12/11,11.7,19.2,6.4
2008/12/12,11.4,18.8,6.2
2008/12/13,11.8,16.9,7.5
2008/12/14,10.7,15.4,7.1
2008/12/15,9.4,16.0,4.4
2008/12/16,8.4,12.3,3.8
2008/12/17,11.4,18.0,6.7
2008/12/18,9.7,16.8,4.4
2008/12/19,8.3,14.6,3.7
2008/12/20,9.2,16.5,3.5
2008/12/21,11.1,15.0,6.9
2008/12/22,10.3,14.2,6.7
2008/12/23,7.3,13.0,3.8
2008/12/24,7.0,12.5,1.6
2008/12/25,10.1,17.1,6.4
2008/12/26,6.9,10.2,3.2
2008/12/27,5.2,11.4,0.2
2008/12/28,7.4,14.0,1.0
2008/12/29,9.8,15.2,6.5
2008/12/30,8.8,15.7,4.7
2008/12/31,5.7,9.9,2.0
2009/1/1,4.5,9.6,-0.1
2009/1/2,7.1,12.3,2.6
2009/1/3,6.9,12.2,2.5
2009/1/4,7.7,14.1,1.0
2009/1/5,9.5,14.6,4.7
2009/1/6,7.4,13.5,2.2
2009/1/7,7.8,12.3,5.0
2009/1/8,8.7,14.5,3.2
2009/1/9,9.1,15.0,4.4
2009/1/10,5.7,9.6,1.8
2009/1/11,3.6,9.2,-1.2
2009/1/12,3.9,7.8,1.3
2009/1/13,3.2,8.8,-1.1
2009/1/14,3.9,10.6,-1.9
2009/1/15,3.6,8.5,-0.6
2009/1/16,4.3,11.0,-2.0
2009/1/17,5.9,12.5,0.3
2009/1/18,6.7,9.9,2.9
2009/1/19,9.4,15.6,4.8
2009/1/20,8.4,13.5,4.0
2009/1/21,7.2,8.1,5.8
2009/1/22,8.8,9.9,7.5
2009/1/23,9.6,16.1,5.5
2009/1/24,2.0,6.1,-1.2
2009/1/25,2.9,9.9,-2.6
2009/1/26,5.5,9.8,0.6
2009/1/27,7.2,12.7,1.7
2009/1/28,8.4,15.5,1.6
2009/1/29,10.3,15.0,5.4
2009/1/30,11.9,15.6,10.1
2009/1/31,11.1,16.0,7.8
2009/2/1,8.1,11.8,5.7
2009/2/2,8.0,13.7,1.6
2009/2/3,7.2,8.3,5.8
2009/2/4,10.3,16.9,4.7
2009/2/5,11.4,17.8,5.8
2009/2/6,9.5,14.3,5.4
2009/2/7,8.1,14.9,1.8
2009/2/8,9.4,15.9,4.4
2009/2/9,8.9,14.5,4.8
2009/2/10,10.0,15.3,5.7
2009/2/11,9.3,17.0,3.4
2009/2/12,9.9,16.1,3.7
2009/2/13,13.7,17.0,8.6
2009/2/14,17.9,24.3,13.6
2009/2/15,15.1,20.5,9.5
2009/2/16,10.2,14.8,4.1
2009/2/17,5.3,10.3,2.7
2009/2/18,6.3,12.4,1.8
2009/2/19,6.4,11.6,3.1
2009/2/20,10.4,18.1,5.3
2009/2/21,6.8,11.8,1.6
2009/2/22,6.8,10.0,2.7
2009/2/23,13.0,17.9,10.0
2009/2/24,11.4,13.2,9.5
2009/2/25,16.0,21.2,12.7
2009/2/26,13.5,18.2,10.4
2009/2/27,10.2,11.7,8.5
2009/2/28,10.4,13.2,6.6
2009/3/1,11.9,17.5,8.0
2009/3/2,8.5,13.1,3.2
2009/3/3,8.0,9.8,5.9
2009/3/4,9.5,13.9,6.8
2009/3/5,9.9,15.3,4.8
2009/3/6,14.0,22.4,10.1
2009/3/7,10.9,14.9,7.7
2009/3/8,11.1,14.2,7.9
2009/3/9,11.0,14.2,9.0
2009/3/10,12.3,20.2,5.6
2009/3/11,10.6,15.0,6.3
2009/3/12,10.3,15.7,3.7
2009/3/13,12.0,18.4,8.0
2009/3/14,9.3,15.7,2.6
2009/3/15,7.4,13.6,0.8
2009/3/16,10.6,17.2,3.3
2009/3/17,13.9,20.8,6.7
2009/3/18,15.4,21.4,7.9
2009/3/19,15.5,16.7,13.8
2009/3/20,15.8,21.6,9.7
2009/3/21,12.7,18.3,5.6
2009/3/22,14.6,16.9,12.1
2009/3/23,13.9,17.7,10.3
2009/3/24,12.9,18.0,7.9
2009/3/25,11.1,16.4,6.2
2009/3/26,8.7,15.6,1.9
2009/3/27,11.1,18.3,4.8
2009/3/28,9.4,12.3,7.4
2009/3/29,10.3,15.2,6.2
2009/3/30,11.0,15.7,7.0
2009/3/31,10.4,14.9,6.6
