ダウンロードした時刻：2019/10/10 16:23:54

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,15.4,17.3,12.6
1993/12/2,14.3,17.9,10.9
1993/12/3,12.9,16.9,8.1
1993/12/4,7.3,9.4,5.5
1993/12/5,6.9,10.3,4.0
1993/12/6,4.9,10.4,0.4
1993/12/7,5.3,12.4,-0.6
1993/12/8,6.6,13.2,-0.1
1993/12/9,7.0,14.6,0.1
1993/12/10,10.7,13.9,7.1
1993/12/11,9.1,12.4,3.2
1993/12/12,7.7,15.7,-0.3
1993/12/13,11.2,17.8,4.9
1993/12/14,9.4,12.9,4.8
1993/12/15,6.2,11.4,3.0
1993/12/16,6.4,8.3,3.5
1993/12/17,5.6,8.4,1.3
1993/12/18,3.3,9.5,-1.6
1993/12/19,5.1,8.8,1.1
1993/12/20,8.4,14.4,3.9
1993/12/21,5.7,8.1,3.0
1993/12/22,4.8,7.4,1.9
1993/12/23,5.9,10.4,1.2
1993/12/24,6.1,11.9,1.3
1993/12/25,8.1,15.0,3.3
1993/12/26,9.2,16.5,2.9
1993/12/27,7.7,11.9,4.1
1993/12/28,6.3,12.7,0.6
1993/12/29,6.3,13.6,-0.3
1993/12/30,9.2,17.5,0.1
1993/12/31,9.7,13.4,5.8
1994/1/1,5.9,11.5,1.5
1994/1/2,7.4,14.1,2.3
1994/1/3,6.6,8.9,3.9
1994/1/4,7.0,12.8,3.7
1994/1/5,6.6,12.9,0.0
1994/1/6,9.1,14.1,5.7
1994/1/7,6.5,10.9,1.5
1994/1/8,4.9,7.9,1.2
1994/1/9,6.8,14.1,0.4
1994/1/10,7.1,14.5,0.6
1994/1/11,8.2,15.3,1.1
1994/1/12,8.0,12.2,3.2
1994/1/13,6.7,7.8,4.5
1994/1/14,5.7,9.6,1.2
1994/1/15,4.5,11.9,-1.6
1994/1/16,8.0,15.4,-0.8
1994/1/17,12.4,15.5,9.8
1994/1/18,7.5,10.8,3.2
1994/1/19,2.0,4.6,-0.2
1994/1/20,2.4,5.8,-1.2
1994/1/21,2.7,5.6,-0.6
1994/1/22,2.6,5.9,-0.4
1994/1/23,2.2,6.4,-1.1
1994/1/24,1.6,7.7,-4.4
1994/1/25,5.2,11.9,0.2
1994/1/26,8.0,15.4,-0.1
1994/1/27,7.5,11.5,2.6
1994/1/28,5.2,10.9,1.5
1994/1/29,3.2,8.4,-0.7
1994/1/30,3.5,8.9,-1.4
1994/1/31,6.1,12.7,-0.4
1994/2/1,9.7,14.0,6.8
1994/2/2,5.7,9.3,1.2
1994/2/3,5.8,10.8,0.5
1994/2/4,5.0,9.5,-1.2
1994/2/5,8.4,12.5,5.0
1994/2/6,8.2,13.0,2.6
1994/2/7,9.2,14.5,3.8
1994/2/8,6.3,10.9,0.6
1994/2/9,5.4,10.2,3.0
1994/2/10,4.2,9.1,0.4
1994/2/11,4.6,9.8,0.2
1994/2/12,6.7,9.9,4.0
1994/2/13,6.0,11.9,1.7
1994/2/14,6.7,13.0,-1.1
1994/2/15,6.7,9.0,4.7
1994/2/16,6.3,10.1,3.1
1994/2/17,6.9,13.4,0.6
1994/2/18,8.2,16.1,-0.3
1994/2/19,10.2,15.5,4.9
1994/2/20,12.0,14.8,9.9
1994/2/21,8.8,11.6,4.2
1994/2/22,6.7,12.1,1.2
1994/2/23,7.6,13.5,3.3
1994/2/24,5.7,9.9,3.0
1994/2/25,5.8,9.6,3.7
1994/2/26,6.7,11.5,3.7
1994/2/27,7.4,13.3,2.8
1994/2/28,7.7,14.3,0.5
1994/3/1,7.5,12.9,3.1
1994/3/2,6.7,12.5,1.0
1994/3/3,4.5,9.0,0.3
1994/3/4,6.2,13.6,-0.7
1994/3/5,8.9,15.9,1.7
1994/3/6,10.1,17.0,2.3
1994/3/7,11.8,15.7,7.6
1994/3/8,14.6,18.0,12.6
1994/3/9,11.1,17.1,7.9
1994/3/10,6.7,10.7,1.8
1994/3/11,6.3,13.5,-1.6
1994/3/12,7.8,9.9,6.1
1994/3/13,9.2,14.1,5.6
1994/3/14,6.4,10.4,4.0
1994/3/15,5.5,10.6,0.3
1994/3/16,5.2,9.0,-0.1
1994/3/17,7.7,14.0,1.8
1994/3/18,9.3,15.5,2.7
1994/3/19,9.7,16.1,2.9
1994/3/20,11.1,17.5,6.1
1994/3/21,10.0,16.9,4.0
1994/3/22,9.2,11.3,7.6
1994/3/23,11.0,16.6,7.7
1994/3/24,7.3,13.8,3.5
1994/3/25,7.4,11.8,3.9
1994/3/26,5.8,10.2,1.9
1994/3/27,6.8,13.6,0.4
1994/3/28,8.3,12.9,1.1
1994/3/29,12.8,17.7,9.0
1994/3/30,12.0,19.0,5.8
1994/3/31,12.9,21.0,5.0
