ダウンロードした時刻：2019/10/10 16:23:59

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,11.6,15.1,8.9
1997/12/2,6.7,9.4,3.5
1997/12/3,3.9,7.4,0.5
1997/12/4,5.8,13.5,-1.2
1997/12/5,9.6,17.3,3.6
1997/12/6,14.5,21.1,6.9
1997/12/7,15.2,17.5,13.8
1997/12/8,12.2,14.5,8.0
1997/12/9,7.3,8.9,6.0
1997/12/10,3.8,6.3,0.1
1997/12/11,4.0,8.8,-0.6
1997/12/12,3.4,5.9,-0.4
1997/12/13,5.5,11.2,0.4
1997/12/14,6.7,13.0,0.8
1997/12/15,8.6,15.6,3.3
1997/12/16,9.5,13.7,6.0
1997/12/17,11.3,14.1,8.4
1997/12/18,11.1,15.0,5.6
1997/12/19,9.9,15.5,3.0
1997/12/20,12.5,14.8,10.0
1997/12/21,13.6,18.8,9.7
1997/12/22,9.3,11.4,7.6
1997/12/23,9.2,12.8,6.7
1997/12/24,8.3,14.9,3.5
1997/12/25,7.7,14.3,1.6
1997/12/26,9.3,16.6,2.9
1997/12/27,9.4,16.2,3.7
1997/12/28,8.3,13.8,3.2
1997/12/29,7.3,12.4,3.0
1997/12/30,8.4,12.3,5.0
1997/12/31,6.7,12.5,1.2
1998/1/1,7.1,9.6,5.0
1998/1/2,6.8,13.0,2.1
1998/1/3,8.2,14.5,0.6
1998/1/4,8.5,11.1,5.0
1998/1/5,5.6,9.1,3.3
1998/1/6,6.9,10.8,1.9
1998/1/7,5.8,10.4,-0.3
1998/1/8,11.1,14.3,7.4
1998/1/9,10.0,13.7,6.1
1998/1/10,7.7,9.8,5.4
1998/1/11,7.9,10.0,6.0
1998/1/12,7.2,11.8,3.7
1998/1/13,7.0,12.6,1.0
1998/1/14,9.7,12.9,5.8
1998/1/15,8.5,10.9,6.9
1998/1/16,7.8,12.7,3.4
1998/1/17,7.8,12.2,3.0
1998/1/18,8.5,12.4,4.6
1998/1/19,1.7,4.9,-1.0
1998/1/20,3.6,8.4,-1.2
1998/1/21,5.2,9.0,1.4
1998/1/22,2.8,6.5,-0.9
1998/1/23,1.4,3.0,0.2
1998/1/24,0.1,2.9,-4.0
1998/1/25,-0.6,4.5,-6.1
1998/1/26,3.6,8.0,-0.3
1998/1/27,4.4,9.6,-0.6
1998/1/28,5.5,9.3,2.9
1998/1/29,3.4,8.3,-1.6
1998/1/30,4.7,11.3,-2.5
1998/1/31,7.0,11.8,2.8
1998/2/1,4.5,8.1,1.4
1998/2/2,6.1,13.6,-1.0
1998/2/3,5.8,9.3,1.7
1998/2/4,6.7,11.4,3.2
1998/2/5,5.7,10.2,2.0
1998/2/6,5.2,11.2,-0.9
1998/2/7,5.8,12.2,0.5
1998/2/8,6.1,8.0,3.8
1998/2/9,5.6,10.5,-0.4
1998/2/10,8.7,12.8,2.5
1998/2/11,7.8,16.4,-1.6
1998/2/12,14.7,21.1,8.6
1998/2/13,16.7,21.9,11.6
1998/2/14,14.3,18.6,9.8
1998/2/15,10.7,14.9,7.3
1998/2/16,10.0,16.0,3.9
1998/2/17,10.0,14.3,5.3
1998/2/18,8.3,12.0,4.1
1998/2/19,15.7,19.5,9.5
1998/2/20,15.5,17.2,14.2
1998/2/21,12.5,15.2,9.2
1998/2/22,11.8,18.2,7.4
1998/2/23,12.5,15.6,10.6
1998/2/24,11.4,13.1,10.2
1998/2/25,11.3,14.2,9.2
1998/2/26,10.0,13.1,6.0
1998/2/27,9.5,15.4,3.1
1998/2/28,9.4,12.7,6.4
1998/3/1,8.5,13.0,4.1
1998/3/2,7.7,15.0,0.4
1998/3/3,9.1,15.9,2.4
1998/3/4,10.2,16.2,4.9
1998/3/5,9.1,13.7,5.9
1998/3/6,9.0,16.3,1.9
1998/3/7,9.4,15.6,5.3
1998/3/8,9.4,14.7,4.6
1998/3/9,12.3,17.1,8.3
1998/3/10,9.2,11.5,7.8
1998/3/11,12.8,15.5,10.1
1998/3/12,11.0,13.5,7.1
1998/3/13,10.1,16.0,4.0
1998/3/14,11.6,17.6,5.7
1998/3/15,7.8,11.3,4.6
1998/3/16,9.2,15.0,3.7
1998/3/17,10.1,17.7,2.2
1998/3/18,12.2,20.5,3.7
1998/3/19,13.6,18.4,5.4
1998/3/20,9.5,17.8,5.4
1998/3/21,7.7,11.0,4.7
1998/3/22,7.7,12.0,3.6
1998/3/23,8.2,13.7,1.8
1998/3/24,9.8,11.9,7.8
1998/3/25,10.3,14.5,7.0
1998/3/26,11.1,15.7,7.5
1998/3/27,14.9,18.8,11.8
1998/3/28,14.4,18.0,11.6
1998/3/29,14.1,20.7,8.1
1998/3/30,15.4,23.0,7.3
1998/3/31,17.2,25.1,9.1
