ダウンロードした時刻：2019/10/10 15:35:17

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,4.7,7.1,3.0
1991/12/2,4.5,9.4,-0.9
1991/12/3,2.2,6.4,-2.1
1991/12/4,4.1,7.5,-0.4
1991/12/5,3.9,9.2,0.3
1991/12/6,3.3,4.5,2.0
1991/12/7,4.3,10.8,0.8
1991/12/8,1.0,4.8,-0.3
1991/12/9,0.7,2.9,-0.7
1991/12/10,-0.1,2.0,-1.1
1991/12/11,1.2,4.9,-1.7
1991/12/12,-1.0,1.6,-2.4
1991/12/13,0.4,3.1,-2.4
1991/12/14,0.8,1.8,0.2
1991/12/15,1.0,3.1,-0.7
1991/12/16,0.6,2.1,-0.7
1991/12/17,-0.1,0.8,-1.0
1991/12/18,2.7,6.1,-0.5
1991/12/19,1.7,4.8,-1.0
1991/12/20,0.5,3.8,-2.9
1991/12/21,3.6,8.4,0.6
1991/12/22,3.7,10.3,-0.5
1991/12/23,2.3,5.1,-1.5
1991/12/24,4.9,7.2,3.0
1991/12/25,2.0,3.6,-1.0
1991/12/26,0.4,1.9,-1.1
1991/12/27,1.2,3.2,-0.3
1991/12/28,1.8,4.2,-0.3
1991/12/29,-0.3,2.3,-2.3
1991/12/30,-2.1,-0.1,-5.2
1991/12/31,1.9,4.8,-0.4
1992/1/1,1.0,2.4,0.0
1992/1/2,0.7,3.7,-2.2
1992/1/3,1.4,3.1,0.2
1992/1/4,2.3,4.4,0.5
1992/1/5,1.9,4.2,0.4
1992/1/6,1.0,3.8,-2.0
1992/1/7,1.6,3.4,-0.1
1992/1/8,4.3,7.0,1.4
1992/1/9,0.5,2.3,-0.5
1992/1/10,0.7,2.9,-1.0
1992/1/11,3.6,7.2,-0.7
1992/1/12,0.4,3.8,-2.9
1992/1/13,4.6,7.7,0.7
1992/1/14,-1.0,1.2,-4.5
1992/1/15,-1.4,1.0,-4.4
1992/1/16,0.5,5.5,-2.4
1992/1/17,-0.2,3.9,-4.5
1992/1/18,-0.1,1.3,-1.5
1992/1/19,-0.1,1.6,-1.6
1992/1/20,-0.3,1.7,-3.9
1992/1/21,0.1,4.9,-6.0
1992/1/22,-1.5,0.8,-6.7
1992/1/23,-0.7,0.8,-3.1
1992/1/24,-2.8,-0.6,-4.1
1992/1/25,-1.9,0.6,-4.9
1992/1/26,-0.5,3.7,-8.8
1992/1/27,-2.9,3.6,-8.1
1992/1/28,0.5,2.3,-1.8
1992/1/29,-0.3,2.1,-2.6
1992/1/30,-0.5,1.3,-2.7
1992/1/31,-1.0,1.9,-4.4
1992/2/1,-1.5,1.2,-4.3
1992/2/2,-0.6,1.3,-4.2
1992/2/3,-0.3,1.5,-3.6
1992/2/4,0.9,4.6,-1.3
1992/2/5,-1.1,0.3,-1.7
1992/2/6,-1.2,2.4,-4.6
1992/2/7,-1.9,2.2,-6.3
1992/2/8,-1.9,-0.7,-3.0
1992/2/9,-1.7,0.5,-3.7
1992/2/10,-2.3,3.6,-9.9
1992/2/11,-2.4,-0.9,-4.5
1992/2/12,-3.4,2.7,-10.2
1992/2/13,0.9,4.4,-3.2
1992/2/14,0.0,2.4,-3.8
1992/2/15,1.4,5.1,-1.3
1992/2/16,-1.7,1.2,-4.0
1992/2/17,-1.8,0.9,-4.0
1992/2/18,-2.3,2.2,-9.1
1992/2/19,-2.0,0.4,-3.9
1992/2/20,-4.4,-2.4,-8.6
1992/2/21,-3.4,-0.2,-6.4
1992/2/22,-1.4,0.6,-3.2
1992/2/23,0.0,2.5,-2.9
1992/2/24,-0.3,3.3,-3.4
1992/2/25,0.0,2.7,-2.7
1992/2/26,-0.1,2.5,-3.2
1992/2/27,1.7,7.9,-2.4
1992/2/28,1.6,9.4,-5.2
1992/2/29,0.8,2.5,-3.1
1992/3/1,3.7,7.5,1.5
1992/3/2,-0.2,2.5,-1.7
1992/3/3,-1.1,1.9,-3.0
1992/3/4,0.6,3.1,-2.6
1992/3/5,-0.4,3.1,-4.6
1992/3/6,0.9,2.6,-0.4
1992/3/7,-0.3,3.1,-3.3
1992/3/8,1.4,6.2,-3.8
1992/3/9,1.9,8.3,-1.6
1992/3/10,2.4,10.4,-2.2
1992/3/11,2.9,6.7,-3.1
1992/3/12,1.4,8.3,-6.2
1992/3/13,5.6,9.5,0.9
1992/3/14,6.2,12.2,1.9
1992/3/15,3.2,4.9,1.7
1992/3/16,3.2,6.8,0.1
1992/3/17,1.3,4.6,-1.7
1992/3/18,0.8,1.6,0.0
1992/3/19,3.0,7.4,0.3
1992/3/20,2.4,5.2,-1.4
1992/3/21,-1.1,-0.3,-3.0
1992/3/22,0.2,3.1,-2.7
1992/3/23,1.4,6.6,-5.7
1992/3/24,3.6,7.7,0.3
1992/3/25,4.8,7.8,2.3
1992/3/26,6.5,9.6,2.9
1992/3/27,5.1,11.3,0.4
1992/3/28,4.4,12.6,-2.4
1992/3/29,7.6,13.7,-0.2
1992/3/30,7.6,9.2,5.8
1992/3/31,7.0,10.2,3.3
