ダウンロードした時刻：2019/10/10 15:58:09

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,10.5,15.8,4.8
1983/12/2,8.0,14.6,1.8
1983/12/3,10.3,18.7,1.9
1983/12/4,8.3,13.5,3.4
1983/12/5,9.7,15.3,2.8
1983/12/6,8.5,12.8,4.9
1983/12/7,7.5,12.3,2.3
1983/12/8,8.6,13.7,4.1
1983/12/9,7.7,14.1,2.2
1983/12/10,9.0,15.5,1.6
1983/12/11,11.0,16.0,6.8
1983/12/12,7.4,12.8,3.3
1983/12/13,7.4,13.2,1.0
1983/12/14,12.8,17.1,4.7
1983/12/15,8.2,13.2,2.2
1983/12/16,7.4,12.5,1.9
1983/12/17,7.2,11.7,2.6
1983/12/18,3.9,8.9,-0.6
1983/12/19,4.9,10.8,-2.6
1983/12/20,5.8,10.8,0.0
1983/12/21,4.6,10.2,-2.1
1983/12/22,6.9,12.0,0.8
1983/12/23,9.2,15.0,2.1
1983/12/24,4.3,8.1,0.3
1983/12/25,4.5,8.9,0.0
1983/12/26,1.9,7.6,-4.1
1983/12/27,3.1,8.5,-3.0
1983/12/28,3.4,8.6,-1.7
1983/12/29,4.1,9.4,-2.2
1983/12/30,4.6,8.1,-0.2
1983/12/31,4.2,10.0,-0.7
1984/1/1,4.2,10.3,-1.8
1984/1/2,4.4,11.9,-1.6
1984/1/3,4.8,9.4,-1.1
1984/1/4,5.7,11.8,-0.7
1984/1/5,3.3,10.4,-2.9
1984/1/6,2.8,8.0,-3.0
1984/1/7,4.2,9.7,-2.3
1984/1/8,4.0,8.9,-0.7
1984/1/9,4.8,11.5,-2.4
1984/1/10,6.9,12.2,-0.5
1984/1/11,6.6,10.9,-1.0
1984/1/12,3.3,8.2,-2.4
1984/1/13,4.1,9.8,-2.2
1984/1/14,5.1,11.4,-0.8
1984/1/15,7.5,14.7,-1.2
1984/1/16,5.4,9.6,0.0
1984/1/17,3.3,8.5,-0.4
1984/1/18,3.3,7.3,-4.1
1984/1/19,3.1,4.3,1.8
1984/1/20,4.3,7.3,1.1
1984/1/21,4.6,7.4,2.1
1984/1/22,6.0,9.9,3.7
1984/1/23,5.1,10.3,0.1
1984/1/24,3.9,8.9,-0.5
1984/1/25,4.5,9.8,0.0
1984/1/26,2.6,6.5,0.2
1984/1/27,2.6,9.0,-4.3
1984/1/28,3.7,8.9,-1.6
1984/1/29,3.1,7.2,-2.8
1984/1/30,4.3,7.6,0.5
1984/1/31,4.2,5.4,2.7
1984/2/1,6.4,11.0,3.0
1984/2/2,7.0,10.5,1.1
1984/2/3,4.1,9.0,-1.0
1984/2/4,-0.3,3.4,-5.4
1984/2/5,3.1,9.7,-3.0
1984/2/6,3.6,8.9,-1.2
1984/2/7,-0.1,3.7,-3.4
1984/2/8,1.1,6.6,-2.9
1984/2/9,2.2,7.3,-2.5
1984/2/10,1.8,6.6,-4.2
1984/2/11,3.4,8.2,-2.3
1984/2/12,5.2,9.9,-1.3
1984/2/13,5.1,7.1,3.3
1984/2/14,6.0,10.9,2.6
1984/2/15,4.3,7.1,0.6
1984/2/16,3.3,8.0,-2.0
1984/2/17,1.7,5.1,0.0
1984/2/18,3.8,6.9,1.1
1984/2/19,4.2,8.8,-1.2
1984/2/20,4.9,9.3,-0.7
1984/2/21,6.0,10.8,-0.7
1984/2/22,8.0,11.6,4.3
1984/2/23,5.8,7.5,3.6
1984/2/24,8.4,10.4,6.9
1984/2/25,6.9,9.0,5.3
1984/2/26,5.5,6.8,4.0
1984/2/27,5.9,9.8,2.3
1984/2/28,4.2,8.6,1.0
1984/2/29,3.9,9.6,0.4
1984/3/1,3.5,9.0,-2.0
1984/3/2,5.3,11.1,-3.1
1984/3/3,5.3,12.8,0.8
1984/3/4,4.7,10.1,-1.2
1984/3/5,5.8,12.4,-0.2
1984/3/6,6.3,12.5,-1.0
1984/3/7,5.0,10.4,-1.3
1984/3/8,5.4,11.2,-2.0
1984/3/9,5.5,9.7,-0.1
1984/3/10,3.7,5.0,1.6
1984/3/11,4.9,8.8,0.8
1984/3/12,6.4,11.9,-1.6
1984/3/13,5.7,9.6,-0.1
1984/3/14,3.8,6.1,2.1
1984/3/15,5.0,7.4,2.3
1984/3/16,6.9,9.5,4.3
1984/3/17,8.7,14.9,3.2
1984/3/18,8.9,15.1,3.9
1984/3/19,4.4,6.2,2.4
1984/3/20,6.1,8.1,2.7
1984/3/21,5.4,10.8,0.6
1984/3/22,4.3,9.0,-1.9
1984/3/23,5.4,9.6,1.1
1984/3/24,5.7,11.7,0.6
1984/3/25,8.7,14.3,1.7
1984/3/26,11.3,17.2,7.3
1984/3/27,11.0,18.5,3.8
1984/3/28,8.0,11.4,4.3
1984/3/29,10.5,18.7,2.5
1984/3/30,13.2,20.5,4.6
1984/3/31,12.7,23.2,7.0
