ダウンロードした時刻：2019/10/10 15:44:24

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,14.3,16.8,11.0
1990/12/2,8.7,11.7,7.1
1990/12/3,7.9,10.1,6.4
1990/12/4,8.1,12.4,5.9
1990/12/5,10.0,14.5,6.0
1990/12/6,11.0,16.4,7.1
1990/12/7,13.0,17.1,6.9
1990/12/8,13.8,18.9,9.3
1990/12/9,13.4,17.4,8.2
1990/12/10,12.0,17.3,9.2
1990/12/11,10.4,18.0,6.4
1990/12/12,6.8,9.7,4.4
1990/12/13,6.6,11.6,3.6
1990/12/14,10.2,14.6,3.9
1990/12/15,6.1,9.8,4.0
1990/12/16,5.4,8.6,2.8
1990/12/17,4.8,8.6,1.9
1990/12/18,4.7,7.8,2.1
1990/12/19,4.5,5.9,2.0
1990/12/20,6.5,10.2,2.7
1990/12/21,8.4,13.9,5.3
1990/12/22,10.3,15.2,4.4
1990/12/23,5.0,10.1,1.9
1990/12/24,4.5,8.1,2.9
1990/12/25,5.5,9.4,3.2
1990/12/26,5.7,11.7,0.7
1990/12/27,5.0,6.7,1.3
1990/12/28,3.4,6.1,1.1
1990/12/29,3.3,5.3,2.2
1990/12/30,4.5,8.8,2.1
1990/12/31,6.5,11.0,1.4
1991/1/1,8.5,10.1,6.9
1991/1/2,7.8,9.1,6.6
1991/1/3,5.2,7.6,2.7
1991/1/4,2.8,4.9,0.5
1991/1/5,2.1,4.0,0.3
1991/1/6,2.3,4.3,0.1
1991/1/7,3.0,5.8,0.9
1991/1/8,2.2,6.7,0.4
1991/1/9,2.7,5.1,0.6
1991/1/10,4.2,6.8,2.0
1991/1/11,3.7,5.6,1.7
1991/1/12,4.2,8.6,0.9
1991/1/13,2.9,5.4,0.4
1991/1/14,1.5,3.8,0.4
1991/1/15,0.9,2.3,0.5
1991/1/16,3.2,6.2,1.2
1991/1/17,4.9,8.5,1.7
1991/1/18,1.6,3.0,0.3
1991/1/19,4.2,9.4,1.3
1991/1/20,5.6,13.0,0.4
1991/1/21,5.0,6.6,2.7
1991/1/22,4.2,6.1,1.0
1991/1/23,0.9,2.9,-0.5
1991/1/24,2.6,6.3,-2.0
1991/1/25,7.1,9.9,3.3
1991/1/26,2.7,5.6,0.9
1991/1/27,1.8,4.2,0.6
1991/1/28,1.3,4.5,-0.8
1991/1/29,1.1,5.0,-1.0
1991/1/30,1.7,4.4,0.1
1991/1/31,2.1,6.1,0.7
1991/2/1,1.7,3.1,0.3
1991/2/2,1.6,3.2,0.0
1991/2/3,1.7,4.6,-0.1
1991/2/4,2.3,5.1,0.5
1991/2/5,2.3,5.3,0.2
1991/2/6,3.4,6.0,0.3
1991/2/7,3.8,7.1,1.3
1991/2/8,2.9,6.5,0.4
1991/2/9,3.0,7.6,-0.5
1991/2/10,4.6,6.8,0.0
1991/2/11,6.8,11.6,4.1
1991/2/12,4.5,6.5,1.8
1991/2/13,3.6,7.1,0.4
1991/2/14,5.0,10.0,-0.8
1991/2/15,8.9,13.7,5.1
1991/2/16,5.7,8.8,3.2
1991/2/17,2.6,4.5,0.5
1991/2/18,2.3,4.7,-1.0
1991/2/19,2.6,5.5,0.1
1991/2/20,1.2,4.8,-0.2
1991/2/21,0.8,2.9,-1.0
1991/2/22,0.5,3.5,-1.8
1991/2/23,-0.8,1.3,-1.8
1991/2/24,-0.7,0.8,-2.2
1991/2/25,1.0,4.1,-2.5
1991/2/26,4.5,7.2,-0.6
1991/2/27,6.9,11.6,3.4
1991/2/28,5.9,9.7,2.5
1991/3/1,3.1,5.6,1.9
1991/3/2,4.2,8.9,1.1
1991/3/3,4.4,9.5,0.8
1991/3/4,7.4,14.4,0.2
1991/3/5,9.5,15.1,4.6
1991/3/6,10.8,16.8,5.5
1991/3/7,5.3,8.5,2.6
1991/3/8,4.4,5.9,2.6
1991/3/9,7.9,11.3,5.2
1991/3/10,6.6,9.8,4.0
1991/3/11,4.5,6.1,3.6
1991/3/12,6.3,9.9,4.3
1991/3/13,7.6,11.6,4.3
1991/3/14,3.0,7.8,-1.5
1991/3/15,2.1,5.8,-0.9
1991/3/16,3.5,5.5,1.3
1991/3/17,5.4,8.8,3.3
1991/3/18,5.6,11.1,0.7
1991/3/19,10.4,18.5,2.1
1991/3/20,12.7,19.9,7.1
1991/3/21,5.4,7.9,4.3
1991/3/22,6.7,9.2,3.7
1991/3/23,10.1,11.9,8.3
1991/3/24,10.1,14.8,7.5
1991/3/25,9.5,14.9,5.1
1991/3/26,10.6,15.5,8.4
1991/3/27,9.1,11.6,7.4
1991/3/28,7.4,9.3,6.3
1991/3/29,7.1,10.9,4.4
1991/3/30,8.2,11.5,3.2
1991/3/31,7.1,9.8,5.0
