ダウンロードした時刻：2019/10/10 15:42:19

,輪島,輪島,輪島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,4.4,7.2,0.7
1987/12/2,2.0,3.4,0.4
1987/12/3,3.6,7.4,0.2
1987/12/4,2.3,5.0,0.8
1987/12/5,3.3,4.9,1.0
1987/12/6,3.9,5.8,2.4
1987/12/7,2.0,5.8,-1.0
1987/12/8,4.2,11.1,-1.7
1987/12/9,8.2,12.6,4.6
1987/12/10,8.7,15.0,5.4
1987/12/11,9.3,13.7,5.6
1987/12/12,5.6,7.3,2.7
1987/12/13,5.4,9.8,0.8
1987/12/14,5.6,9.2,1.0
1987/12/15,7.9,10.0,6.6
1987/12/16,7.3,10.2,4.4
1987/12/17,3.3,9.7,1.1
1987/12/18,2.8,6.8,-0.8
1987/12/19,6.9,12.2,3.1
1987/12/20,6.4,8.4,4.1
1987/12/21,4.0,6.8,1.1
1987/12/22,6.7,9.8,1.1
1987/12/23,8.2,11.3,4.5
1987/12/24,8.9,13.0,4.0
1987/12/25,12.3,16.2,5.7
1987/12/26,12.5,15.8,6.2
1987/12/27,12.9,16.5,8.2
1987/12/28,15.1,17.1,11.3
1987/12/29,12.8,15.6,9.9
1987/12/30,6.7,16.1,-0.2
1987/12/31,1.7,3.9,-1.0
1988/1/1,7.1,11.8,-1.1
1988/1/2,7.5,10.6,5.2
1988/1/3,4.8,8.4,0.3
1988/1/4,6.4,9.4,3.3
1988/1/5,2.3,3.9,1.7
1988/1/6,1.6,5.1,-2.2
1988/1/7,4.0,8.9,-3.2
1988/1/8,7.0,9.4,3.1
1988/1/9,2.5,6.0,0.7
1988/1/10,1.0,1.5,-0.1
1988/1/11,3.2,6.5,-0.6
1988/1/12,4.5,8.2,1.5
1988/1/13,6.2,10.1,1.8
1988/1/14,9.1,12.4,4.8
1988/1/15,7.5,12.0,5.2
1988/1/16,3.3,8.0,-1.1
1988/1/17,3.7,6.3,0.7
1988/1/18,2.5,5.4,0.6
1988/1/19,1.9,6.1,-1.0
1988/1/20,5.8,12.0,-1.1
1988/1/21,7.0,11.6,1.0
1988/1/22,12.3,14.2,9.3
1988/1/23,2.7,11.9,-0.4
1988/1/24,0.4,1.8,-0.6
1988/1/25,2.9,3.9,1.0
1988/1/26,3.1,5.1,0.9
1988/1/27,2.3,4.6,0.5
1988/1/28,3.0,5.3,0.0
1988/1/29,6.1,10.8,1.6
1988/1/30,1.5,3.6,0.3
1988/1/31,3.1,5.0,1.3
1988/2/1,2.5,5.3,-0.7
1988/2/2,2.7,7.1,-2.5
1988/2/3,-2.6,-1.1,-4.0
1988/2/4,2.1,6.7,-2.2
1988/2/5,7.9,12.2,2.9
1988/2/6,2.4,5.4,0.2
1988/2/7,-1.1,1.0,-2.9
1988/2/8,-0.1,3.2,-1.8
1988/2/9,0.3,1.9,-1.4
1988/2/10,-0.2,0.7,-1.2
1988/2/11,0.0,1.6,-1.6
1988/2/12,1.9,5.1,-1.9
1988/2/13,2.2,5.5,-1.1
1988/2/14,0.4,1.1,-1.0
1988/2/15,-0.5,1.3,-2.1
1988/2/16,-1.2,0.5,-2.5
1988/2/17,-1.3,0.6,-4.3
1988/2/18,-2.1,3.3,-8.2
1988/2/19,0.9,3.6,-1.8
1988/2/20,3.1,5.0,0.9
1988/2/21,-0.2,1.0,-1.6
1988/2/22,-0.2,4.8,-6.7
1988/2/23,4.3,8.6,1.5
1988/2/24,1.9,4.1,-2.5
1988/2/25,1.1,5.6,-3.1
1988/2/26,2.9,5.5,-1.1
1988/2/27,2.8,4.4,0.5
1988/2/28,2.6,5.6,0.0
1988/2/29,3.2,5.7,-1.0
1988/3/1,3.6,5.9,1.5
1988/3/2,4.8,9.7,2.5
1988/3/3,2.0,4.9,-0.6
1988/3/4,1.4,3.5,-0.7
1988/3/5,1.5,3.5,0.4
1988/3/6,2.9,6.0,0.5
1988/3/7,1.1,3.8,-0.6
1988/3/8,0.9,2.6,-1.1
1988/3/9,2.0,4.1,-0.3
1988/3/10,4.2,8.4,0.1
1988/3/11,9.4,13.9,1.0
1988/3/12,7.9,12.4,1.6
1988/3/13,8.4,13.3,1.0
1988/3/14,9.8,15.8,4.3
1988/3/15,2.6,7.2,-1.7
1988/3/16,1.3,4.4,-1.4
1988/3/17,4.5,7.7,-1.1
1988/3/18,5.3,8.4,0.5
1988/3/19,5.5,9.2,0.4
1988/3/20,5.0,7.2,3.5
1988/3/21,6.7,9.5,4.2
1988/3/22,8.7,10.6,5.7
1988/3/23,6.1,8.6,4.0
1988/3/24,3.1,7.2,-1.1
1988/3/25,5.8,11.0,-0.5
1988/3/26,6.8,8.2,4.6
1988/3/27,4.2,7.1,-0.9
1988/3/28,5.8,12.7,-1.7
1988/3/29,8.5,10.6,4.8
1988/3/30,8.0,10.8,6.3
1988/3/31,6.9,10.9,2.1
