ダウンロードした時刻：2019/10/10 16:15:03

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,11.6,17.1,7.5
1980/12/2,11.8,14.9,6.4
1980/12/3,11.5,13.9,9.7
1980/12/4,7.6,12.1,5.8
1980/12/5,7.1,9.4,3.7
1980/12/6,6.8,12.0,1.5
1980/12/7,8.0,11.9,4.0
1980/12/8,7.6,11.4,3.5
1980/12/9,6.3,9.7,2.0
1980/12/10,5.3,10.6,1.8
1980/12/11,10.5,16.1,2.8
1980/12/12,8.2,14.9,2.6
1980/12/13,3.4,5.0,2.2
1980/12/14,5.7,8.2,2.9
1980/12/15,4.6,7.8,0.9
1980/12/16,4.8,8.7,0.2
1980/12/17,5.8,10.4,2.2
1980/12/18,7.3,11.2,2.0
1980/12/19,7.8,9.8,5.6
1980/12/20,4.6,7.5,0.5
1980/12/21,3.9,8.8,0.2
1980/12/22,4.6,9.9,-0.2
1980/12/23,6.1,8.5,3.6
1980/12/24,5.6,8.8,2.6
1980/12/25,7.7,10.4,3.5
1980/12/26,5.1,8.4,1.8
1980/12/27,2.1,5.0,0.2
1980/12/28,1.0,3.9,0.1
1980/12/29,-0.3,1.9,-2.0
1980/12/30,1.7,5.4,-2.4
1980/12/31,1.7,7.0,-2.1
1981/1/1,5.3,11.2,-2.8
1981/1/2,3.0,6.8,1.2
1981/1/3,2.4,3.9,1.6
1981/1/4,2.5,5.1,0.6
1981/1/5,2.9,5.0,1.9
1981/1/6,2.8,5.6,-0.4
1981/1/7,2.4,7.8,-2.1
1981/1/8,2.9,8.6,-1.7
1981/1/9,5.7,9.7,-0.2
1981/1/10,5.1,7.9,0.7
1981/1/11,1.5,3.2,-0.4
1981/1/12,3.8,6.6,0.9
1981/1/13,3.3,5.5,1.6
1981/1/14,1.7,5.4,-1.1
1981/1/15,2.7,7.6,-1.8
1981/1/16,2.6,6.4,-0.7
1981/1/17,1.7,6.3,-2.7
1981/1/18,4.2,7.9,-0.2
1981/1/19,3.7,8.0,-0.2
1981/1/20,3.4,7.7,-0.3
1981/1/21,3.5,7.3,0.0
1981/1/22,1.9,6.1,-1.1
1981/1/23,2.1,8.0,-3.3
1981/1/24,6.1,8.8,0.8
1981/1/25,6.4,10.6,1.6
1981/1/26,4.3,8.1,1.1
1981/1/27,2.7,6.8,-1.5
1981/1/28,2.9,7.7,-1.0
1981/1/29,3.7,8.7,-0.8
1981/1/30,2.9,8.5,-2.0
1981/1/31,4.6,9.4,-1.0
1981/2/1,4.6,7.7,1.1
1981/2/2,4.3,8.7,0.7
1981/2/3,4.2,9.0,1.3
1981/2/4,2.8,5.9,-1.8
1981/2/5,3.8,8.3,0.3
1981/2/6,4.2,9.4,-1.1
1981/2/7,5.1,9.0,0.2
1981/2/8,6.0,8.8,2.3
1981/2/9,5.5,11.1,1.0
1981/2/10,6.2,7.7,2.6
1981/2/11,5.1,8.9,0.8
1981/2/12,5.6,9.0,-0.3
1981/2/13,7.4,8.2,6.0
1981/2/14,9.5,13.6,5.8
1981/2/15,9.0,13.5,3.9
1981/2/16,12.3,18.0,8.6
1981/2/17,5.5,9.8,2.0
1981/2/18,5.9,11.6,0.3
1981/2/19,7.8,10.4,4.0
1981/2/20,4.5,7.9,0.7
1981/2/21,5.3,9.8,2.7
1981/2/22,5.6,9.9,0.4
1981/2/23,7.0,9.3,5.1
1981/2/24,6.7,10.7,2.8
1981/2/25,1.6,5.2,-1.3
1981/2/26,-3.1,0.5,-5.0
1981/2/27,-1.4,2.1,-4.5
1981/2/28,1.5,6.5,-4.0
1981/3/1,1.1,2.9,-0.2
1981/3/2,4.7,10.2,0.1
1981/3/3,4.3,6.0,1.7
1981/3/4,7.3,11.3,4.0
1981/3/5,6.2,12.3,1.3
1981/3/6,3.9,7.9,0.0
1981/3/7,5.8,12.0,-0.5
1981/3/8,9.0,14.5,2.0
1981/3/9,8.8,13.0,5.5
1981/3/10,5.5,10.5,0.9
1981/3/11,5.1,11.1,-0.7
1981/3/12,9.0,15.1,1.7
1981/3/13,11.7,16.7,8.9
1981/3/14,12.8,15.8,10.6
1981/3/15,9.0,12.6,6.9
1981/3/16,7.2,10.8,3.0
1981/3/17,8.8,14.1,2.5
1981/3/18,10.7,16.7,4.0
1981/3/19,11.7,15.7,7.2
1981/3/20,13.5,17.8,8.7
1981/3/21,11.7,12.8,9.8
1981/3/22,12.7,16.3,7.7
1981/3/23,12.5,19.3,8.0
1981/3/24,10.6,12.9,7.3
1981/3/25,13.0,17.4,11.0
1981/3/26,10.3,12.5,8.0
1981/3/27,8.7,12.4,5.1
1981/3/28,8.6,12.0,5.0
1981/3/29,9.2,10.7,7.0
1981/3/30,10.8,13.4,7.9
1981/3/31,10.3,14.4,7.7
