ダウンロードした時刻：2019/10/10 15:58:33

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,12.0,13.3,10.2
2002/12/2,11.9,17.5,7.7
2002/12/3,12.0,16.4,7.7
2002/12/4,11.6,13.1,9.6
2002/12/5,13.3,18.8,8.9
2002/12/6,13.1,15.8,11.1
2002/12/7,10.2,11.6,8.9
2002/12/8,8.0,9.9,5.5
2002/12/9,4.8,6.0,2.7
2002/12/10,5.9,12.4,1.4
2002/12/11,5.2,9.2,2.3
2002/12/12,6.2,12.3,-0.1
2002/12/13,6.3,12.1,0.1
2002/12/14,6.1,11.6,2.7
2002/12/15,6.8,12.2,1.4
2002/12/16,11.0,18.7,2.8
2002/12/17,13.8,19.1,6.3
2002/12/18,11.0,16.0,6.5
2002/12/19,9.6,13.6,5.6
2002/12/20,10.1,13.7,7.2
2002/12/21,8.9,10.7,7.3
2002/12/22,9.4,11.2,7.7
2002/12/23,8.9,11.4,6.3
2002/12/24,8.7,12.6,5.1
2002/12/25,9.3,16.1,3.0
2002/12/26,6.5,11.1,3.0
2002/12/27,5.8,11.2,1.6
2002/12/28,5.3,9.8,0.6
2002/12/29,7.5,12.0,1.1
2002/12/30,6.0,11.2,2.3
2002/12/31,6.5,11.0,0.4
2003/1/1,7.0,9.4,2.9
2003/1/2,6.0,10.1,0.9
2003/1/3,5.1,6.6,3.5
2003/1/4,7.3,10.8,3.8
2003/1/5,2.9,6.2,0.7
2003/1/6,2.4,8.0,-2.6
2003/1/7,3.5,9.6,-1.8
2003/1/8,5.0,11.2,-0.4
2003/1/9,6.0,11.9,0.3
2003/1/10,7.4,13.3,1.3
2003/1/11,8.9,13.3,4.5
2003/1/12,7.1,13.8,0.7
2003/1/13,8.8,14.1,3.8
2003/1/14,8.3,15.8,0.4
2003/1/15,5.9,9.8,-0.7
2003/1/16,4.6,9.8,-1.9
2003/1/17,9.1,18.3,-0.1
2003/1/18,8.2,14.3,1.7
2003/1/19,7.3,12.2,4.1
2003/1/20,7.5,11.6,3.9
2003/1/21,6.2,12.0,0.9
2003/1/22,4.9,9.7,-1.5
2003/1/23,5.6,7.7,3.7
2003/1/24,6.2,11.7,0.0
2003/1/25,4.4,10.5,-1.7
2003/1/26,6.0,9.3,0.8
2003/1/27,8.3,15.2,5.6
2003/1/28,9.0,13.0,3.8
2003/1/29,1.8,5.7,-2.6
2003/1/30,3.2,10.8,-2.8
2003/1/31,3.9,10.7,-2.9
2003/2/1,6.0,10.1,1.1
2003/2/2,4.4,6.1,2.8
2003/2/3,5.7,9.2,2.9
2003/2/4,6.4,9.3,3.4
2003/2/5,6.1,10.3,2.6
2003/2/6,5.0,10.4,0.4
2003/2/7,5.7,12.1,0.3
2003/2/8,7.4,12.9,0.3
2003/2/9,11.4,16.2,7.0
2003/2/10,10.5,11.8,8.7
2003/2/11,11.5,14.4,8.1
2003/2/12,9.6,13.5,6.5
2003/2/13,7.5,14.4,1.9
2003/2/14,7.1,12.9,1.6
2003/2/15,7.4,12.5,2.4
2003/2/16,7.1,8.4,5.3
2003/2/17,9.7,15.2,5.8
2003/2/18,9.0,13.0,6.8
2003/2/19,7.6,10.6,4.4
2003/2/20,7.7,12.1,2.7
2003/2/21,7.2,12.6,1.2
2003/2/22,8.0,12.0,4.0
2003/2/23,8.5,10.5,7.2
2003/2/24,5.8,7.4,4.6
2003/2/25,7.2,11.4,3.5
2003/2/26,10.1,17.2,2.6
2003/2/27,9.0,14.8,3.6
2003/2/28,7.6,12.4,2.2
2003/3/1,9.2,16.9,5.3
2003/3/2,13.8,18.8,8.6
2003/3/3,11.0,15.9,4.2
2003/3/4,7.5,13.0,1.2
2003/3/5,5.1,10.3,-0.8
2003/3/6,6.9,9.0,4.0
2003/3/7,9.5,12.3,6.7
2003/3/8,10.6,16.3,3.1
2003/3/9,8.1,12.7,4.7
2003/3/10,6.3,11.9,2.9
2003/3/11,6.1,10.7,2.3
2003/3/12,6.1,10.3,2.5
2003/3/13,7.8,12.2,4.1
2003/3/14,8.3,13.1,2.9
2003/3/15,7.7,9.5,5.8
2003/3/16,8.4,13.2,4.4
2003/3/17,8.3,10.3,6.9
2003/3/18,8.0,12.4,4.7
2003/3/19,8.1,12.7,4.4
2003/3/20,8.0,13.7,3.2
2003/3/21,8.4,12.2,5.0
2003/3/22,8.2,10.6,6.1
2003/3/23,9.6,15.2,3.5
2003/3/24,12.1,18.9,4.6
2003/3/25,11.9,13.8,10.6
2003/3/26,13.0,17.7,7.9
2003/3/27,14.0,20.7,7.0
2003/3/28,14.3,17.7,8.8
2003/3/29,11.8,16.3,8.7
2003/3/30,10.8,16.1,5.6
2003/3/31,14.7,23.6,5.2
