ダウンロードした時刻：2017/07/24 15:45:55

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,8.6,14.3,3.8
1989/1/2,6.6,13.8,0.5
1989/1/3,7.5,15.2,1.0
1989/1/4,6.7,13.4,1.3
1989/1/5,5.9,12.8,-0.1
1989/1/6,8.4,15.3,1.2
1989/1/7,10.8,12.8,8.6
1989/1/8,15.4,23.0,12.1
1989/1/9,12.1,13.5,9.2
1989/1/10,12.8,18.3,7.0
1989/1/11,12.6,14.5,11.5
1989/1/12,11.2,15.6,6.5
1989/1/13,8.4,12.4,4.2
1989/1/14,8.5,10.4,6.8
1989/1/15,8.0,12.2,4.7
1989/1/16,6.9,14.1,0.7
1989/1/17,7.9,12.7,3.8
1989/1/18,9.4,11.0,6.9
1989/1/19,14.0,17.0,10.8
1989/1/20,14.1,18.0,8.5
1989/1/21,10.3,15.1,6.3
1989/1/22,8.7,12.6,4.3
1989/1/23,10.9,17.6,7.4
1989/1/24,8.6,12.7,4.7
1989/1/25,7.8,13.5,1.7
1989/1/26,7.4,10.0,5.7
1989/1/27,5.0,9.7,0.4
1989/1/28,3.7,8.2,-1.1
1989/1/29,3.9,9.6,-1.8
1989/1/30,6.5,13.0,-0.9
1989/1/31,10.0,15.1,3.5
1989/2/1,8.4,13.2,2.9
1989/2/2,3.6,9.7,-0.4
1989/2/3,4.8,9.8,0.9
1989/2/4,5.5,11.8,0.2
1989/2/5,6.6,12.6,0.2
1989/2/6,6.5,13.2,2.8
1989/2/7,7.7,14.7,1.1
1989/2/8,9.1,10.6,6.2
1989/2/9,10.9,15.0,6.9
1989/2/10,7.1,11.2,4.1
1989/2/11,5.2,10.4,1.1
1989/2/12,6.3,13.0,0.4
1989/2/13,5.4,12.2,0.1
1989/2/14,6.9,14.1,0.5
1989/2/15,9.3,16.2,2.1
1989/2/16,12.3,14.6,9.9
1989/2/17,15.8,20.4,13.1
1989/2/18,12.7,16.5,8.6
1989/2/19,10.2,16.2,6.1
1989/2/20,10.2,15.8,4.6
1989/2/21,10.7,11.4,9.3
1989/2/22,10.3,15.6,6.1
1989/2/23,9.2,10.7,8.0
1989/2/24,10.9,12.4,8.1
1989/2/25,14.6,18.6,11.8
1989/2/26,9.0,14.3,3.9
1989/2/27,7.9,15.3,0.6
1989/2/28,10.9,14.9,6.5
1989/3/1,11.9,17.1,7.0
1989/3/2,11.9,18.5,3.9
1989/3/3,14.6,18.2,12.1
1989/3/4,16.3,19.2,10.5
1989/3/5,10.7,15.3,5.9
1989/3/6,8.2,14.5,3.5
1989/3/7,5.9,11.8,0.9
1989/3/8,6.4,10.8,1.4
1989/3/9,6.2,13.0,0.2
1989/3/10,7.2,13.9,0.3
1989/3/11,8.5,14.9,1.5
1989/3/12,10.7,16.9,2.8
1989/3/13,11.5,13.3,9.1
1989/3/14,14.3,21.4,8.7
1989/3/15,11.7,19.2,5.2
1989/3/16,10.5,15.9,4.7
1989/3/17,9.7,13.6,5.7
1989/3/18,8.9,14.9,3.2
1989/3/19,10.3,16.8,3.2
1989/3/20,10.8,17.5,4.1
1989/3/21,11.4,18.9,5.3
1989/3/22,10.7,15.2,5.2
1989/3/23,10.5,15.0,3.2
1989/3/24,11.5,14.6,8.6
1989/3/25,11.9,15.1,7.4
1989/3/26,10.9,14.4,6.0
1989/3/27,10.2,13.8,7.5
1989/3/28,10.2,17.2,4.7
1989/3/29,10.5,16.9,3.9
1989/3/30,11.4,17.0,4.0
1989/3/31,12.1,17.3,9.4
1989/4/1,14.8,22.1,7.3
1989/4/2,15.7,20.5,9.9
1989/4/3,15.4,17.8,14.0
1989/4/4,15.2,22.2,10.6
1989/4/5,14.5,20.3,8.4
1989/4/6,15.1,20.7,10.1
1989/4/7,14.7,21.8,8.4
1989/4/8,16.3,21.7,13.3
1989/4/9,15.5,21.5,9.0
1989/4/10,15.0,18.1,12.3
1989/4/11,13.8,20.0,8.3
1989/4/12,12.6,18.5,5.5
1989/4/13,14.4,21.9,7.1
1989/4/14,14.7,19.8,8.6
1989/4/15,16.9,21.4,12.7
1989/4/16,17.7,23.2,12.5
1989/4/17,15.3,20.9,9.0
1989/4/18,17.1,23.2,10.6
1989/4/19,17.6,23.9,11.0
1989/4/20,18.0,23.8,11.3
1989/4/21,18.2,25.0,13.2
1989/4/22,15.8,17.7,13.2
1989/4/23,17.9,21.7,15.6
1989/4/24,14.7,16.8,11.8
1989/4/25,15.7,22.4,8.9
1989/4/26,16.1,21.6,9.5
1989/4/27,18.6,23.8,13.4
1989/4/28,14.9,20.2,12.1
1989/4/29,13.8,18.8,7.4
1989/4/30,12.7,15.1,9.4
1989/5/1,16.4,20.9,12.7
