ダウンロードした時刻：2019/10/10 16:14:06

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,15.5,17.2,13.3
2003/12/2,15.2,19.9,11.4
2003/12/3,13.2,17.2,10.7
2003/12/4,12.3,15.9,9.4
2003/12/5,13.0,17.2,8.7
2003/12/6,16.6,21.5,12.4
2003/12/7,12.0,16.8,6.8
2003/12/8,8.7,12.8,5.0
2003/12/9,10.2,13.5,8.0
2003/12/10,9.6,13.9,5.6
2003/12/11,10.9,13.7,8.7
2003/12/12,11.2,12.9,8.8
2003/12/13,9.6,13.2,7.1
2003/12/14,10.3,14.8,5.5
2003/12/15,10.8,14.5,8.1
2003/12/16,8.1,11.2,6.2
2003/12/17,11.1,15.1,6.1
2003/12/18,9.8,13.0,7.1
2003/12/19,7.0,9.6,3.0
2003/12/20,3.6,4.7,2.0
2003/12/21,6.1,9.6,1.8
2003/12/22,9.7,13.4,6.6
2003/12/23,11.2,15.2,6.2
2003/12/24,12.6,16.1,9.1
2003/12/25,13.6,17.7,7.7
2003/12/26,11.2,14.1,6.4
2003/12/27,5.8,8.1,3.8
2003/12/28,7.1,12.1,3.2
2003/12/29,11.3,14.9,5.3
2003/12/30,12.6,15.6,10.0
2003/12/31,11.1,13.3,8.5
2004/1/1,10.0,13.7,6.9
2004/1/2,10.9,15.1,6.5
2004/1/3,10.2,13.1,8.3
2004/1/4,9.7,14.0,7.2
2004/1/5,9.6,13.8,6.4
2004/1/6,8.9,12.9,5.8
2004/1/7,10.7,14.7,7.8
2004/1/8,7.2,10.0,3.1
2004/1/9,6.6,11.1,2.5
2004/1/10,10.7,15.3,6.1
2004/1/11,7.3,11.1,4.3
2004/1/12,8.3,12.5,3.3
2004/1/13,8.1,11.8,4.6
2004/1/14,5.7,8.0,3.0
2004/1/15,6.3,10.1,4.1
2004/1/16,5.8,9.1,2.5
2004/1/17,5.4,7.3,2.5
2004/1/18,8.0,11.5,4.3
2004/1/19,8.3,11.8,5.8
2004/1/20,7.9,12.6,5.2
2004/1/21,6.2,8.9,3.3
2004/1/22,1.2,3.9,-0.7
2004/1/23,3.7,6.9,-0.3
2004/1/24,4.9,7.8,3.1
2004/1/25,4.5,7.9,2.5
2004/1/26,4.8,8.9,1.7
2004/1/27,5.8,10.2,2.3
2004/1/28,6.7,11.2,2.9
2004/1/29,8.6,13.4,2.8
2004/1/30,9.2,14.5,3.8
2004/1/31,8.7,13.5,5.9
2004/2/1,10.3,15.0,5.1
2004/2/2,12.9,16.7,10.4
2004/2/3,8.8,12.5,4.4
2004/2/4,4.9,8.1,2.6
2004/2/5,5.0,10.2,1.8
2004/2/6,4.1,8.1,1.1
2004/2/7,4.5,8.2,1.9
2004/2/8,5.4,9.4,1.9
2004/2/9,7.5,9.8,4.9
2004/2/10,7.3,12.4,3.5
2004/2/11,9.1,12.4,4.0
2004/2/12,10.9,14.9,7.0
2004/2/13,8.5,13.0,5.5
2004/2/14,12.2,17.9,6.6
2004/2/15,8.2,10.6,5.9
2004/2/16,7.9,12.2,4.6
2004/2/17,10.9,14.7,6.1
2004/2/18,11.1,15.4,4.7
2004/2/19,12.5,17.5,6.8
2004/2/20,12.9,17.3,9.4
2004/2/21,14.6,18.8,10.1
2004/2/22,17.8,20.6,15.4
2004/2/23,10.3,15.6,5.2
2004/2/24,8.5,12.9,2.1
2004/2/25,13.3,15.2,11.1
2004/2/26,12.9,16.4,6.5
2004/2/27,7.6,11.0,5.0
2004/2/28,9.8,14.2,4.3
2004/2/29,14.7,17.8,10.6
2004/3/1,9.6,12.5,6.7
2004/3/2,8.8,13.9,4.5
2004/3/3,7.4,10.5,3.8
2004/3/4,6.8,9.4,3.0
2004/3/5,7.1,12.1,0.8
2004/3/6,7.7,14.3,3.5
2004/3/7,4.5,8.7,2.3
2004/3/8,6.1,10.8,1.9
2004/3/9,10.0,14.8,5.8
2004/3/10,12.9,18.8,7.3
2004/3/11,17.2,20.5,14.7
2004/3/12,9.9,14.9,6.7
2004/3/13,10.6,16.1,4.8
2004/3/14,13.5,17.6,7.2
2004/3/15,13.2,16.9,10.2
2004/3/16,14.1,18.7,9.2
2004/3/17,18.5,21.1,17.0
2004/3/18,15.8,19.3,9.8
2004/3/19,10.2,14.3,6.2
2004/3/20,10.8,14.9,8.2
2004/3/21,10.1,12.1,6.9
2004/3/22,10.0,12.1,8.6
2004/3/23,11.6,15.8,8.6
2004/3/24,12.3,14.5,10.8
2004/3/25,12.2,14.7,11.3
2004/3/26,11.8,16.5,8.0
2004/3/27,10.8,15.0,6.0
2004/3/28,13.6,18.7,8.4
2004/3/29,16.1,19.8,11.6
2004/3/30,17.3,18.1,15.8
2004/3/31,15.5,18.5,11.5
