ダウンロードした時刻：2019/10/10 16:25:16

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,13.9,19.8,10.5
2005/12/2,11.6,13.6,8.2
2005/12/3,10.5,14.6,6.3
2005/12/4,8.6,13.4,5.3
2005/12/5,4.7,7.0,2.2
2005/12/6,7.5,12.2,3.5
2005/12/7,7.9,13.6,4.5
2005/12/8,8.6,13.4,5.2
2005/12/9,8.5,13.4,4.9
2005/12/10,10.5,14.2,6.3
2005/12/11,10.3,15.0,7.4
2005/12/12,6.7,8.5,4.8
2005/12/13,3.9,7.9,2.3
2005/12/14,5.1,8.9,2.5
2005/12/15,6.1,10.5,3.8
2005/12/16,6.0,10.8,3.2
2005/12/17,5.8,9.9,3.0
2005/12/18,2.8,7.1,-1.0
2005/12/19,6.1,12.4,1.2
2005/12/20,7.0,13.5,1.7
2005/12/21,6.2,11.2,1.7
2005/12/22,1.9,5.0,0.1
2005/12/23,7.9,13.3,1.2
2005/12/24,8.3,13.1,5.1
2005/12/25,8.4,14.2,3.7
2005/12/26,8.5,12.9,4.8
2005/12/27,5.8,10.3,2.0
2005/12/28,6.2,10.4,1.5
2005/12/29,9.4,14.4,4.7
2005/12/30,9.3,15.9,4.0
2005/12/31,9.7,12.3,6.7
2006/1/1,10.7,14.1,8.4
2006/1/2,9.7,14.3,6.4
2006/1/3,8.4,12.8,5.0
2006/1/4,6.2,8.9,4.1
2006/1/5,4.0,6.2,1.4
2006/1/6,4.1,7.0,1.6
2006/1/7,3.8,7.5,1.5
2006/1/8,4.7,9.8,0.3
2006/1/9,6.5,12.5,2.2
2006/1/10,7.2,14.5,1.3
2006/1/11,8.1,15.2,2.1
2006/1/12,10.8,16.2,3.5
2006/1/13,16.0,17.6,13.4
2006/1/14,15.3,19.5,9.9
2006/1/15,11.2,14.5,7.0
2006/1/16,10.5,13.8,6.3
2006/1/17,11.4,14.6,7.0
2006/1/18,11.4,12.6,9.8
2006/1/19,9.1,10.7,7.3
2006/1/20,8.7,9.8,6.9
2006/1/21,7.7,9.8,5.6
2006/1/22,7.1,12.2,3.0
2006/1/23,5.6,10.7,2.0
2006/1/24,6.5,12.7,1.5
2006/1/25,7.2,14.4,1.7
2006/1/26,7.5,13.1,2.6
2006/1/27,8.9,13.6,5.4
2006/1/28,8.2,14.0,1.6
2006/1/29,13.3,18.3,6.8
2006/1/30,14.4,16.4,11.4
2006/1/31,16.7,20.8,14.2
2006/2/1,13.5,16.9,7.8
2006/2/2,9.3,15.4,4.4
2006/2/3,8.0,11.8,3.2
2006/2/4,3.5,8.5,0.6
2006/2/5,5.1,11.2,-0.8
2006/2/6,12.4,16.4,7.8
2006/2/7,10.7,14.1,8.3
2006/2/8,5.9,8.4,2.8
2006/2/9,5.0,10.3,2.0
2006/2/10,7.7,12.9,1.9
2006/2/11,11.2,17.0,6.9
2006/2/12,9.1,14.0,4.8
2006/2/13,9.2,16.5,1.9
2006/2/14,13.6,19.6,6.8
2006/2/15,17.9,20.0,16.3
2006/2/16,16.1,19.5,10.9
2006/2/17,10.0,14.7,5.5
2006/2/18,6.7,11.8,2.9
2006/2/19,8.9,10.6,6.9
2006/2/20,11.2,12.1,10.1
2006/2/21,14.1,20.2,11.2
2006/2/22,13.6,18.3,8.3
2006/2/23,13.9,18.4,10.6
2006/2/24,13.8,18.1,10.2
2006/2/25,15.7,19.6,12.4
2006/2/26,16.6,20.1,12.2
2006/2/27,13.3,18.3,9.5
2006/2/28,13.4,16.4,11.6
2006/3/1,10.0,12.7,7.1
2006/3/2,7.5,11.3,6.0
2006/3/3,7.0,12.9,3.7
2006/3/4,8.0,14.3,2.8
2006/3/5,11.3,18.1,3.7
2006/3/6,13.3,14.8,11.2
2006/3/7,13.9,20.4,8.6
2006/3/8,13.9,21.2,7.4
2006/3/9,13.4,16.1,11.8
2006/3/10,15.3,21.2,11.5
2006/3/11,14.1,18.5,8.8
2006/3/12,10.4,13.9,5.2
2006/3/13,5.2,9.4,2.7
2006/3/14,7.1,11.3,2.7
2006/3/15,10.9,17.2,5.1
2006/3/16,13.4,16.3,10.7
2006/3/17,13.6,20.0,9.3
2006/3/18,13.5,16.2,11.4
2006/3/19,12.8,17.6,7.7
2006/3/20,10.6,17.6,4.6
2006/3/21,13.4,18.8,7.5
2006/3/22,14.7,17.0,12.1
2006/3/23,14.8,19.7,11.4
2006/3/24,12.7,18.3,9.1
2006/3/25,13.2,18.7,7.6
2006/3/26,12.0,15.0,10.4
2006/3/27,14.4,20.5,8.1
2006/3/28,13.1,20.5,7.7
2006/3/29,9.0,13.6,6.2
2006/3/30,12.1,19.1,5.8
2006/3/31,11.6,18.4,5.1
