ダウンロードした時刻：2017/07/24 15:43:30

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,3.6,8.9,-2.6
1981/1/2,4.1,6.2,1.1
1981/1/3,1.7,5.1,-0.4
1981/1/4,-0.1,2.6,-2.5
1981/1/5,-0.2,4.1,-4.2
1981/1/6,1.0,5.4,-2.8
1981/1/7,1.0,3.5,-1.2
1981/1/8,2.1,7.6,-1.3
1981/1/9,2.7,9.4,-2.1
1981/1/10,3.1,6.6,0.4
1981/1/11,-0.4,0.9,-2.1
1981/1/12,-0.7,1.3,-2.4
1981/1/13,-0.9,0.4,-2.2
1981/1/14,-0.3,1.4,-2.3
1981/1/15,0.3,2.7,-1.5
1981/1/16,0.0,2.3,-3.0
1981/1/17,-0.9,3.6,-3.8
1981/1/18,-0.6,4.3,-4.2
1981/1/19,1.1,4.2,-2.5
1981/1/20,0.7,2.7,-0.8
1981/1/21,0.9,4.0,-1.3
1981/1/22,-0.1,2.0,-1.9
1981/1/23,0.7,4.4,-1.7
1981/1/24,1.7,2.5,0.4
1981/1/25,2.7,4.8,0.4
1981/1/26,0.6,2.4,-1.0
1981/1/27,0.9,3.7,-3.3
1981/1/28,1.3,3.7,-1.1
1981/1/29,0.7,5.9,-2.3
1981/1/30,1.2,4.9,-2.2
1981/1/31,1.0,7.9,-3.5
1981/2/1,2.3,4.5,0.1
1981/2/2,2.3,4.9,-1.4
1981/2/3,1.8,6.9,-1.3
1981/2/4,0.6,3.2,-0.9
1981/2/5,1.3,4.3,-0.8
1981/2/6,2.3,7.1,-0.4
1981/2/7,2.6,7.7,-1.3
1981/2/8,2.9,8.4,-0.5
1981/2/9,3.9,10.4,-1.0
1981/2/10,3.5,9.1,0.4
1981/2/11,0.6,2.6,-1.4
1981/2/12,2.2,7.4,-3.7
1981/2/13,6.6,9.3,4.0
1981/2/14,5.8,9.8,1.7
1981/2/15,7.7,16.4,0.7
1981/2/16,8.1,11.3,5.0
1981/2/17,3.4,5.0,1.5
1981/2/18,5.0,10.7,-1.6
1981/2/19,5.5,8.0,3.1
1981/2/20,2.8,4.5,1.1
1981/2/21,1.8,4.5,-0.8
1981/2/22,2.7,7.4,-1.6
1981/2/23,3.9,6.1,0.3
1981/2/24,4.8,9.2,0.5
1981/2/25,-0.4,3.0,-3.4
1981/2/26,-5.0,-2.7,-6.7
1981/2/27,-3.2,1.3,-6.7
1981/2/28,-1.2,4.9,-7.6
1981/3/1,1.2,3.8,-1.3
1981/3/2,2.6,5.4,-2.5
1981/3/3,3.0,9.8,-4.0
1981/3/4,5.6,11.0,2.2
1981/3/5,2.9,7.7,-0.7
1981/3/6,2.9,8.2,-1.4
1981/3/7,5.5,11.9,-2.2
1981/3/8,4.7,7.8,1.4
1981/3/9,5.2,9.8,1.5
1981/3/10,3.0,5.3,0.7
1981/3/11,3.4,7.8,-1.6
1981/3/12,7.2,17.6,-2.1
1981/3/13,10.3,15.8,5.0
1981/3/14,14.7,18.8,9.1
1981/3/15,7.6,15.6,2.2
1981/3/16,4.3,7.7,1.8
1981/3/17,6.2,12.1,-0.1
1981/3/18,6.8,15.0,0.6
1981/3/19,10.9,20.7,1.6
1981/3/20,12.5,18.6,7.5
1981/3/21,8.6,10.9,6.1
1981/3/22,10.5,15.1,7.6
1981/3/23,8.3,11.0,3.6
1981/3/24,9.4,14.4,2.1
1981/3/25,15.5,18.8,10.5
1981/3/26,9.9,15.8,5.8
1981/3/27,4.9,8.0,0.7
1981/3/28,4.5,9.9,0.0
1981/3/29,8.3,14.5,0.3
1981/3/30,7.1,10.6,2.0
1981/3/31,4.8,7.9,1.8
1981/4/1,8.7,11.2,3.1
1981/4/2,7.8,10.5,2.0
1981/4/3,7.5,14.6,-1.0
1981/4/4,9.3,10.7,7.3
1981/4/5,10.2,12.8,6.8
1981/4/6,10.5,14.2,5.6
1981/4/7,9.0,16.1,3.1
1981/4/8,9.0,16.1,2.6
1981/4/9,14.2,18.6,6.8
1981/4/10,14.5,17.7,10.9
1981/4/11,13.2,19.5,7.4
1981/4/12,15.0,25.1,6.5
1981/4/13,10.7,12.3,7.8
1981/4/14,10.7,16.8,5.4
1981/4/15,12.7,20.7,4.2
1981/4/16,10.9,12.7,8.6
1981/4/17,11.8,17.7,7.7
1981/4/18,12.0,18.6,5.0
1981/4/19,12.0,15.6,9.2
1981/4/20,8.1,12.0,5.6
1981/4/21,9.8,16.7,4.0
1981/4/22,12.7,23.4,3.2
1981/4/23,14.4,23.7,5.5
1981/4/24,17.4,24.5,7.0
1981/4/25,12.8,18.6,6.6
1981/4/26,14.2,23.6,3.9
1981/4/27,15.9,24.1,10.4
1981/4/28,14.1,21.3,9.9
1981/4/29,17.1,25.3,9.3
1981/4/30,15.8,20.8,9.4
1981/5/1,15.1,23.7,7.6
