ダウンロードした時刻：2019/10/10 15:51:49

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,18.5,24.0,14.0
1990/12/2,13.2,18.9,6.6
1990/12/3,8.3,16.1,2.3
1990/12/4,6.8,14.1,0.7
1990/12/5,6.8,13.9,1.2
1990/12/6,7.3,15.1,1.0
1990/12/7,7.4,16.1,-0.1
1990/12/8,8.4,18.3,0.9
1990/12/9,8.0,13.9,2.5
1990/12/10,10.0,17.2,4.9
1990/12/11,9.6,14.1,3.3
1990/12/12,10.1,15.7,6.2
1990/12/13,6.0,12.3,1.0
1990/12/14,6.2,13.7,0.0
1990/12/15,6.8,13.2,1.8
1990/12/16,5.5,9.0,2.3
1990/12/17,4.2,8.4,0.4
1990/12/18,4.6,10.0,1.0
1990/12/19,4.5,11.0,-0.2
1990/12/20,3.7,8.9,-2.6
1990/12/21,6.5,8.6,3.6
1990/12/22,5.5,12.7,0.4
1990/12/23,5.5,14.9,-0.5
1990/12/24,4.3,11.9,-2.3
1990/12/25,3.9,11.6,-2.5
1990/12/26,3.3,8.3,-1.8
1990/12/27,4.3,7.8,0.6
1990/12/28,4.4,9.9,-0.6
1990/12/29,4.1,10.3,-0.6
1990/12/30,3.7,9.9,-2.9
1990/12/31,3.3,10.4,-3.2
1991/1/1,5.9,9.7,0.0
1991/1/2,7.5,10.8,2.6
1991/1/3,5.0,8.4,2.1
1991/1/4,4.8,10.6,-0.2
1991/1/5,4.8,10.9,-1.2
1991/1/6,2.1,7.9,-2.8
1991/1/7,1.7,8.7,-4.1
1991/1/8,1.4,9.9,-4.3
1991/1/9,2.5,9.9,-4.3
1991/1/10,3.5,11.8,-3.9
1991/1/11,3.7,10.4,-2.7
1991/1/12,1.5,3.6,0.3
1991/1/13,3.8,10.1,0.2
1991/1/14,3.4,10.2,-1.4
1991/1/15,2.3,9.3,-1.4
1991/1/16,1.8,9.1,-4.5
1991/1/17,4.6,10.4,-0.7
1991/1/18,2.6,6.9,-0.5
1991/1/19,3.6,11.0,-3.4
1991/1/20,3.8,12.0,-2.4
1991/1/21,3.3,8.2,-1.7
1991/1/22,5.4,9.0,2.8
1991/1/23,1.8,5.6,-2.0
1991/1/24,0.7,6.4,-6.0
1991/1/25,6.3,14.6,0.4
1991/1/26,4.8,10.6,0.3
1991/1/27,2.8,8.4,-3.0
1991/1/28,1.4,6.4,-4.0
1991/1/29,2.1,8.7,-4.5
1991/1/30,2.2,8.4,-3.7
1991/1/31,2.3,9.2,-4.7
1991/2/1,2.7,11.6,-4.1
1991/2/2,2.0,8.3,-4.2
1991/2/3,1.5,8.8,-5.8
1991/2/4,3.4,10.9,-1.6
1991/2/5,2.0,8.2,-2.9
1991/2/6,2.5,10.3,-5.8
1991/2/7,3.1,10.3,-3.1
1991/2/8,1.8,8.7,-3.0
1991/2/9,2.6,8.3,-3.1
1991/2/10,3.6,7.2,-1.2
1991/2/11,6.4,12.8,-0.5
1991/2/12,4.3,10.0,-0.1
1991/2/13,3.9,8.9,-1.0
1991/2/14,4.1,10.8,-3.1
1991/2/15,7.6,13.7,2.4
1991/2/16,10.8,14.7,5.2
1991/2/17,5.1,9.9,0.9
1991/2/18,2.7,6.7,-1.3
1991/2/19,3.1,9.9,-1.7
1991/2/20,2.0,6.9,-2.2
1991/2/21,3.1,9.5,-4.3
1991/2/22,4.6,8.8,1.3
1991/2/23,2.6,7.6,-3.5
1991/2/24,1.3,7.1,-5.9
1991/2/25,2.2,8.5,-2.3
1991/2/26,5.0,12.4,-1.7
1991/2/27,5.4,13.1,-2.1
1991/2/28,9.3,17.1,0.6
1991/3/1,5.4,8.1,2.2
1991/3/2,4.2,8.4,1.4
1991/3/3,4.5,10.9,-1.4
1991/3/4,5.3,12.9,-3.9
1991/3/5,8.8,15.9,2.5
1991/3/6,9.5,17.6,2.4
1991/3/7,9.1,16.3,3.5
1991/3/8,3.9,5.6,2.3
1991/3/9,6.3,11.4,2.2
1991/3/10,8.0,12.5,2.2
1991/3/11,3.7,6.7,0.8
1991/3/12,6.7,10.6,3.1
1991/3/13,5.9,7.7,4.0
1991/3/14,3.5,8.2,-0.8
1991/3/15,2.8,8.5,-2.4
1991/3/16,2.8,4.7,0.8
1991/3/17,5.3,13.2,-1.6
1991/3/18,5.6,10.4,-0.3
1991/3/19,10.1,17.0,3.4
1991/3/20,13.2,22.0,2.6
1991/3/21,8.8,14.1,4.3
1991/3/22,6.1,9.5,2.9
1991/3/23,10.9,15.4,6.3
1991/3/24,12.7,19.1,5.4
1991/3/25,9.8,12.8,8.5
1991/3/26,11.4,16.0,8.2
1991/3/27,6.8,10.3,5.7
1991/3/28,6.9,7.7,6.1
1991/3/29,8.0,10.9,5.7
1991/3/30,10.5,14.7,5.1
1991/3/31,8.9,12.0,7.0
