ダウンロードした時刻：2019/10/10 15:48:48

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,9.0,12.3,4.0
2015/12/2,10.8,18.4,1.4
2015/12/3,10.4,16.9,5.9
2015/12/4,7.1,9.4,5.1
2015/12/5,8.7,11.6,6.4
2015/12/6,8.0,11.0,3.9
2015/12/7,5.8,12.7,1.0
2015/12/8,6.0,13.6,0.3
2015/12/9,6.7,12.9,1.5
2015/12/10,12.2,17.5,4.6
2015/12/11,12.6,14.6,9.9
2015/12/12,10.5,14.1,7.9
2015/12/13,10.6,15.5,7.7
2015/12/14,9.5,13.9,6.7
2015/12/15,11.6,19.1,6.5
2015/12/16,10.0,12.5,5.4
2015/12/17,2.7,5.5,1.1
2015/12/18,3.7,5.7,1.8
2015/12/19,5.0,8.5,1.6
2015/12/20,4.9,11.1,-0.8
2015/12/21,8.2,10.5,6.0
2015/12/22,8.4,13.3,3.2
2015/12/23,5.5,8.6,1.7
2015/12/24,10.5,13.7,8.1
2015/12/25,8.2,11.1,4.0
2015/12/26,5.4,7.7,3.5
2015/12/27,3.7,7.8,1.2
2015/12/28,3.2,6.7,0.5
2015/12/29,3.6,6.6,0.9
2015/12/30,4.8,9.7,1.8
2015/12/31,4.5,6.8,3.2
2016/1/1,4.8,10.2,2.2
2016/1/2,7.7,13.7,3.2
2016/1/3,9.0,14.8,4.5
2016/1/4,9.4,15.5,4.4
2016/1/5,7.9,11.8,5.1
2016/1/6,7.6,10.3,5.9
2016/1/7,6.2,10.0,3.7
2016/1/8,4.7,5.7,3.6
2016/1/9,4.5,7.3,2.4
2016/1/10,4.9,6.4,3.6
2016/1/11,5.1,7.8,3.4
2016/1/12,3.6,6.9,1.8
2016/1/13,3.7,8.5,1.2
2016/1/14,2.9,4.5,1.6
2016/1/15,2.9,6.2,1.2
2016/1/16,3.2,8.3,0.7
2016/1/17,3.3,6.9,0.3
2016/1/18,6.1,8.1,4.0
2016/1/19,0.5,5.1,-1.4
2016/1/20,3.4,6.4,-0.2
2016/1/21,1.9,5.1,0.1
2016/1/22,0.5,3.0,-2.6
2016/1/23,2.0,6.5,-1.4
2016/1/24,-1.2,3.3,-5.2
2016/1/25,-1.5,1.3,-5.2
2016/1/26,1.8,5.4,-2.8
2016/1/27,3.6,7.4,1.5
2016/1/28,4.3,8.9,1.1
2016/1/29,3.6,4.7,2.6
2016/1/30,4.9,8.5,2.8
2016/1/31,5.3,10.9,0.9
2016/2/1,3.3,5.1,1.0
2016/2/2,2.1,7.1,-1.2
2016/2/3,2.3,7.7,-1.4
2016/2/4,2.5,7.0,-1.4
2016/2/5,4.9,8.2,2.4
2016/2/6,3.7,8.3,1.9
2016/2/7,2.2,6.3,-1.1
2016/2/8,3.8,9.9,-1.6
2016/2/9,4.9,8.5,2.4
2016/2/10,3.0,7.0,-0.3
2016/2/11,3.5,10.5,-2.0
2016/2/12,8.8,16.2,0.4
2016/2/13,13.3,16.7,9.9
2016/2/14,11.9,15.9,8.0
2016/2/15,2.9,8.2,0.0
2016/2/16,0.5,1.7,-0.7
2016/2/17,1.3,3.8,-0.4
2016/2/18,3.8,10.0,-0.5
2016/2/19,6.9,13.2,0.7
2016/2/20,6.3,8.3,4.7
2016/2/21,6.4,8.4,3.0
2016/2/22,4.7,7.7,2.2
2016/2/23,6.1,9.8,2.8
2016/2/24,3.1,6.3,0.5
2016/2/25,2.3,7.6,-0.2
2016/2/26,1.2,2.7,-0.1
2016/2/27,4.4,10.2,-0.6
2016/2/28,8.3,15.3,1.9
2016/2/29,5.9,14.0,-0.1
2016/3/1,1.0,3.4,-1.1
2016/3/2,2.8,7.7,-0.4
2016/3/3,5.3,11.9,0.5
2016/3/4,8.7,17.7,1.0
2016/3/5,13.4,19.5,7.3
2016/3/6,17.3,21.1,14.2
2016/3/7,13.0,17.3,9.8
2016/3/8,11.6,16.2,9.5
2016/3/9,6.2,10.3,3.9
2016/3/10,5.3,8.5,3.1
2016/3/11,5.0,9.8,1.0
2016/3/12,4.5,10.3,0.2
2016/3/13,5.5,11.4,-0.2
2016/3/14,6.0,8.5,4.1
2016/3/15,6.2,10.3,1.7
2016/3/16,7.4,16.8,-0.5
2016/3/17,10.8,19.6,2.9
2016/3/18,12.8,19.2,5.8
2016/3/19,12.1,14.5,9.2
2016/3/20,9.3,12.5,7.0
2016/3/21,7.3,11.8,2.7
2016/3/22,8.6,16.9,0.3
2016/3/23,8.7,14.1,5.6
2016/3/24,6.6,11.1,3.4
2016/3/25,5.2,9.0,2.6
2016/3/26,6.0,11.9,1.1
2016/3/27,8.1,16.0,0.5
2016/3/28,9.4,14.9,5.2
2016/3/29,11.1,18.6,2.8
2016/3/30,12.9,19.0,8.6
2016/3/31,13.2,21.2,6.3
