ダウンロードした時刻：2017/07/24 15:44:12

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,5.5,7.1,4.3
1998/1/2,7.8,13.3,4.1
1998/1/3,7.0,12.8,1.5
1998/1/4,8.3,11.5,5.7
1998/1/5,6.1,9.7,3.0
1998/1/6,6.7,9.9,2.2
1998/1/7,6.4,11.1,1.2
1998/1/8,6.7,7.8,4.8
1998/1/9,7.9,12.0,4.6
1998/1/10,6.2,9.6,2.7
1998/1/11,6.3,8.3,4.0
1998/1/12,7.3,12.3,4.6
1998/1/13,6.8,10.1,2.2
1998/1/14,6.3,7.4,5.3
1998/1/15,6.2,7.3,4.6
1998/1/16,8.2,13.0,5.2
1998/1/17,6.4,9.3,3.2
1998/1/18,8.9,13.2,5.2
1998/1/19,1.4,5.3,-0.4
1998/1/20,3.2,7.5,-0.9
1998/1/21,5.6,9.6,3.3
1998/1/22,4.8,7.4,2.3
1998/1/23,3.2,5.5,1.2
1998/1/24,-0.5,2.7,-3.5
1998/1/25,0.5,5.6,-3.7
1998/1/26,3.0,8.0,-1.3
1998/1/27,5.0,10.0,2.4
1998/1/28,4.8,10.7,1.6
1998/1/29,4.6,9.6,1.5
1998/1/30,4.7,10.5,-0.9
1998/1/31,6.6,12.8,2.6
1998/2/1,3.8,7.1,1.0
1998/2/2,4.8,10.4,-0.1
1998/2/3,5.3,9.0,1.2
1998/2/4,5.9,9.0,2.1
1998/2/5,4.0,10.1,-0.8
1998/2/6,5.2,11.4,-0.6
1998/2/7,6.1,11.3,1.1
1998/2/8,4.6,8.1,1.8
1998/2/9,4.5,9.5,-0.4
1998/2/10,6.2,10.5,2.2
1998/2/11,6.6,12.5,0.2
1998/2/12,11.7,17.5,8.7
1998/2/13,13.1,19.5,8.4
1998/2/14,11.9,14.6,8.2
1998/2/15,7.7,11.7,3.8
1998/2/16,7.4,13.6,2.0
1998/2/17,7.0,11.8,4.0
1998/2/18,5.8,11.9,0.2
1998/2/19,9.2,15.8,2.1
1998/2/20,13.1,15.2,10.6
1998/2/21,10.9,13.8,6.3
1998/2/22,9.0,15.4,3.7
1998/2/23,8.0,9.4,6.4
1998/2/24,10.5,12.2,8.8
1998/2/25,9.7,11.6,8.1
1998/2/26,10.5,15.1,7.3
1998/2/27,9.6,14.7,3.9
1998/2/28,9.0,13.8,6.7
1998/3/1,8.0,11.9,3.8
1998/3/2,6.9,13.3,0.9
1998/3/3,8.9,14.3,3.1
1998/3/4,9.8,15.2,4.4
1998/3/5,9.4,11.9,6.5
1998/3/6,8.7,14.5,2.6
1998/3/7,8.8,13.6,5.2
1998/3/8,7.6,13.0,1.1
1998/3/9,11.9,17.2,7.5
1998/3/10,9.7,12.3,7.8
1998/3/11,11.4,15.7,6.7
1998/3/12,12.4,16.3,8.2
1998/3/13,10.1,17.3,4.9
1998/3/14,10.7,17.1,4.3
1998/3/15,6.2,9.6,2.6
1998/3/16,7.0,12.7,1.3
1998/3/17,9.3,17.3,2.6
1998/3/18,9.8,15.2,4.7
1998/3/19,11.2,17.6,4.2
1998/3/20,11.5,16.2,7.3
1998/3/21,9.0,13.4,5.7
1998/3/22,8.4,13.3,4.3
1998/3/23,7.7,12.7,2.5
1998/3/24,10.5,14.5,7.3
1998/3/25,11.5,16.1,8.2
1998/3/26,11.0,17.4,5.7
1998/3/27,11.6,14.2,9.0
1998/3/28,14.3,18.6,9.9
1998/3/29,14.6,20.8,9.3
1998/3/30,15.2,21.5,8.1
1998/3/31,15.7,22.0,9.1
1998/4/1,8.7,13.8,6.6
1998/4/2,9.3,13.7,7.2
1998/4/3,9.1,13.9,2.9
1998/4/4,12.3,19.1,4.7
1998/4/5,15.0,20.0,8.6
1998/4/6,15.7,17.6,14.3
1998/4/7,18.1,24.1,15.1
1998/4/8,14.8,16.0,13.8
1998/4/9,15.2,16.6,14.3
1998/4/10,16.7,21.5,11.8
1998/4/11,18.6,24.6,12.6
1998/4/12,18.0,22.6,14.2
1998/4/13,20.2,23.6,17.7
1998/4/14,19.5,21.7,17.5
1998/4/15,18.1,23.2,13.8
1998/4/16,16.5,22.4,10.5
1998/4/17,17.9,23.4,13.1
1998/4/18,17.2,21.7,13.7
1998/4/19,17.0,22.2,11.1
1998/4/20,20.0,26.4,13.1
1998/4/21,19.6,23.0,16.7
1998/4/22,18.2,18.8,17.4
1998/4/23,18.9,20.2,17.8
1998/4/24,20.5,22.5,18.7
1998/4/25,20.1,25.4,16.1
1998/4/26,18.2,24.0,14.4
1998/4/27,19.9,25.3,14.7
1998/4/28,22.0,26.9,17.3
1998/4/29,23.8,28.0,19.3
1998/4/30,23.3,28.4,18.6
1998/5/1,22.5,26.2,18.7
