ダウンロードした時刻：2017/07/24 15:38:11

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,0.8,10.0,-3.9
1988/1/2,5.5,11.6,-3.5
1988/1/3,2.9,6.8,-3.4
1988/1/4,4.3,7.4,-1.8
1988/1/5,1.1,4.2,-1.2
1988/1/6,0.4,4.4,-4.4
1988/1/7,-0.7,4.5,-8.2
1988/1/8,4.7,10.5,0.8
1988/1/9,0.9,5.3,-2.4
1988/1/10,-3.0,-0.9,-4.0
1988/1/11,-0.3,2.8,-5.6
1988/1/12,3.3,7.2,-0.1
1988/1/13,3.0,11.4,-3.6
1988/1/14,3.1,11.2,-3.3
1988/1/15,5.6,14.6,-2.5
1988/1/16,3.9,8.5,0.3
1988/1/17,1.0,5.5,-4.1
1988/1/18,-0.5,4.1,-3.9
1988/1/19,0.0,4.4,-3.2
1988/1/20,0.4,10.2,-6.6
1988/1/21,2.7,8.3,-5.2
1988/1/22,8.2,17.1,2.4
1988/1/23,3.9,7.8,-0.6
1988/1/24,-2.3,-0.1,-4.5
1988/1/25,1.0,5.3,-6.4
1988/1/26,0.8,4.3,-1.7
1988/1/27,0.9,5.2,-2.0
1988/1/28,-1.4,1.9,-4.9
1988/1/29,2.0,9.8,-7.0
1988/1/30,-0.6,1.8,-2.7
1988/1/31,0.0,3.9,-4.0
1988/2/1,-0.5,3.1,-3.3
1988/2/2,2.6,9.3,-3.7
1988/2/3,-5.6,-0.7,-7.3
1988/2/4,-0.7,4.1,-6.8
1988/2/5,2.3,8.6,-5.4
1988/2/6,2.9,7.9,-0.4
1988/2/7,-3.4,-0.1,-5.1
1988/2/8,-3.0,0.0,-5.7
1988/2/9,-1.4,4.2,-7.9
1988/2/10,-2.7,1.4,-6.9
1988/2/11,-1.6,1.8,-4.2
1988/2/12,0.1,4.9,-3.1
1988/2/13,-0.7,3.2,-3.8
1988/2/14,-1.7,1.4,-4.1
1988/2/15,-4.5,0.0,-8.4
1988/2/16,-4.7,-1.9,-8.7
1988/2/17,-3.6,-0.3,-6.0
1988/2/18,-2.8,2.0,-8.7
1988/2/19,-2.6,0.7,-6.1
1988/2/20,-0.4,4.1,-6.1
1988/2/21,-3.1,0.7,-7.0
1988/2/22,-2.6,4.9,-11.7
1988/2/23,3.1,11.5,-4.8
1988/2/24,0.9,4.6,-2.8
1988/2/25,0.7,6.4,-4.2
1988/2/26,1.5,7.0,-1.9
1988/2/27,0.4,3.1,-1.8
1988/2/28,0.4,4.2,-2.9
1988/2/29,2.4,8.3,-0.4
1988/3/1,0.4,1.2,-0.5
1988/3/2,0.3,1.4,-1.1
1988/3/3,0.6,5.2,-2.6
1988/3/4,-1.5,3.0,-4.6
1988/3/5,0.6,6.6,-4.9
1988/3/6,2.2,8.9,-3.1
1988/3/7,0.1,5.0,-2.9
1988/3/8,-0.6,4.6,-7.0
1988/3/9,0.1,5.3,-3.7
1988/3/10,0.9,7.1,-2.8
1988/3/11,6.0,13.9,-4.8
1988/3/12,7.7,14.2,3.1
1988/3/13,6.3,12.4,0.0
1988/3/14,9.6,18.2,-1.9
1988/3/15,4.0,9.9,-2.3
1988/3/16,-0.5,3.3,-4.2
1988/3/17,1.2,6.2,-4.3
1988/3/18,2.5,5.3,0.4
1988/3/19,5.8,14.8,-1.6
1988/3/20,3.5,7.9,-0.8
1988/3/21,2.7,8.6,-1.6
1988/3/22,3.1,7.1,0.3
1988/3/23,7.2,11.3,3.9
1988/3/24,1.6,6.0,-1.7
1988/3/25,3.0,8.5,-4.0
1988/3/26,2.4,4.7,0.5
1988/3/27,2.4,7.6,-1.9
1988/3/28,4.3,11.2,-3.8
1988/3/29,3.4,4.8,2.3
1988/3/30,2.3,5.3,0.8
1988/3/31,1.3,4.4,-0.3
1988/4/1,2.8,9.4,-3.1
1988/4/2,6.2,13.7,-0.7
1988/4/3,8.0,16.8,1.4
1988/4/4,9.2,16.0,1.8
1988/4/5,7.5,12.0,2.0
1988/4/6,7.3,11.9,3.6
1988/4/7,4.0,9.4,0.6
1988/4/8,-0.1,0.7,-0.7
1988/4/9,1.8,8.0,-3.1
1988/4/10,4.3,12.4,-3.8
1988/4/11,7.6,16.1,-2.4
1988/4/12,9.8,13.5,2.8
1988/4/13,11.4,13.2,7.4
1988/4/14,9.2,16.5,2.6
1988/4/15,8.5,12.5,3.7
1988/4/16,8.5,14.1,2.0
1988/4/17,10.2,17.9,-0.8
1988/4/18,12.3,17.2,8.6
1988/4/19,10.6,14.3,6.2
1988/4/20,13.2,22.1,4.9
1988/4/21,12.5,19.1,7.3
1988/4/22,10.0,12.8,7.0
1988/4/23,9.6,14.9,6.4
1988/4/24,7.8,12.5,2.6
1988/4/25,9.3,16.0,0.5
1988/4/26,13.5,21.1,5.1
1988/4/27,14.9,21.2,7.5
1988/4/28,16.1,24.4,4.5
1988/4/29,14.3,16.7,13.3
1988/4/30,16.0,20.9,10.0
1988/5/1,18.5,26.6,8.3
