ダウンロードした時刻：2017/07/24 15:42:49

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,10.4,12.2,8.6
1986/1/2,8.0,9.4,6.4
1986/1/3,8.0,11.1,5.0
1986/1/4,13.4,18.0,7.1
1986/1/5,7.9,12.0,5.2
1986/1/6,6.7,8.7,4.2
1986/1/7,9.7,13.0,7.2
1986/1/8,10.2,14.0,8.0
1986/1/9,7.9,10.7,6.8
1986/1/10,7.2,8.5,6.0
1986/1/11,7.2,8.4,5.6
1986/1/12,7.3,9.8,5.5
1986/1/13,9.6,12.5,6.8
1986/1/14,7.7,9.6,6.3
1986/1/15,9.4,11.3,7.7
1986/1/16,9.9,12.2,6.8
1986/1/17,10.4,12.8,8.2
1986/1/18,10.3,11.4,8.9
1986/1/19,10.9,11.9,8.6
1986/1/20,11.8,15.8,9.2
1986/1/21,10.5,13.2,7.8
1986/1/22,8.2,10.9,5.7
1986/1/23,8.2,10.8,6.6
1986/1/24,9.5,12.0,8.4
1986/1/25,8.2,9.4,7.7
1986/1/26,7.5,9.3,6.1
1986/1/27,7.2,9.3,5.2
1986/1/28,8.1,10.7,6.0
1986/1/29,8.9,11.2,7.9
1986/1/30,12.5,15.4,8.7
1986/1/31,11.1,13.0,9.6
1986/2/1,9.8,13.0,6.0
1986/2/2,10.1,12.6,6.1
1986/2/3,11.9,15.3,9.2
1986/2/4,8.3,10.7,6.5
1986/2/5,7.4,9.7,6.2
1986/2/6,7.2,8.6,6.0
1986/2/7,7.3,10.1,4.9
1986/2/8,7.3,10.3,5.2
1986/2/9,7.0,9.3,4.5
1986/2/10,6.4,8.5,4.9
1986/2/11,7.7,10.6,4.6
1986/2/12,6.3,9.3,3.1
1986/2/13,11.3,15.1,3.6
1986/2/14,13.5,16.4,11.4
1986/2/15,11.7,14.1,9.6
1986/2/16,5.7,9.7,4.1
1986/2/17,6.8,11.6,2.5
1986/2/18,10.3,13.6,4.1
1986/2/19,11.4,17.1,8.9
1986/2/20,8.9,12.2,6.7
1986/2/21,8.5,11.6,6.1
1986/2/22,8.6,12.3,5.7
1986/2/23,9.3,13.7,5.2
1986/2/24,7.3,9.2,6.0
1986/2/25,6.1,8.7,3.6
1986/2/26,7.5,9.9,5.1
1986/2/27,10.5,13.9,6.6
1986/2/28,5.4,11.5,2.5
1986/3/1,7.0,11.3,3.4
1986/3/2,6.3,10.4,3.7
1986/3/3,8.2,10.9,3.3
1986/3/4,8.3,11.8,5.1
1986/3/5,11.6,16.5,8.0
1986/3/6,9.5,12.4,6.7
1986/3/7,10.7,14.1,8.6
1986/3/8,12.2,17.3,8.8
1986/3/9,15.0,18.9,9.7
1986/3/10,16.5,18.8,13.2
1986/3/11,16.7,18.1,14.4
1986/3/12,12.8,15.3,11.4
1986/3/13,13.8,16.9,10.5
1986/3/14,14.5,16.2,12.1
1986/3/15,15.0,19.1,12.4
1986/3/16,14.5,18.8,11.3
1986/3/17,10.9,13.8,9.3
1986/3/18,11.5,14.4,7.4
1986/3/19,15.3,17.6,12.6
1986/3/20,11.6,14.7,9.6
1986/3/21,10.7,14.7,7.9
1986/3/22,13.9,16.2,7.7
1986/3/23,13.1,18.1,8.6
1986/3/24,9.7,13.0,6.6
1986/3/25,8.5,11.8,5.5
1986/3/26,11.2,14.7,5.3
1986/3/27,14.6,17.4,10.9
1986/3/28,14.4,17.6,12.5
1986/3/29,11.7,17.0,11.2
1986/3/30,14.8,17.0,11.1
1986/3/31,14.0,17.0,11.1
1986/4/1,13.6,16.0,11.0
1986/4/2,13.2,16.9,8.5
1986/4/3,14.7,19.1,7.8
1986/4/4,16.3,17.7,15.2
1986/4/5,16.2,19.0,13.0
1986/4/6,14.6,18.3,10.8
1986/4/7,10.5,12.7,8.8
1986/4/8,11.5,15.5,5.6
1986/4/9,15.4,17.9,12.6
1986/4/10,16.7,17.4,15.6
1986/4/11,15.9,18.1,11.4
1986/4/12,12.4,14.9,10.1
1986/4/13,14.6,18.4,10.9
1986/4/14,16.0,21.2,12.3
1986/4/15,16.0,17.5,13.2
1986/4/16,14.9,18.5,11.0
1986/4/17,15.4,18.6,10.8
1986/4/18,16.1,18.5,15.1
1986/4/19,14.7,15.7,13.3
1986/4/20,16.4,18.7,14.9
1986/4/21,16.8,18.3,15.5
1986/4/22,16.5,17.2,15.9
1986/4/23,16.4,19.1,12.9
1986/4/24,16.1,20.5,12.2
1986/4/25,17.2,20.6,12.6
1986/4/26,17.9,20.3,15.9
1986/4/27,19.2,21.3,17.0
1986/4/28,18.2,19.7,15.7
1986/4/29,15.5,16.3,14.2
1986/4/30,16.5,19.0,15.0
1986/5/1,17.0,20.0,14.9
