ダウンロードした時刻：2019/10/10 16:06:36

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/12/1,8.3,16.1,4.1
2007/12/2,8.2,14.4,4.8
2007/12/3,8.8,11.9,5.0
2007/12/4,6.3,10.3,4.2
2007/12/5,5.2,9.8,2.8
2007/12/6,6.3,12.8,1.5
2007/12/7,9.0,13.6,4.8
2007/12/8,7.2,13.2,3.7
2007/12/9,6.4,10.0,3.8
2007/12/10,6.5,12.4,2.2
2007/12/11,7.9,9.9,5.6
2007/12/12,9.7,11.3,8.2
2007/12/13,10.3,15.4,6.3
2007/12/14,5.8,7.4,4.4
2007/12/15,4.3,7.8,1.5
2007/12/16,5.3,9.3,2.7
2007/12/17,5.6,9.7,2.2
2007/12/18,6.9,11.2,4.9
2007/12/19,6.1,9.8,3.0
2007/12/20,5.3,12.8,1.7
2007/12/21,6.5,11.2,2.3
2007/12/22,7.3,8.2,6.2
2007/12/23,9.8,14.3,6.6
2007/12/24,9.0,10.9,5.8
2007/12/25,8.7,11.6,4.9
2007/12/26,8.0,11.1,3.8
2007/12/27,7.2,15.2,1.0
2007/12/28,9.8,12.4,6.9
2007/12/29,11.0,13.4,5.0
2007/12/30,5.1,8.8,1.1
2007/12/31,3.4,7.5,-0.2
2008/1/1,1.2,4.2,-0.7
2008/1/2,2.2,5.7,0.5
2008/1/3,4.1,10.0,0.2
2008/1/4,4.4,9.4,1.6
2008/1/5,4.6,11.3,1.4
2008/1/6,5.0,12.2,0.5
2008/1/7,6.7,12.0,3.7
2008/1/8,6.8,11.9,3.1
2008/1/9,7.5,12.9,3.8
2008/1/10,5.7,13.3,1.3
2008/1/11,7.9,12.5,1.8
2008/1/12,8.4,11.4,5.1
2008/1/13,3.8,5.4,2.9
2008/1/14,3.0,5.5,1.3
2008/1/15,4.1,8.7,1.6
2008/1/16,3.8,5.7,1.4
2008/1/17,2.2,4.3,0.6
2008/1/18,1.4,4.6,0.2
2008/1/19,2.3,5.7,-0.1
2008/1/20,1.3,3.6,-0.3
2008/1/21,4.9,6.5,1.4
2008/1/22,4.4,6.6,2.6
2008/1/23,4.8,7.1,2.9
2008/1/24,2.4,6.1,0.2
2008/1/25,1.6,4.3,0.3
2008/1/26,1.4,5.4,-1.1
2008/1/27,2.0,4.9,0.4
2008/1/28,2.0,5.8,0.1
2008/1/29,2.7,4.5,0.7
2008/1/30,4.8,8.5,2.3
2008/1/31,1.9,3.6,0.8
2008/2/1,1.8,3.7,-0.1
2008/2/2,2.0,4.9,0.0
2008/2/3,3.0,6.7,0.6
2008/2/4,4.1,9.3,2.3
2008/2/5,2.9,6.0,0.9
2008/2/6,4.0,8.8,0.7
2008/2/7,2.6,5.3,0.5
2008/2/8,0.9,2.5,0.0
2008/2/9,1.0,2.3,-0.2
2008/2/10,4.8,8.7,0.6
2008/2/11,4.6,10.5,1.3
2008/2/12,3.5,5.9,-0.2
2008/2/13,0.8,3.7,-1.2
2008/2/14,1.2,6.1,-1.3
2008/2/15,1.9,8.2,0.2
2008/2/16,0.9,3.0,0.0
2008/2/17,0.1,2.1,-2.1
2008/2/18,1.3,3.2,-0.8
2008/2/19,2.0,6.6,-0.8
2008/2/20,4.0,9.9,-1.4
2008/2/21,3.9,9.2,-0.8
2008/2/22,5.3,14.0,-0.5
2008/2/23,2.6,8.6,-0.4
2008/2/24,1.3,3.0,-1.4
2008/2/25,3.2,6.5,-0.2
2008/2/26,4.9,10.0,1.2
2008/2/27,2.3,4.1,0.2
2008/2/28,4.0,8.8,-0.1
2008/2/29,5.5,12.6,-1.6
2008/3/1,4.5,7.0,2.5
2008/3/2,6.2,14.0,1.6
2008/3/3,5.9,9.1,4.3
2008/3/4,4.9,8.1,1.3
2008/3/5,3.6,7.8,0.0
2008/3/6,4.9,10.4,0.1
2008/3/7,3.8,8.1,0.9
2008/3/8,3.5,9.7,-0.4
2008/3/9,8.2,16.7,-0.9
2008/3/10,9.3,14.7,4.2
2008/3/11,8.9,18.5,2.4
2008/3/12,9.6,15.4,5.9
2008/3/13,12.5,19.5,4.4
2008/3/14,11.9,16.1,8.5
2008/3/15,8.5,13.3,3.8
2008/3/16,9.2,17.7,3.3
2008/3/17,8.2,14.1,3.9
2008/3/18,8.5,15.3,1.6
2008/3/19,11.1,15.1,9.3
2008/3/20,10.1,10.3,9.6
2008/3/21,10.3,12.4,9.3
2008/3/22,9.5,14.8,5.6
2008/3/23,11.0,18.5,4.7
2008/3/24,11.5,16.7,6.2
2008/3/25,10.6,19.8,3.5
2008/3/26,9.0,14.7,4.7
2008/3/27,8.6,14.3,4.2
2008/3/28,8.2,13.2,6.4
2008/3/29,8.1,10.6,5.6
2008/3/30,6.7,10.1,5.6
2008/3/31,7.4,10.7,3.9
