ダウンロードした時刻：2019/10/10 15:53:37

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,7.9,12.2,4.3
2012/12/2,4.6,6.6,1.0
2012/12/3,7.3,13.3,0.4
2012/12/4,7.5,12.5,3.5
2012/12/5,6.2,9.4,3.1
2012/12/6,5.9,9.4,3.5
2012/12/7,5.3,9.8,2.3
2012/12/8,3.7,10.6,0.1
2012/12/9,1.6,6.6,-0.7
2012/12/10,1.0,4.2,-1.2
2012/12/11,1.9,6.1,-2.0
2012/12/12,2.6,7.6,-1.2
2012/12/13,3.8,10.0,-1.0
2012/12/14,4.7,11.3,-1.5
2012/12/15,7.2,10.3,3.8
2012/12/16,9.9,13.8,5.8
2012/12/17,8.7,12.2,4.7
2012/12/18,8.0,12.5,4.5
2012/12/19,4.2,7.9,1.4
2012/12/20,3.1,8.4,-2.0
2012/12/21,4.6,7.6,0.3
2012/12/22,7.3,12.6,3.4
2012/12/23,6.4,10.2,1.5
2012/12/24,2.2,6.4,-1.0
2012/12/25,2.0,4.9,-2.2
2012/12/26,2.6,5.5,0.0
2012/12/27,1.9,7.4,-2.7
2012/12/28,2.1,4.6,-1.7
2012/12/29,8.3,13.3,2.8
2012/12/30,8.6,10.3,7.8
2012/12/31,5.0,8.2,1.8
2013/1/1,3.7,7.8,1.3
2013/1/2,5.0,10.1,-0.3
2013/1/3,1.5,4.4,-1.4
2013/1/4,1.3,4.7,-2.0
2013/1/5,0.7,5.9,-3.9
2013/1/6,3.1,8.8,-2.2
2013/1/7,4.4,10.0,-1.1
2013/1/8,5.7,11.3,1.5
2013/1/9,4.2,9.3,0.9
2013/1/10,4.0,8.6,0.8
2013/1/11,3.5,8.1,-0.1
2013/1/12,3.7,9.5,-1.9
2013/1/13,6.2,11.9,-0.4
2013/1/14,6.2,8.4,4.0
2013/1/15,4.5,7.1,1.9
2013/1/16,4.0,8.9,-1.2
2013/1/17,4.3,8.0,1.2
2013/1/18,1.9,5.2,-0.6
2013/1/19,2.5,7.3,-1.7
2013/1/20,4.5,9.0,0.6
2013/1/21,4.2,9.1,-2.0
2013/1/22,6.9,12.2,3.5
2013/1/23,6.4,10.1,2.3
2013/1/24,6.3,12.4,0.5
2013/1/25,3.7,7.9,-0.2
2013/1/26,0.0,3.5,-2.1
2013/1/27,0.5,5.8,-4.6
2013/1/28,2.2,6.3,-0.9
2013/1/29,4.3,10.2,-0.8
2013/1/30,5.4,11.4,-0.3
2013/1/31,5.2,12.4,-0.7
2013/2/1,6.1,10.8,-0.3
2013/2/2,9.7,13.4,6.0
2013/2/3,7.9,11.1,5.4
2013/2/4,6.1,9.5,4.3
2013/2/5,7.2,11.4,4.9
2013/2/6,6.3,11.3,3.2
2013/2/7,4.9,9.9,1.3
2013/2/8,1.3,3.5,-0.7
2013/2/9,2.1,7.2,-2.4
2013/2/10,3.3,8.9,-2.1
2013/2/11,4.0,7.9,1.8
2013/2/12,2.6,6.9,-1.3
2013/2/13,4.1,8.5,0.6
2013/2/14,5.4,11.7,0.1
2013/2/15,5.1,8.8,3.8
2013/2/16,2.1,4.7,0.0
2013/2/17,2.5,7.0,-2.5
2013/2/18,3.7,7.8,0.3
2013/2/19,4.7,6.6,1.5
2013/2/20,2.2,8.4,-2.1
2013/2/21,2.5,7.0,-1.2
2013/2/22,3.7,8.5,0.7
2013/2/23,3.5,8.0,0.4
2013/2/24,1.6,4.8,-0.6
2013/2/25,2.0,7.1,-1.4
2013/2/26,3.8,10.1,-2.5
2013/2/27,7.1,14.7,1.8
2013/2/28,9.5,16.2,3.7
2013/3/1,8.3,10.7,4.8
2013/3/2,5.0,8.4,2.6
2013/3/3,4.6,9.1,1.2
2013/3/4,5.5,12.3,-1.3
2013/3/5,6.8,12.5,2.1
2013/3/6,8.5,16.9,0.8
2013/3/7,10.8,17.7,3.5
2013/3/8,12.8,18.0,8.4
2013/3/9,16.1,23.0,9.5
2013/3/10,8.9,13.7,3.4
2013/3/11,6.2,12.6,2.4
2013/3/12,9.0,17.5,-0.1
2013/3/13,11.7,18.1,6.6
2013/3/14,6.7,10.3,1.9
2013/3/15,8.0,15.8,-0.3
2013/3/16,10.3,17.8,3.2
2013/3/17,12.0,18.8,5.5
2013/3/18,15.0,18.2,10.7
2013/3/19,16.4,21.2,11.9
2013/3/20,12.6,15.8,9.2
2013/3/21,7.0,12.0,3.0
2013/3/22,10.3,17.9,1.0
2013/3/23,11.4,15.2,6.0
2013/3/24,11.3,18.9,4.3
2013/3/25,10.7,15.1,5.6
2013/3/26,7.8,12.6,3.9
2013/3/27,9.8,14.9,4.4
2013/3/28,13.5,18.5,10.0
2013/3/29,14.1,19.9,9.7
2013/3/30,12.0,16.7,7.8
2013/3/31,11.7,16.3,8.7
