ダウンロードした時刻：2019/10/10 15:48:06

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,7.7,11.2,3.5
1981/12/2,2.7,5.0,0.9
1981/12/3,2.6,4.9,0.5
1981/12/4,4.6,12.0,-0.4
1981/12/5,5.7,10.9,1.3
1981/12/6,6.3,10.3,3.5
1981/12/7,5.6,6.8,4.0
1981/12/8,5.5,8.9,2.9
1981/12/9,5.0,7.1,3.6
1981/12/10,6.7,9.6,3.0
1981/12/11,7.1,14.4,-0.1
1981/12/12,7.6,9.7,5.8
1981/12/13,3.4,6.7,2.0
1981/12/14,1.3,3.0,0.3
1981/12/15,1.5,2.9,-0.1
1981/12/16,2.8,6.6,0.3
1981/12/17,3.6,8.7,0.7
1981/12/18,3.1,9.7,-1.6
1981/12/19,4.9,7.1,1.0
1981/12/20,5.4,8.2,2.0
1981/12/21,5.2,10.8,0.9
1981/12/22,7.5,13.0,3.1
1981/12/23,8.8,12.4,4.7
1981/12/24,4.4,9.3,2.2
1981/12/25,4.4,9.9,0.9
1981/12/26,7.0,14.6,1.6
1981/12/27,9.6,16.7,5.0
1981/12/28,8.9,16.2,4.7
1981/12/29,9.9,15.7,5.0
1981/12/30,5.9,8.5,2.4
1981/12/31,5.1,9.6,2.2
1982/1/1,5.5,7.1,3.4
1982/1/2,2.7,5.0,1.1
1982/1/3,4.4,10.7,0.3
1982/1/4,11.2,16.7,2.1
1982/1/5,6.4,11.7,2.5
1982/1/6,4.0,8.0,1.9
1982/1/7,1.8,3.9,-0.3
1982/1/8,1.3,5.7,-3.1
1982/1/9,6.1,10.6,0.8
1982/1/10,4.2,9.1,0.7
1982/1/11,6.8,13.5,-0.3
1982/1/12,8.6,13.0,4.8
1982/1/13,2.7,5.0,0.6
1982/1/14,1.0,2.7,0.5
1982/1/15,1.0,2.6,0.5
1982/1/16,0.9,1.8,-0.6
1982/1/17,0.2,2.9,-2.4
1982/1/18,0.4,4.9,-5.0
1982/1/19,1.0,2.6,0.0
1982/1/20,0.5,1.7,-0.3
1982/1/21,2.9,5.3,0.7
1982/1/22,4.1,7.6,1.5
1982/1/23,3.1,5.0,-0.5
1982/1/24,2.1,5.8,-2.4
1982/1/25,4.2,5.8,2.1
1982/1/26,2.9,7.0,0.4
1982/1/27,2.5,4.3,0.6
1982/1/28,-0.3,2.0,-2.0
1982/1/29,-1.1,1.7,-2.7
1982/1/30,-0.8,2.8,-2.9
1982/1/31,1.3,4.6,-2.5
1982/2/1,1.3,4.8,0.1
1982/2/2,0.0,2.6,-1.6
1982/2/3,2.8,6.5,-0.9
1982/2/4,1.9,4.1,0.6
1982/2/5,0.9,3.5,-2.2
1982/2/6,1.0,4.9,-3.2
1982/2/7,-0.9,1.4,-2.1
1982/2/8,-0.9,0.7,-2.7
1982/2/9,0.8,3.8,-1.6
1982/2/10,0.6,2.7,-0.7
1982/2/11,1.1,3.8,-1.2
1982/2/12,3.2,8.4,-0.1
1982/2/13,2.4,7.7,-2.9
1982/2/14,1.0,2.9,0.3
1982/2/15,1.2,4.6,-1.1
1982/2/16,4.1,10.9,-1.5
1982/2/17,2.7,5.1,0.0
1982/2/18,4.0,10.4,-2.3
1982/2/19,7.3,11.1,1.0
1982/2/20,7.7,10.0,5.9
1982/2/21,7.1,9.0,4.9
1982/2/22,5.7,8.6,3.4
1982/2/23,4.7,9.5,0.9
1982/2/24,4.2,6.6,2.9
1982/2/25,3.2,6.3,1.1
1982/2/26,1.9,5.3,-0.5
1982/2/27,4.7,9.9,-1.3
1982/2/28,7.8,14.1,1.6
1982/3/1,5.9,8.5,4.8
1982/3/2,3.9,5.8,1.1
1982/3/3,3.6,7.6,1.2
1982/3/4,7.7,13.8,0.0
1982/3/5,10.4,12.5,8.3
1982/3/6,6.6,8.8,4.0
1982/3/7,3.4,6.7,1.0
1982/3/8,3.4,8.3,0.0
1982/3/9,4.4,8.6,1.7
1982/3/10,7.2,15.3,-0.4
1982/3/11,8.8,16.9,1.6
1982/3/12,9.9,15.5,3.2
1982/3/13,9.4,14.9,6.6
1982/3/14,10.1,17.8,3.6
1982/3/15,14.1,16.2,12.4
1982/3/16,12.2,16.5,7.9
1982/3/17,8.0,11.4,5.5
1982/3/18,7.8,11.4,2.8
1982/3/19,8.6,14.8,1.5
1982/3/20,11.3,14.3,8.6
1982/3/21,9.9,11.5,7.4
1982/3/22,9.9,17.4,3.7
1982/3/23,13.8,22.5,5.5
1982/3/24,6.4,11.5,2.9
1982/3/25,3.6,6.8,1.2
1982/3/26,3.4,7.9,0.0
1982/3/27,4.2,9.7,-0.9
1982/3/28,5.3,12.0,-1.0
1982/3/29,7.2,15.0,-0.9
1982/3/30,14.2,20.3,3.6
1982/3/31,10.6,16.5,7.7
