ダウンロードした時刻：2019/10/10 16:15:19

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,14.9,17.3,10.4
1993/12/2,12.0,16.3,7.0
1993/12/3,14.1,19.1,10.9
1993/12/4,8.1,10.9,6.0
1993/12/5,7.7,12.1,5.7
1993/12/6,7.8,11.3,4.4
1993/12/7,7.2,12.1,2.9
1993/12/8,8.2,13.3,4.2
1993/12/9,8.8,15.0,3.6
1993/12/10,11.0,13.9,7.7
1993/12/11,10.1,13.7,5.2
1993/12/12,7.8,14.1,2.7
1993/12/13,9.8,13.8,5.6
1993/12/14,9.2,12.9,4.7
1993/12/15,6.6,10.7,3.1
1993/12/16,5.0,9.7,0.7
1993/12/17,6.9,8.8,4.7
1993/12/18,5.5,8.6,2.2
1993/12/19,7.2,12.1,2.6
1993/12/20,8.6,11.6,6.7
1993/12/21,6.6,11.3,4.3
1993/12/22,5.3,8.0,2.6
1993/12/23,7.1,9.0,5.4
1993/12/24,7.5,12.1,3.0
1993/12/25,8.4,13.3,5.0
1993/12/26,10.8,16.7,4.6
1993/12/27,8.8,11.8,4.3
1993/12/28,7.3,11.4,3.0
1993/12/29,5.7,12.0,0.5
1993/12/30,8.0,13.5,1.7
1993/12/31,10.1,15.0,5.9
1994/1/1,5.9,10.0,2.5
1994/1/2,6.7,12.4,2.2
1994/1/3,7.2,10.5,4.4
1994/1/4,7.6,12.9,3.1
1994/1/5,6.4,11.8,2.2
1994/1/6,8.7,12.3,5.1
1994/1/7,7.9,10.9,1.4
1994/1/8,4.7,8.7,1.4
1994/1/9,6.5,12.4,1.6
1994/1/10,7.4,14.6,0.9
1994/1/11,8.1,13.3,2.9
1994/1/12,7.7,10.9,4.9
1994/1/13,6.7,8.9,5.5
1994/1/14,5.9,10.4,2.3
1994/1/15,4.5,10.4,0.3
1994/1/16,6.8,13.2,0.1
1994/1/17,11.2,14.3,7.6
1994/1/18,8.7,11.1,5.1
1994/1/19,3.7,5.8,2.1
1994/1/20,4.2,7.1,1.6
1994/1/21,3.5,5.6,0.1
1994/1/22,3.5,7.2,-0.2
1994/1/23,3.8,6.5,0.4
1994/1/24,2.4,6.6,-0.2
1994/1/25,4.7,9.3,0.3
1994/1/26,7.8,15.5,0.3
1994/1/27,7.9,11.1,4.4
1994/1/28,5.2,8.7,1.7
1994/1/29,3.4,6.1,0.3
1994/1/30,2.4,6.3,-1.0
1994/1/31,5.0,10.4,-1.2
1994/2/1,8.1,10.7,6.4
1994/2/2,6.1,8.6,4.3
1994/2/3,4.8,7.6,0.6
1994/2/4,4.5,8.9,-0.5
1994/2/5,8.0,12.0,5.7
1994/2/6,7.8,13.1,3.0
1994/2/7,8.4,12.6,4.3
1994/2/8,7.0,12.0,2.4
1994/2/9,6.0,9.6,3.2
1994/2/10,3.6,6.9,1.7
1994/2/11,3.1,7.2,-0.2
1994/2/12,3.6,7.3,0.3
1994/2/13,4.2,9.3,-1.0
1994/2/14,6.2,12.1,0.4
1994/2/15,5.0,7.1,2.1
1994/2/16,5.3,10.3,0.8
1994/2/17,6.2,11.7,1.3
1994/2/18,6.7,13.2,0.5
1994/2/19,10.0,15.3,4.0
1994/2/20,11.1,14.4,9.6
1994/2/21,9.6,12.3,6.8
1994/2/22,8.0,10.1,2.8
1994/2/23,7.9,10.9,3.2
1994/2/24,4.2,8.2,1.5
1994/2/25,4.9,8.4,2.4
1994/2/26,4.7,9.0,0.5
1994/2/27,6.3,11.0,0.9
1994/2/28,6.7,11.5,1.8
1994/3/1,8.7,11.6,5.6
1994/3/2,6.7,11.0,2.2
1994/3/3,6.0,11.3,0.7
1994/3/4,6.9,12.3,1.8
1994/3/5,7.9,12.7,3.8
1994/3/6,7.9,13.6,1.8
1994/3/7,8.3,10.3,6.0
1994/3/8,11.0,13.9,9.3
1994/3/9,11.1,13.6,8.7
1994/3/10,7.2,10.2,2.8
1994/3/11,6.1,11.0,1.0
1994/3/12,6.6,8.0,5.7
1994/3/13,8.4,12.5,5.1
1994/3/14,7.0,9.7,3.4
1994/3/15,4.7,9.3,0.4
1994/3/16,6.3,9.6,1.4
1994/3/17,8.0,13.6,3.1
1994/3/18,9.5,15.0,3.3
1994/3/19,10.5,15.1,7.2
1994/3/20,10.5,16.2,6.5
1994/3/21,8.9,14.2,4.9
1994/3/22,7.8,12.2,5.1
1994/3/23,8.1,10.2,7.0
1994/3/24,7.5,13.0,2.0
1994/3/25,6.3,9.5,3.3
1994/3/26,6.1,8.1,4.1
1994/3/27,6.6,11.3,0.8
1994/3/28,9.1,13.5,3.3
1994/3/29,12.2,16.3,8.9
1994/3/30,10.5,16.6,4.9
1994/3/31,12.3,18.2,5.7
