ダウンロードした時刻：2019/10/10 16:25:37

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,9.2,15.0,4.7
1983/12/2,10.5,17.5,4.2
1983/12/3,11.9,18.3,5.3
1983/12/4,10.4,16.9,4.7
1983/12/5,11.9,17.7,6.8
1983/12/6,10.8,18.8,4.1
1983/12/7,10.0,18.7,3.5
1983/12/8,9.3,16.1,3.7
1983/12/9,9.2,18.8,2.0
1983/12/10,11.8,19.9,4.1
1983/12/11,11.4,16.1,5.6
1983/12/12,7.0,13.6,1.5
1983/12/13,9.1,17.6,0.1
1983/12/14,13.8,19.5,10.1
1983/12/15,10.2,15.6,4.1
1983/12/16,6.9,13.3,1.4
1983/12/17,6.2,12.4,1.9
1983/12/18,4.5,11.0,-1.4
1983/12/19,5.9,13.5,-1.1
1983/12/20,6.1,13.4,1.0
1983/12/21,7.3,14.6,-0.5
1983/12/22,11.6,16.8,8.6
1983/12/23,6.3,10.6,0.8
1983/12/24,4.6,10.9,-1.5
1983/12/25,3.3,8.0,-0.5
1983/12/26,2.7,10.3,-3.6
1983/12/27,4.3,11.5,-1.3
1983/12/28,4.3,10.2,-0.5
1983/12/29,4.5,9.2,-0.8
1983/12/30,5.7,10.6,2.7
1983/12/31,5.0,11.5,0.3
1984/1/1,4.2,12.7,-1.8
1984/1/2,5.2,14.5,-1.9
1984/1/3,7.7,14.4,2.4
1984/1/4,5.0,9.4,2.1
1984/1/5,3.3,10.2,-2.5
1984/1/6,3.4,11.1,-4.3
1984/1/7,4.1,10.9,-0.7
1984/1/8,4.4,11.7,-1.4
1984/1/9,6.3,12.7,0.2
1984/1/10,8.2,15.2,-0.1
1984/1/11,8.7,15.1,3.0
1984/1/12,4.2,12.9,-1.6
1984/1/13,6.2,12.8,0.2
1984/1/14,8.0,16.2,1.0
1984/1/15,8.6,16.1,2.8
1984/1/16,2.9,7.0,-0.8
1984/1/17,3.3,8.9,-1.6
1984/1/18,2.9,7.0,0.9
1984/1/19,2.8,5.7,0.0
1984/1/20,5.0,11.3,-1.9
1984/1/21,5.9,8.2,4.5
1984/1/22,5.1,10.0,0.8
1984/1/23,3.3,8.7,-2.4
1984/1/24,3.9,10.3,-1.2
1984/1/25,3.6,8.8,0.2
1984/1/26,1.8,6.8,-1.9
1984/1/27,2.2,7.9,-2.2
1984/1/28,3.1,9.3,-0.1
1984/1/29,3.6,8.0,-0.6
1984/1/30,3.5,5.5,1.4
1984/1/31,6.9,13.4,1.9
1984/2/1,5.4,12.4,-0.6
1984/2/2,5.0,8.0,1.4
1984/2/3,2.8,7.8,-2.1
1984/2/4,1.9,6.5,-4.2
1984/2/5,4.6,6.9,2.1
1984/2/6,3.2,7.3,-1.6
1984/2/7,0.5,5.1,-2.4
1984/2/8,1.3,6.9,-4.5
1984/2/9,3.1,8.8,-1.0
1984/2/10,3.1,8.6,-2.1
1984/2/11,5.2,6.9,2.5
1984/2/12,8.3,10.5,6.4
1984/2/13,8.1,13.6,3.5
1984/2/14,7.4,12.9,3.8
1984/2/15,6.7,13.3,-0.1
1984/2/16,7.6,12.4,1.3
1984/2/17,7.8,10.8,5.7
1984/2/18,6.0,11.2,1.0
1984/2/19,5.1,11.0,-1.3
1984/2/20,6.5,13.6,1.5
1984/2/21,8.4,14.1,1.7
1984/2/22,9.5,12.2,7.7
1984/2/23,13.5,19.2,9.6
1984/2/24,10.3,14.4,5.5
1984/2/25,8.5,12.5,3.4
1984/2/26,10.7,16.4,6.2
1984/2/27,5.1,10.1,1.7
1984/2/28,4.8,10.1,-1.1
1984/2/29,3.7,9.7,-0.3
1984/3/1,4.1,10.6,-3.0
1984/3/2,6.2,11.6,1.0
1984/3/3,5.5,14.1,0.3
1984/3/4,3.8,11.0,-2.5
1984/3/5,4.7,11.4,-1.5
1984/3/6,7.7,16.0,0.1
1984/3/7,6.8,11.1,1.7
1984/3/8,6.2,11.0,0.4
1984/3/9,6.9,10.5,2.6
1984/3/10,8.3,14.7,4.0
1984/3/11,5.8,11.3,1.1
1984/3/12,9.5,18.5,-0.9
1984/3/13,9.4,13.7,4.8
1984/3/14,8.9,9.9,7.9
1984/3/15,9.6,11.4,7.8
1984/3/16,12.7,19.3,9.9
1984/3/17,10.0,16.4,6.3
1984/3/18,9.9,15.6,4.0
1984/3/19,9.4,10.7,7.2
1984/3/20,10.1,15.1,6.9
1984/3/21,7.5,12.3,3.3
1984/3/22,4.7,9.4,-0.8
1984/3/23,7.5,13.0,-0.6
1984/3/24,12.5,19.2,8.4
1984/3/25,11.1,15.1,8.5
1984/3/26,11.4,16.4,8.2
1984/3/27,11.0,16.4,7.0
1984/3/28,10.4,18.3,6.6
1984/3/29,11.7,19.6,3.8
1984/3/30,12.2,15.2,6.8
1984/3/31,15.6,20.4,9.7
