ダウンロードした時刻：2017/07/24 15:41:12

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,2.5,7.8,-1.7
2002/1/2,-0.4,4.3,-4.9
2002/1/3,-2.4,0.8,-5.8
2002/1/4,0.8,5.4,-2.0
2002/1/5,1.8,5.5,-1.4
2002/1/6,-1.0,5.8,-5.9
2002/1/7,-1.3,5.2,-7.3
2002/1/8,2.2,6.4,-1.6
2002/1/9,0.5,4.2,-2.6
2002/1/10,2.7,8.1,-4.0
2002/1/11,3.8,8.4,0.0
2002/1/12,4.0,12.4,-2.4
2002/1/13,2.7,10.6,-1.7
2002/1/14,3.4,12.3,-3.3
2002/1/15,4.7,9.4,-0.1
2002/1/16,8.9,14.1,5.9
2002/1/17,4.1,8.6,0.4
2002/1/18,2.0,7.3,-1.1
2002/1/19,0.6,5.8,-3.4
2002/1/20,1.8,9.2,-5.2
2002/1/21,3.2,6.8,1.5
2002/1/22,2.3,5.7,-0.1
2002/1/23,0.2,3.9,-1.7
2002/1/24,0.9,5.2,-3.4
2002/1/25,0.6,8.7,-5.3
2002/1/26,-1.4,1.7,-5.3
2002/1/27,2.6,8.2,-1.1
2002/1/28,2.1,6.0,-1.3
2002/1/29,0.1,4.0,-3.4
2002/1/30,-0.9,4.1,-6.7
2002/1/31,0.4,5.8,-3.6
2002/2/1,-0.2,7.9,-6.4
2002/2/2,1.5,7.9,-5.1
2002/2/3,1.5,3.8,0.0
2002/2/4,3.5,7.1,-0.5
2002/2/5,4.4,9.5,0.5
2002/2/6,5.6,13.2,0.4
2002/2/7,2.3,9.9,-1.7
2002/2/8,4.0,13.5,-3.9
2002/2/9,4.7,10.3,-1.9
2002/2/10,0.3,6.4,-2.7
2002/2/11,-0.2,5.8,-3.3
2002/2/12,0.1,5.6,-4.6
2002/2/13,0.7,7.9,-4.6
2002/2/14,-0.4,8.0,-5.8
2002/2/15,0.0,9.4,-7.4
2002/2/16,2.0,11.2,-6.3
2002/2/17,2.4,6.8,-0.8
2002/2/18,3.1,8.5,-0.7
2002/2/19,0.7,6.0,-2.4
2002/2/20,2.5,13.1,-5.6
2002/2/21,5.8,19.2,-4.5
2002/2/22,7.3,13.7,3.2
2002/2/23,5.5,14.8,-1.1
2002/2/24,4.8,13.0,-0.3
2002/2/25,5.2,14.7,-2.5
2002/2/26,7.2,14.2,2.2
2002/2/27,6.5,15.5,-1.4
2002/2/28,7.1,9.7,5.1
2002/3/1,9.9,16.6,5.0
2002/3/2,8.5,16.6,3.0
2002/3/3,4.1,11.7,-0.3
2002/3/4,4.3,15.1,-3.4
2002/3/5,4.7,10.0,-1.5
2002/3/6,9.5,14.1,3.8
2002/3/7,2.7,6.3,-1.2
2002/3/8,2.7,10.3,-3.5
2002/3/9,5.4,17.4,-4.1
2002/3/10,6.7,15.6,-3.2
2002/3/11,9.0,14.7,2.1
2002/3/12,8.4,17.3,-0.1
2002/3/13,7.5,17.1,-0.7
2002/3/14,8.4,18.9,-1.3
2002/3/15,10.6,16.5,7.1
2002/3/16,8.9,16.4,3.2
2002/3/17,9.6,19.4,0.6
2002/3/18,6.7,17.2,0.6
2002/3/19,6.7,14.0,-1.3
2002/3/20,10.3,17.5,3.7
2002/3/21,9.4,18.3,0.0
2002/3/22,10.0,14.2,7.4
2002/3/23,6.3,9.9,2.2
2002/3/24,3.3,8.9,-1.0
2002/3/25,5.4,13.7,-2.1
2002/3/26,11.2,19.5,4.2
2002/3/27,8.4,11.3,3.3
2002/3/28,7.8,17.4,0.1
2002/3/29,9.6,14.1,5.8
2002/3/30,13.7,21.3,7.7
2002/3/31,11.3,20.8,4.6
2002/4/1,12.6,22.8,2.9
2002/4/2,15.0,27.1,4.6
2002/4/3,14.5,24.9,5.9
2002/4/4,11.6,16.9,6.9
2002/4/5,11.8,18.5,6.2
2002/4/6,11.4,22.2,3.0
2002/4/7,12.5,16.6,8.9
2002/4/8,18.1,25.5,11.7
2002/4/9,14.7,18.5,7.3
2002/4/10,9.7,16.7,4.6
2002/4/11,9.9,17.2,5.7
2002/4/12,9.1,14.5,4.9
2002/4/13,8.0,15.9,1.9
2002/4/14,12.4,23.3,1.4
2002/4/15,16.3,26.8,6.6
2002/4/16,16.1,18.5,14.2
2002/4/17,15.6,19.2,9.9
2002/4/18,12.5,17.6,9.0
2002/4/19,12.5,21.7,4.1
2002/4/20,13.8,20.5,9.7
2002/4/21,12.3,15.2,10.0
2002/4/22,16.7,26.1,7.4
2002/4/23,17.8,26.0,13.1
2002/4/24,16.6,20.8,12.3
2002/4/25,13.6,16.5,9.8
2002/4/26,12.8,20.1,8.9
2002/4/27,13.6,20.8,7.4
2002/4/28,13.5,22.4,8.1
2002/4/29,14.2,23.0,7.6
2002/4/30,13.6,15.4,11.8
2002/5/1,16.4,20.6,13.0
