ダウンロードした時刻：2019/10/10 16:00:03

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,12.9,17.5,7.7
1997/12/2,9.3,13.1,4.3
1997/12/3,5.6,9.4,2.4
1997/12/4,5.6,11.9,0.5
1997/12/5,7.6,13.9,2.0
1997/12/6,10.2,15.1,3.4
1997/12/7,14.8,17.2,12.3
1997/12/8,15.8,17.3,14.9
1997/12/9,10.9,15.2,4.9
1997/12/10,6.3,11.1,1.9
1997/12/11,6.1,11.4,-0.9
1997/12/12,6.1,11.1,0.7
1997/12/13,6.8,12.8,1.5
1997/12/14,7.2,13.4,1.9
1997/12/15,9.5,16.8,3.6
1997/12/16,8.7,14.7,4.1
1997/12/17,9.6,11.4,7.2
1997/12/18,11.7,17.8,7.0
1997/12/19,10.4,17.0,5.2
1997/12/20,12.3,16.0,9.1
1997/12/21,10.9,17.6,4.5
1997/12/22,7.9,11.6,2.5
1997/12/23,9.7,14.3,6.6
1997/12/24,7.9,13.5,4.1
1997/12/25,8.1,14.0,3.1
1997/12/26,10.1,12.3,7.3
1997/12/27,11.3,17.9,6.2
1997/12/28,9.5,16.1,4.1
1997/12/29,7.5,13.0,2.6
1997/12/30,8.8,12.6,7.1
1997/12/31,8.2,13.0,3.8
1998/1/1,7.0,10.2,3.0
1998/1/2,7.7,13.6,3.2
1998/1/3,7.9,14.1,2.4
1998/1/4,10.5,15.9,5.8
1998/1/5,5.8,11.6,1.7
1998/1/6,7.6,12.3,1.3
1998/1/7,6.4,11.9,2.1
1998/1/8,7.0,9.1,5.9
1998/1/9,7.9,13.0,2.5
1998/1/10,6.1,11.0,0.4
1998/1/11,6.3,7.6,5.1
1998/1/12,6.2,9.9,2.4
1998/1/13,6.2,12.0,1.5
1998/1/14,7.4,10.8,4.4
1998/1/15,8.5,9.5,6.8
1998/1/16,9.3,15.1,3.6
1998/1/17,8.3,13.3,2.1
1998/1/18,12.1,15.6,6.9
1998/1/19,5.4,9.2,1.2
1998/1/20,2.5,7.6,-1.8
1998/1/21,5.6,12.0,-0.8
1998/1/22,6.0,10.3,0.4
1998/1/23,5.0,8.0,1.9
1998/1/24,2.7,6.2,-0.5
1998/1/25,2.3,8.0,-1.9
1998/1/26,4.7,10.9,-0.7
1998/1/27,5.6,10.2,2.0
1998/1/28,5.0,9.4,0.9
1998/1/29,3.3,8.9,-0.9
1998/1/30,4.4,11.3,-2.0
1998/1/31,7.2,13.8,0.4
1998/2/1,5.6,9.3,0.2
1998/2/2,7.2,13.8,0.6
1998/2/3,7.2,11.7,2.2
1998/2/4,6.3,10.8,1.0
1998/2/5,3.3,9.8,-2.6
1998/2/6,5.0,12.3,-1.3
1998/2/7,5.2,11.0,0.7
1998/2/8,5.0,11.7,0.9
1998/2/9,6.1,11.0,1.5
1998/2/10,6.3,13.1,0.6
1998/2/11,5.4,12.4,-1.2
1998/2/12,12.5,22.9,4.8
1998/2/13,13.7,18.8,8.8
1998/2/14,14.9,20.4,10.3
1998/2/15,9.3,14.8,3.5
1998/2/16,6.8,13.2,0.4
1998/2/17,6.4,11.5,0.7
1998/2/18,6.6,13.4,-0.5
1998/2/19,9.3,12.7,4.6
1998/2/20,12.8,15.5,10.1
1998/2/21,13.2,18.1,7.7
1998/2/22,10.2,13.5,8.5
1998/2/23,10.2,14.3,5.3
1998/2/24,10.5,12.0,9.0
1998/2/25,9.5,11.1,8.7
1998/2/26,10.9,14.5,8.6
1998/2/27,10.9,15.8,5.6
1998/2/28,10.8,16.2,6.2
1998/3/1,9.2,14.6,4.7
1998/3/2,8.3,15.8,1.1
1998/3/3,10.1,17.6,3.3
1998/3/4,10.9,17.8,4.1
1998/3/5,7.8,10.5,5.8
1998/3/6,9.4,16.1,3.1
1998/3/7,7.4,12.8,2.1
1998/3/8,6.5,12.7,-0.5
1998/3/9,10.8,16.2,5.1
1998/3/10,10.5,13.4,7.6
1998/3/11,11.0,12.8,8.8
1998/3/12,12.9,18.6,8.7
1998/3/13,11.5,17.0,7.0
1998/3/14,12.3,20.1,5.0
1998/3/15,7.9,12.4,2.3
1998/3/16,6.5,13.1,1.1
1998/3/17,9.6,16.4,2.7
1998/3/18,8.5,15.5,1.3
1998/3/19,12.4,18.2,3.6
1998/3/20,16.4,23.4,11.0
1998/3/21,11.0,15.0,7.5
1998/3/22,10.3,16.1,5.9
1998/3/23,8.4,14.0,2.5
1998/3/24,9.4,13.1,6.1
1998/3/25,10.2,15.7,5.7
1998/3/26,13.1,17.5,6.9
1998/3/27,14.7,17.9,11.0
1998/3/28,15.5,19.5,10.9
1998/3/29,15.6,23.4,9.5
1998/3/30,15.3,20.8,9.0
1998/3/31,15.9,22.8,9.9
