ダウンロードした時刻：2019/10/10 16:02:54

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,17.8,19.0,16.8
1992/12/2,17.0,21.3,13.6
1992/12/3,16.0,16.8,13.7
1992/12/4,14.9,16.7,13.6
1992/12/5,14.5,17.2,12.5
1992/12/6,15.2,17.1,11.5
1992/12/7,18.3,20.3,15.4
1992/12/8,18.5,22.1,16.2
1992/12/9,16.3,19.0,14.4
1992/12/10,16.9,19.3,13.6
1992/12/11,14.2,18.6,10.4
1992/12/12,11.7,14.2,9.7
1992/12/13,16.1,19.7,11.3
1992/12/14,13.7,19.0,10.5
1992/12/15,9.7,10.7,8.5
1992/12/16,10.5,12.9,8.4
1992/12/17,11.3,13.7,9.0
1992/12/18,11.2,12.5,8.9
1992/12/19,11.0,14.6,7.3
1992/12/20,14.0,16.3,9.8
1992/12/21,14.6,17.6,11.8
1992/12/22,15.5,17.6,13.3
1992/12/23,13.4,17.0,9.9
1992/12/24,9.0,11.3,4.9
1992/12/25,8.6,11.1,4.9
1992/12/26,10.8,13.3,9.1
1992/12/27,14.4,17.5,11.1
1992/12/28,17.9,19.6,15.3
1992/12/29,15.3,17.2,13.1
1992/12/30,13.7,16.2,11.9
1992/12/31,11.8,13.6,11.0
1993/1/1,11.0,13.7,8.7
1993/1/2,14.5,17.6,12.2
1993/1/3,15.1,17.8,10.4
1993/1/4,13.8,16.2,10.6
1993/1/5,11.3,14.6,7.5
1993/1/6,11.7,15.1,6.9
1993/1/7,17.7,19.5,15.1
1993/1/8,14.4,19.8,9.0
1993/1/9,12.9,15.4,8.7
1993/1/10,15.7,18.5,12.1
1993/1/11,13.1,14.7,11.5
1993/1/12,11.8,15.5,10.0
1993/1/13,12.6,15.2,9.6
1993/1/14,16.0,19.6,12.5
1993/1/15,15.7,19.4,14.9
1993/1/16,14.9,18.6,12.3
1993/1/17,11.7,14.4,9.4
1993/1/18,9.9,12.0,8.3
1993/1/19,9.3,11.0,8.3
1993/1/20,9.6,11.1,7.5
1993/1/21,8.0,10.7,5.6
1993/1/22,8.3,9.7,5.3
1993/1/23,10.7,13.3,8.2
1993/1/24,12.5,13.7,9.7
1993/1/25,14.0,15.7,13.0
1993/1/26,12.5,14.3,9.7
1993/1/27,11.8,14.5,9.3
1993/1/28,7.2,12.4,4.7
1993/1/29,8.2,10.0,6.2
1993/1/30,10.6,12.8,9.3
1993/1/31,11.0,13.5,9.2
1993/2/1,8.9,13.7,5.9
1993/2/2,6.7,9.0,4.7
1993/2/3,9.9,13.9,5.6
1993/2/4,12.3,14.8,10.8
1993/2/5,12.3,14.7,9.6
1993/2/6,17.7,19.9,14.5
1993/2/7,18.2,20.3,13.1
1993/2/8,9.9,13.4,7.8
1993/2/9,9.0,11.0,7.4
1993/2/10,9.4,12.7,6.7
1993/2/11,11.1,14.1,6.3
1993/2/12,11.5,13.9,9.8
1993/2/13,11.3,14.3,9.7
1993/2/14,10.8,14.4,8.4
1993/2/15,10.7,14.1,7.2
1993/2/16,14.1,17.3,10.4
1993/2/17,16.6,19.8,14.4
1993/2/18,13.0,15.5,11.4
1993/2/19,11.3,14.3,8.1
1993/2/20,10.3,13.6,7.2
1993/2/21,14.0,16.3,10.1
1993/2/22,16.3,18.1,14.0
1993/2/23,10.6,15.5,5.5
1993/2/24,8.1,10.8,5.4
1993/2/25,8.5,11.6,6.6
1993/2/26,8.5,12.0,6.9
1993/2/27,12.3,15.6,7.2
1993/2/28,16.0,18.0,14.2
1993/3/1,12.0,14.5,9.1
1993/3/2,7.6,10.7,5.2
1993/3/3,10.1,12.9,8.0
1993/3/4,10.5,12.2,8.2
1993/3/5,12.3,16.4,7.5
1993/3/6,15.3,18.4,12.3
1993/3/7,15.4,17.6,13.5
1993/3/8,9.6,13.6,6.2
1993/3/9,9.7,12.5,6.5
1993/3/10,10.6,14.9,8.4
1993/3/11,11.4,14.8,8.6
1993/3/12,9.0,11.1,6.2
1993/3/13,9.6,13.1,6.6
1993/3/14,11.6,14.6,7.7
1993/3/15,14.1,17.4,11.6
1993/3/16,11.0,17.3,9.3
1993/3/17,8.3,10.2,7.2
1993/3/18,9.4,12.6,8.3
1993/3/19,7.2,9.0,4.8
1993/3/20,9.5,14.2,6.0
1993/3/21,9.2,12.7,6.3
1993/3/22,13.4,16.2,9.4
1993/3/23,14.3,17.4,12.0
1993/3/24,17.4,19.5,14.5
1993/3/25,17.2,19.7,13.3
1993/3/26,13.5,16.9,11.0
1993/3/27,15.2,20.0,11.8
1993/3/28,15.1,18.5,12.4
1993/3/29,11.2,13.2,8.9
1993/3/30,11.0,14.7,7.4
1993/3/31,14.7,16.8,12.2
