ダウンロードした時刻：2019/10/10 16:21:18

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,6.7,13.1,1.3
1988/12/2,8.5,14.8,3.3
1988/12/3,8.7,15.5,3.8
1988/12/4,8.2,12.6,3.8
1988/12/5,5.4,9.3,1.1
1988/12/6,4.5,11.2,-0.8
1988/12/7,7.8,15.4,1.8
1988/12/8,11.5,17.6,4.3
1988/12/9,8.9,12.8,5.5
1988/12/10,7.5,10.7,5.3
1988/12/11,6.3,9.6,3.2
1988/12/12,7.0,13.7,1.6
1988/12/13,8.5,16.2,2.9
1988/12/14,7.4,13.2,3.4
1988/12/15,4.2,7.9,0.7
1988/12/16,2.3,5.5,-0.5
1988/12/17,3.0,9.2,-2.1
1988/12/18,6.4,11.2,2.4
1988/12/19,9.8,17.3,5.8
1988/12/20,8.8,14.2,3.6
1988/12/21,8.7,15.1,3.1
1988/12/22,6.6,13.7,0.7
1988/12/23,6.8,13.8,1.8
1988/12/24,7.8,11.8,3.3
1988/12/25,7.4,11.7,2.5
1988/12/26,5.2,11.7,-0.3
1988/12/27,5.5,11.6,0.6
1988/12/28,6.0,11.1,2.5
1988/12/29,6.5,10.4,3.0
1988/12/30,7.6,13.6,3.4
1988/12/31,8.9,13.1,4.7
1989/1/1,6.6,10.4,2.5
1989/1/2,5.7,11.7,-0.4
1989/1/3,8.2,12.7,3.8
1989/1/4,6.2,12.2,1.5
1989/1/5,6.7,13.2,1.8
1989/1/6,8.7,13.8,2.7
1989/1/7,12.4,15.1,9.5
1989/1/8,14.3,17.9,11.2
1989/1/9,12.6,17.1,9.7
1989/1/10,11.6,17.2,7.3
1989/1/11,11.2,12.9,9.3
1989/1/12,10.6,13.3,7.4
1989/1/13,7.5,9.6,5.3
1989/1/14,6.9,9.1,5.4
1989/1/15,5.9,8.5,3.9
1989/1/16,7.0,12.2,2.4
1989/1/17,8.6,14.4,5.0
1989/1/18,11.0,14.7,6.3
1989/1/19,14.4,16.4,12.8
1989/1/20,11.8,14.7,9.6
1989/1/21,9.8,14.2,6.8
1989/1/22,7.8,8.8,6.6
1989/1/23,9.1,12.1,7.3
1989/1/24,6.9,11.0,2.7
1989/1/25,5.9,11.0,1.3
1989/1/26,8.5,12.7,5.2
1989/1/27,3.6,8.8,1.2
1989/1/28,3.3,6.5,0.9
1989/1/29,5.0,10.4,1.7
1989/1/30,5.5,12.0,-0.3
1989/1/31,7.2,10.1,3.6
1989/2/1,6.5,11.3,3.6
1989/2/2,2.9,6.7,1.1
1989/2/3,3.0,8.4,-2.5
1989/2/4,5.7,12.5,1.2
1989/2/5,7.1,14.0,0.3
1989/2/6,8.9,15.4,5.0
1989/2/7,9.6,15.2,3.8
1989/2/8,10.0,11.8,7.8
1989/2/9,8.7,11.0,6.9
1989/2/10,4.8,8.1,2.2
1989/2/11,4.7,10.1,0.4
1989/2/12,5.6,12.1,1.2
1989/2/13,5.5,10.2,0.8
1989/2/14,6.8,13.4,0.7
1989/2/15,8.0,10.0,5.0
1989/2/16,12.8,15.3,9.6
1989/2/17,12.6,14.6,10.8
1989/2/18,9.6,11.2,7.1
1989/2/19,7.7,11.6,4.9
1989/2/20,8.3,11.8,2.4
1989/2/21,8.2,10.1,7.2
1989/2/22,8.9,14.1,3.7
1989/2/23,9.8,12.3,8.2
1989/2/24,10.3,12.0,8.5
1989/2/25,10.4,13.0,6.9
1989/2/26,8.0,12.2,3.9
1989/2/27,8.5,15.6,1.3
1989/2/28,14.1,21.2,7.1
1989/3/1,12.4,16.4,8.3
1989/3/2,11.2,15.4,7.0
1989/3/3,16.3,23.2,10.0
1989/3/4,12.0,17.4,9.1
1989/3/5,7.7,10.8,5.5
1989/3/6,6.4,9.4,4.9
1989/3/7,3.9,7.2,1.8
1989/3/8,3.7,7.1,0.4
1989/3/9,4.6,10.7,-0.9
1989/3/10,6.1,13.2,-0.3
1989/3/11,7.6,13.8,1.9
1989/3/12,9.9,16.6,3.5
1989/3/13,12.0,13.0,10.6
1989/3/14,11.6,18.5,6.9
1989/3/15,9.8,16.8,4.5
1989/3/16,10.1,16.3,3.8
1989/3/17,8.9,13.0,5.2
1989/3/18,8.5,15.0,1.6
1989/3/19,11.6,17.8,7.7
1989/3/20,10.1,16.4,5.5
1989/3/21,9.9,16.4,3.9
1989/3/22,9.8,15.7,5.5
1989/3/23,10.4,16.0,3.0
1989/3/24,11.6,16.0,9.4
1989/3/25,10.6,14.1,6.7
1989/3/26,10.0,15.0,4.6
1989/3/27,11.2,17.4,8.0
1989/3/28,7.4,12.9,5.1
1989/3/29,9.5,16.2,3.7
1989/3/30,11.8,17.5,4.0
1989/3/31,13.8,20.5,10.0
