ダウンロードした時刻：2019/10/10 15:48:12

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,7.7,9.1,6.0
1986/12/2,6.4,12.3,1.8
1986/12/3,8.2,14.5,1.3
1986/12/4,7.7,11.9,5.4
1986/12/5,6.9,11.0,3.7
1986/12/6,7.9,13.7,2.1
1986/12/7,8.8,13.2,5.7
1986/12/8,7.4,11.4,3.3
1986/12/9,6.1,12.7,1.1
1986/12/10,7.2,10.9,1.5
1986/12/11,8.8,13.3,3.5
1986/12/12,7.5,14.4,1.4
1986/12/13,7.1,13.2,2.2
1986/12/14,10.2,12.6,5.6
1986/12/15,8.5,11.3,5.3
1986/12/16,5.8,9.1,3.8
1986/12/17,5.5,10.3,1.4
1986/12/18,9.8,16.2,0.3
1986/12/19,9.8,14.3,5.3
1986/12/20,4.9,7.3,2.8
1986/12/21,5.6,9.0,1.3
1986/12/22,2.7,6.7,0.0
1986/12/23,4.6,10.0,-1.0
1986/12/24,7.3,9.8,5.6
1986/12/25,7.9,9.4,5.0
1986/12/26,5.8,8.6,2.8
1986/12/27,3.6,6.7,1.9
1986/12/28,4.3,9.1,2.0
1986/12/29,3.0,6.3,0.7
1986/12/30,4.8,6.8,2.2
1986/12/31,8.9,14.4,5.1
1987/1/1,4.2,9.2,2.1
1987/1/2,4.3,8.7,1.3
1987/1/3,8.3,12.3,4.4
1987/1/4,4.6,8.7,2.7
1987/1/5,3.0,4.1,1.4
1987/1/6,4.8,10.8,0.8
1987/1/7,6.6,10.7,0.6
1987/1/8,7.6,10.8,5.8
1987/1/9,5.0,7.2,2.8
1987/1/10,0.5,2.9,-1.6
1987/1/11,-0.6,0.6,-2.2
1987/1/12,1.4,4.4,-1.8
1987/1/13,1.6,4.7,0.1
1987/1/14,0.7,2.9,-1.5
1987/1/15,3.5,6.3,1.3
1987/1/16,6.7,11.6,2.2
1987/1/17,8.0,11.3,2.8
1987/1/18,2.3,4.8,0.7
1987/1/19,1.1,2.9,-0.4
1987/1/20,-0.3,1.7,-1.0
1987/1/21,1.1,5.3,-2.0
1987/1/22,2.4,8.8,-2.1
1987/1/23,8.1,13.6,0.8
1987/1/24,4.9,9.8,0.8
1987/1/25,0.1,1.7,-1.6
1987/1/26,0.2,2.9,-2.5
1987/1/27,1.6,3.3,0.2
1987/1/28,2.8,4.5,0.7
1987/1/29,6.1,12.2,1.6
1987/1/30,4.6,7.6,2.3
1987/1/31,1.6,4.1,-0.2
1987/2/1,0.8,4.0,-1.6
1987/2/2,0.2,4.8,-2.7
1987/2/3,1.4,3.1,0.1
1987/2/4,1.4,4.0,-0.4
1987/2/5,3.1,7.0,0.4
1987/2/6,4.9,9.5,1.4
1987/2/7,5.6,10.7,1.8
1987/2/8,5.9,11.6,2.1
1987/2/9,7.3,15.3,0.3
1987/2/10,10.1,19.2,2.6
1987/2/11,14.9,18.9,9.0
1987/2/12,7.0,17.7,4.2
1987/2/13,5.2,11.3,1.7
1987/2/14,6.0,11.4,3.2
1987/2/15,3.7,6.9,1.5
1987/2/16,2.2,5.0,0.4
1987/2/17,0.5,2.7,-1.3
1987/2/18,4.2,7.6,0.9
1987/2/19,1.7,4.9,0.1
1987/2/20,2.3,6.8,-0.4
1987/2/21,2.9,8.0,-2.1
1987/2/22,4.1,8.8,-0.5
1987/2/23,6.4,12.0,1.4
1987/2/24,9.5,15.2,2.7
1987/2/25,1.5,7.9,-0.5
1987/2/26,-0.4,1.9,-1.3
1987/2/27,-0.1,1.2,-1.4
1987/2/28,0.5,2.1,-1.4
1987/3/1,0.3,2.3,-0.9
1987/3/2,0.2,4.4,-2.0
1987/3/3,2.0,4.9,-1.5
1987/3/4,5.6,10.3,1.6
1987/3/5,7.2,13.3,3.8
1987/3/6,5.4,9.5,3.1
1987/3/7,1.0,3.2,-0.2
1987/3/8,2.7,5.3,0.7
1987/3/9,3.6,6.0,1.3
1987/3/10,3.5,6.4,1.3
1987/3/11,3.4,6.6,1.3
1987/3/12,4.8,10.7,0.3
1987/3/13,9.0,13.6,1.8
1987/3/14,8.9,11.8,6.3
1987/3/15,6.0,9.6,3.8
1987/3/16,4.2,9.2,1.3
1987/3/17,4.9,10.7,0.4
1987/3/18,8.3,13.0,5.3
1987/3/19,9.8,16.2,3.1
1987/3/20,8.3,11.9,4.4
1987/3/21,9.1,16.1,2.2
1987/3/22,12.0,19.0,5.3
1987/3/23,13.5,18.1,9.9
1987/3/24,12.3,16.4,8.2
1987/3/25,4.7,9.6,0.4
1987/3/26,2.7,6.3,-0.1
1987/3/27,5.4,11.8,-0.3
1987/3/28,6.7,12.0,1.7
1987/3/29,8.7,15.5,4.4
1987/3/30,11.7,18.6,3.1
1987/3/31,4.8,12.0,2.6
