ダウンロードした時刻：2019/10/10 16:04:20

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,12.5,15.5,6.6
1993/12/2,10.1,16.8,3.2
1993/12/3,10.6,13.6,8.8
1993/12/4,6.1,8.8,4.4
1993/12/5,6.4,9.3,3.4
1993/12/6,5.3,9.1,2.4
1993/12/7,5.2,10.2,2.1
1993/12/8,6.5,12.5,0.5
1993/12/9,7.4,12.5,3.4
1993/12/10,9.1,11.3,4.4
1993/12/11,7.6,10.8,6.0
1993/12/12,7.5,12.8,1.9
1993/12/13,10.8,14.2,8.5
1993/12/14,7.3,8.9,4.0
1993/12/15,4.1,8.1,2.2
1993/12/16,5.4,10.4,-0.4
1993/12/17,3.7,7.2,0.8
1993/12/18,4.7,7.8,1.6
1993/12/19,7.5,12.5,4.1
1993/12/20,7.4,13.7,2.1
1993/12/21,5.0,10.2,1.1
1993/12/22,2.5,5.4,0.0
1993/12/23,5.4,7.9,3.7
1993/12/24,7.6,12.2,3.6
1993/12/25,8.2,13.7,4.6
1993/12/26,9.7,15.5,3.2
1993/12/27,7.6,11.0,4.3
1993/12/28,7.1,8.8,4.8
1993/12/29,5.8,9.9,0.4
1993/12/30,8.0,15.5,-1.5
1993/12/31,7.8,13.4,4.8
1994/1/1,5.3,8.3,2.2
1994/1/2,8.5,13.7,4.3
1994/1/3,8.1,11.5,4.8
1994/1/4,6.7,11.3,2.0
1994/1/5,5.4,10.7,2.5
1994/1/6,7.7,12.0,3.4
1994/1/7,5.0,9.4,1.1
1994/1/8,5.0,10.5,0.5
1994/1/9,7.4,13.5,2.0
1994/1/10,6.5,12.5,0.5
1994/1/11,7.2,12.4,3.4
1994/1/12,5.6,6.6,4.5
1994/1/13,4.6,7.0,2.3
1994/1/14,4.2,5.5,0.6
1994/1/15,4.0,7.2,-0.7
1994/1/16,6.3,12.8,-1.8
1994/1/17,10.3,12.3,7.3
1994/1/18,5.7,7.8,2.6
1994/1/19,1.0,2.8,0.2
1994/1/20,1.6,3.6,-0.2
1994/1/21,0.9,3.2,-0.2
1994/1/22,0.9,3.2,-0.5
1994/1/23,0.4,2.0,-1.0
1994/1/24,1.6,5.4,-2.0
1994/1/25,4.4,8.7,0.8
1994/1/26,5.6,12.0,0.8
1994/1/27,4.3,6.7,2.0
1994/1/28,3.4,8.3,-0.3
1994/1/29,2.4,4.5,0.2
1994/1/30,2.1,4.2,0.4
1994/1/31,4.7,10.2,-0.8
1994/2/1,6.1,8.1,4.2
1994/2/2,3.3,5.5,1.3
1994/2/3,1.3,3.1,0.1
1994/2/4,3.2,7.2,-1.2
1994/2/5,6.5,10.8,3.5
1994/2/6,6.0,11.6,1.8
1994/2/7,5.7,11.8,0.5
1994/2/8,6.4,12.5,-1.0
1994/2/9,3.8,6.7,0.8
1994/2/10,0.7,2.2,-0.6
1994/2/11,1.4,4.5,-1.5
1994/2/12,1.8,3.1,-0.1
1994/2/13,2.3,7.0,-0.3
1994/2/14,4.0,9.7,0.1
1994/2/15,3.3,8.8,-2.1
1994/2/16,3.9,9.2,-0.9
1994/2/17,4.5,9.3,-0.1
1994/2/18,3.7,10.2,-2.3
1994/2/19,5.5,12.4,-1.7
1994/2/20,8.5,15.6,1.7
1994/2/21,7.1,11.1,2.8
1994/2/22,6.6,9.1,4.0
1994/2/23,5.5,8.5,3.0
1994/2/24,3.2,4.8,1.2
1994/2/25,4.3,8.0,1.4
1994/2/26,4.6,7.3,2.9
1994/2/27,5.6,8.0,3.7
1994/2/28,6.0,11.0,1.2
1994/3/1,5.1,8.0,2.6
1994/3/2,3.1,7.7,0.3
1994/3/3,4.5,10.3,-2.0
1994/3/4,5.6,11.6,0.9
1994/3/5,4.5,6.2,1.8
1994/3/6,4.7,10.3,-0.6
1994/3/7,7.8,12.5,3.6
1994/3/8,12.1,13.7,9.8
1994/3/9,8.9,12.9,6.3
1994/3/10,4.6,6.6,1.9
1994/3/11,5.4,10.6,-0.5
1994/3/12,5.6,7.3,4.2
1994/3/13,5.5,7.4,3.0
1994/3/14,2.5,5.0,0.6
1994/3/15,2.5,6.2,-0.8
1994/3/16,5.3,12.1,-1.0
1994/3/17,6.4,10.4,1.9
1994/3/18,5.3,10.6,-1.3
1994/3/19,7.7,14.9,0.4
1994/3/20,6.9,9.1,4.3
1994/3/21,5.9,8.3,1.4
1994/3/22,5.6,10.4,-0.4
1994/3/23,8.5,12.4,6.1
1994/3/24,5.2,11.3,0.7
1994/3/25,3.8,7.5,0.9
1994/3/26,2.6,7.1,0.4
1994/3/27,5.7,12.7,0.2
1994/3/28,9.7,16.5,2.2
1994/3/29,8.1,10.9,1.5
1994/3/30,5.7,10.7,-1.0
1994/3/31,9.8,17.2,2.3
