ダウンロードした時刻：2019/10/10 15:46:38

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,8.3,14.6,3.8
2016/12/2,5.7,10.3,1.4
2016/12/3,4.7,12.1,-0.9
2016/12/4,6.1,11.5,0.2
2016/12/5,9.1,15.2,5.5
2016/12/6,3.8,6.9,0.7
2016/12/7,3.3,8.4,0.3
2016/12/8,3.5,8.4,0.2
2016/12/9,4.4,10.9,-0.8
2016/12/10,1.7,4.6,-1.1
2016/12/11,-0.5,1.3,-2.1
2016/12/12,0.1,5.2,-3.5
2016/12/13,3.6,8.7,-1.6
2016/12/14,3.3,6.7,-1.7
2016/12/15,-0.2,5.2,-3.4
2016/12/16,-0.9,3.1,-3.3
2016/12/17,0.0,5.1,-4.4
2016/12/18,1.8,8.8,-3.4
2016/12/19,3.0,9.9,-1.9
2016/12/20,3.5,10.9,-1.5
2016/12/21,4.1,9.7,-2.0
2016/12/22,13.0,17.8,4.5
2016/12/23,7.7,12.9,2.7
2016/12/24,1.1,3.3,-1.2
2016/12/25,0.4,5.1,-2.8
2016/12/26,3.0,8.2,-2.0
2016/12/27,3.8,7.2,-0.1
2016/12/28,-1.0,1.1,-3.4
2016/12/29,-1.0,4.3,-5.9
2016/12/30,-0.8,2.8,-4.2
2016/12/31,-0.7,5.9,-6.2
2017/1/1,1.7,8.2,-2.3
2017/1/2,1.9,8.8,-2.1
2017/1/3,2.4,6.0,-1.5
2017/1/4,1.7,8.1,-2.7
2017/1/5,0.2,3.6,-2.6
2017/1/6,-0.3,2.6,-2.8
2017/1/7,-0.7,5.6,-5.8
2017/1/8,0.3,5.9,-4.5
2017/1/9,3.2,8.6,0.7
2017/1/10,3.9,10.2,0.5
2017/1/11,0.5,5.2,-2.2
2017/1/12,-0.1,5.1,-3.4
2017/1/13,0.2,2.7,-2.1
2017/1/14,-3.9,-2.0,-6.6
2017/1/15,-4.8,-3.4,-6.7
2017/1/16,-2.4,1.5,-5.0
2017/1/17,-0.4,1.1,-2.0
2017/1/18,-1.2,2.7,-4.3
2017/1/19,-0.7,2.0,-3.8
2017/1/20,-1.8,4.2,-7.5
2017/1/21,-0.9,1.0,-3.9
2017/1/22,-1.3,2.8,-7.0
2017/1/23,-3.2,-0.2,-6.0
2017/1/24,-4.6,-2.1,-7.7
2017/1/25,-4.5,1.1,-9.6
2017/1/26,-4.0,1.7,-9.6
2017/1/27,0.6,9.3,-6.2
2017/1/28,1.1,5.4,-2.2
2017/1/29,1.6,6.5,-3.6
2017/1/30,2.5,6.5,-0.7
2017/1/31,-1.6,1.5,-4.4
2017/2/1,-1.8,4.3,-7.2
2017/2/2,-1.4,2.9,-4.9
2017/2/3,1.7,6.1,-2.5
2017/2/4,0.8,7.1,-4.6
2017/2/5,-0.6,2.5,-4.6
2017/2/6,0.9,2.9,-1.3
2017/2/7,-1.3,2.9,-4.6
2017/2/8,-0.8,3.7,-4.5
2017/2/9,0.3,2.6,-2.7
2017/2/10,-1.3,1.4,-5.0
2017/2/11,-3.3,0.0,-5.5
2017/2/12,-1.6,2.8,-4.0
2017/2/13,-1.5,3.4,-5.8
2017/2/14,-1.7,3.3,-6.2
2017/2/15,-0.7,5.6,-6.1
2017/2/16,2.0,11.2,-5.4
2017/2/17,3.1,11.0,-2.7
2017/2/18,0.5,4.6,-2.5
2017/2/19,-0.4,4.0,-4.0
2017/2/20,1.3,5.6,-1.9
2017/2/21,-1.4,2.5,-4.1
2017/2/22,0.2,6.0,-6.6
2017/2/23,5.9,12.3,0.6
2017/2/24,0.0,3.7,-3.1
2017/2/25,0.6,7.8,-4.8
2017/2/26,2.2,9.1,-2.4
2017/2/27,1.1,5.6,-1.0
2017/2/28,2.7,9.9,-0.7
2017/3/1,3.5,11.1,-3.1
2017/3/2,3.9,8.6,0.1
2017/3/3,3.0,7.3,-0.4
2017/3/4,3.6,12.3,-3.4
2017/3/5,4.7,11.5,-1.1
2017/3/6,4.6,12.8,-0.3
2017/3/7,0.0,4.9,-2.4
2017/3/8,0.7,6.2,-2.7
2017/3/9,2.8,8.6,-2.1
2017/3/10,2.1,6.7,0.0
2017/3/11,1.8,6.4,-1.6
2017/3/12,2.4,11.1,-3.7
2017/3/13,6.4,14.7,-0.2
2017/3/14,4.1,6.3,0.2
2017/3/15,3.5,9.6,-0.4
2017/3/16,2.8,7.7,-0.2
2017/3/17,3.1,9.1,-1.9
2017/3/18,4.8,10.8,-0.8
2017/3/19,5.5,12.1,0.1
2017/3/20,6.7,13.4,-0.3
2017/3/21,5.1,8.5,3.0
2017/3/22,3.5,8.9,0.5
2017/3/23,3.2,8.6,-0.2
2017/3/24,1.3,5.8,-0.5
2017/3/25,2.8,9.2,-1.9
2017/3/26,3.3,7.3,0.0
2017/3/27,3.3,8.4,1.2
2017/3/28,3.8,9.9,-0.2
2017/3/29,5.6,12.0,0.7
2017/3/30,7.7,16.7,0.0
2017/3/31,4.5,6.9,2.4
