ダウンロードした時刻：2019/10/10 15:39:48

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,18.4,21.8,15.0
1990/12/2,12.3,15.1,8.8
1990/12/3,7.2,9.9,4.3
1990/12/4,6.8,10.4,3.9
1990/12/5,8.1,13.4,2.1
1990/12/6,9.7,15.4,3.6
1990/12/7,12.9,17.4,7.4
1990/12/8,11.3,14.3,7.0
1990/12/9,12.3,18.3,8.0
1990/12/10,10.9,16.2,6.9
1990/12/11,7.5,9.4,5.7
1990/12/12,8.8,13.1,4.7
1990/12/13,6.6,10.2,3.1
1990/12/14,7.6,12.4,1.1
1990/12/15,5.9,12.2,2.9
1990/12/16,3.5,6.9,0.8
1990/12/17,3.7,6.3,0.1
1990/12/18,4.2,8.2,1.8
1990/12/19,5.4,8.0,2.4
1990/12/20,5.4,8.6,2.0
1990/12/21,6.2,9.8,3.7
1990/12/22,7.2,12.4,2.9
1990/12/23,6.4,10.7,3.1
1990/12/24,4.1,7.1,1.4
1990/12/25,4.5,7.4,1.6
1990/12/26,4.1,7.3,0.3
1990/12/27,4.5,7.8,2.2
1990/12/28,4.1,6.7,1.5
1990/12/29,3.3,7.0,1.1
1990/12/30,3.7,7.4,-0.2
1990/12/31,5.2,10.3,-0.4
1991/1/1,6.0,9.9,2.0
1991/1/2,6.5,11.1,3.4
1991/1/3,2.2,5.1,-1.4
1991/1/4,0.0,3.3,-2.9
1991/1/5,0.9,4.0,-1.3
1991/1/6,0.5,2.5,-0.9
1991/1/7,0.9,4.0,-1.3
1991/1/8,0.8,4.9,-2.2
1991/1/9,2.2,5.8,-2.6
1991/1/10,3.3,7.2,0.2
1991/1/11,3.4,5.4,0.0
1991/1/12,3.0,6.0,-0.1
1991/1/13,2.2,6.1,-2.0
1991/1/14,3.0,7.3,-0.6
1991/1/15,2.0,5.7,-1.6
1991/1/16,1.6,5.2,-2.0
1991/1/17,1.5,4.4,-2.0
1991/1/18,-0.2,2.7,-2.3
1991/1/19,3.2,9.0,-2.1
1991/1/20,4.4,9.8,-1.1
1991/1/21,5.0,8.9,0.0
1991/1/22,3.8,6.4,0.3
1991/1/23,0.1,1.9,-1.7
1991/1/24,1.5,4.8,-3.3
1991/1/25,4.2,11.2,-0.4
1991/1/26,4.1,6.9,1.3
1991/1/27,2.2,5.4,-0.6
1991/1/28,1.1,5.0,-2.3
1991/1/29,1.2,4.9,-1.9
1991/1/30,1.2,4.9,-1.4
1991/1/31,3.2,7.9,-1.3
1991/2/1,1.4,4.2,-1.7
1991/2/2,0.3,3.8,-3.5
1991/2/3,1.2,4.5,-3.5
1991/2/4,1.0,5.7,-3.5
1991/2/5,0.0,2.2,-2.2
1991/2/6,1.3,5.9,-2.9
1991/2/7,1.5,4.9,-0.7
1991/2/8,-0.4,2.3,-2.6
1991/2/9,1.7,5.6,-2.6
1991/2/10,0.8,2.0,-1.6
1991/2/11,4.5,8.7,0.3
1991/2/12,2.9,6.2,-0.3
1991/2/13,2.4,6.5,-1.2
1991/2/14,3.8,9.7,-2.1
1991/2/15,5.5,10.1,1.9
1991/2/16,6.0,8.6,2.8
1991/2/17,2.9,5.3,0.3
1991/2/18,0.9,4.1,-1.4
1991/2/19,-1.1,0.0,-2.4
1991/2/20,-1.9,0.9,-6.1
1991/2/21,0.3,5.3,-5.2
1991/2/22,0.9,3.6,-1.3
1991/2/23,-0.9,3.0,-4.7
1991/2/24,-3.4,-0.7,-5.9
1991/2/25,-0.7,3.4,-5.9
1991/2/26,3.4,7.7,-1.6
1991/2/27,6.6,11.0,3.0
1991/2/28,7.0,14.4,2.1
1991/3/1,1.8,4.1,-0.5
1991/3/2,2.7,7.2,-2.2
1991/3/3,2.8,5.4,0.3
1991/3/4,5.8,12.6,0.4
1991/3/5,8.9,15.5,2.2
1991/3/6,9.3,14.6,3.1
1991/3/7,4.2,9.1,1.2
1991/3/8,1.9,5.7,0.1
1991/3/9,2.7,6.9,0.0
1991/3/10,4.1,7.8,0.4
1991/3/11,2.1,3.2,0.5
1991/3/12,5.1,9.6,1.9
1991/3/13,3.9,7.3,1.2
1991/3/14,0.2,4.2,-2.6
1991/3/15,0.3,3.8,-2.7
1991/3/16,1.0,2.7,-0.9
1991/3/17,3.7,8.4,-0.7
1991/3/18,5.1,9.7,1.2
1991/3/19,6.5,13.8,-0.3
1991/3/20,10.2,20.2,2.1
1991/3/21,3.5,7.5,-0.1
1991/3/22,3.4,6.3,-1.5
1991/3/23,8.4,12.5,4.0
1991/3/24,11.9,17.9,7.1
1991/3/25,6.8,9.0,4.5
1991/3/26,9.8,16.7,5.5
1991/3/27,3.8,6.8,1.3
1991/3/28,5.7,7.1,2.9
1991/3/29,7.4,11.0,5.0
1991/3/30,9.3,14.0,5.1
1991/3/31,7.2,9.8,4.4
